variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2025-12-08T00:00:00.000Z,28,113.086952,-146.82,-17.800492,-51.53354,-105.281649,-1.531017,9841.653794,9948.46646,-158.346206,192,101,91,2447,697,202,126,98,29,472.340972,580DEFAFCEEC7930D21EF0466825395965206CAFFE209680563F3F006F2190C5
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2025-12-15T00:00:00.000Z,28,1928.267402,-321.48,-58.644424,1548.142978,-907.895419,-0.510221,10639.737338,11548.142978,798.083544,368,77,291,5358,1617,368,126,291,38,1417.1,08E7686648564ECC9436DA78D94E2CE4182B98C473A455A3598456BB3E4EFC2A
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2025-12-22T00:00:00.000Z,28,1276.882935,-410.1,-86.2619,780.521035,-0.701034,-0.148364,10779.671637,10780.521035,139.934299,102,34,68,6835,2098,377,126,300,38,2715.292361,FBBD839F29514A6B5B2515E8511DE8C20E473C34CD1F61B7D3F34E7A2E52BDFD
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2025-12-29T00:00:00.000Z,28,1766.235008,-516.24,-103.167363,1146.827645,-77.244929,-0.297026,11069.28569,11146.827645,289.614053,116,66,50,8604,2652,377,126,300,38,3236.569444,1F885199F94A8B80E98275623776B7E4045840393FDD73DDC96E493CE3FF3296
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2026-01-05T00:00:00.000Z,28,2378.430962,-675.3,-135.228851,1567.902111,-160.398651,-0.465708,11407.037752,11567.902111,337.752062,232,59,173,11255,3495,377,126,300,38,3962.752083,FA1C8F14E4D40BDC05A341D073B4E22ACAC08D33CC72B3C8EA6B636013A91981
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2026-01-12T00:00:00.000Z,28,2835.650023,-835.26,-161.305699,1839.084324,-147.852155,-4.530566,11686.701603,11839.084324,279.663851,226,186,40,13921,4284,377,199,300,38,5068.088889,F4EE2FA0D29EC5960D892AFD4009BF2D10C187DAB195EB92D03AD978F6AD407B
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2026-01-19T00:00:00.000Z,28,2115.219598,-1017.24,-229.449559,868.530039,-211.659843,-1.302805,10655.567391,10868.530039,-1031.134212,210,86,124,16954,4998,377,199,300,40,6407.559722,9E4520F59F8946ED7D6EAD259758585CCF29E62896D0CEB76FF512736517F317
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2026-01-26T00:00:00.000Z,28,3659.371959,-1210.32,-268.416165,2180.635794,-49.473625,-2.190589,12128.97158,12180.635794,1473.404189,254,131,123,20172,5913,377,199,300,40,7472.152083,5325F437D76362595AF0A1FF907C2F88B2342DAB100DEC5A9137B8F769A59F9B
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2026-02-02T00:00:00.000Z,28,3989.045163,-1351.38,-316.865374,2320.799789,-162.606295,-0.591869,12157.601625,12320.799789,28.630045,194,64,130,22523,6502,377,199,300,40,8704.939583,66748AB1CEFBADDA40BBF8F02D7C3369723DD48916F754A64C5CF0C846F3E9D5
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,2026-02-09T00:00:00.000Z,28,4176.644195,-1496.88,-354.296307,2325.467888,13.802931,-1.827358,12337.443461,12325.467888,179.841836,135,95,40,24948,7271,377,199,300,40,9642.451389,F774ED523055DA49A170CADB354F333EA63F9D9F73551FCCFD45DDF61A1EF9D0
