variant_id,activation_rule_id,protection_mode,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_market_pct,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,min_pnl_market_pct,max_pnl_market_pct,min_pnl_timestamp_utc,max_pnl_timestamp_utc,first_mfe_0_5q_timestamp_utc,first_mfe_1q_timestamp_utc,first_mfe_2q_timestamp_utc,first_mfe_3q_timestamp_utc,first_mae_0_5q_timestamp_utc,first_mae_1q_timestamp_utc,first_mae_2q_timestamp_utc,first_mae_3q_timestamp_utc,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,cycle_signal_adr_brick,reversion_target_price,reversion_target_band_adr,triangle_geometry_center_type,triangle_geometry_q_cost_adr,triangle_geometry_round_trip_cost_adr,triangle_geometry_p_raw_adr,triangle_geometry_p_cost_adr,triangle_geometry_b_cost_adr,triangle_geometry_balance,triangle_geometry_quality,triangle_geometry_current_volatility_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|SHORT|1,AUDCHF,SHORT,target,2019-04-15T13:02:00.000Z,2019-04-15T14:42:00.000Z,2019-04-14T23:00:00.000Z,3,2,0,0.650842,0.462467,3.330006,-0.18,0.001903,3.151909,-0.181813,0.650842,-0.12919,0.462467,2019-04-15T13:21:00.000Z,2019-04-15T14:42:00.000Z,2019-04-15T13:30:00.000Z,2019-04-15T13:31:00.000Z,2019-04-15T13:50:00.000Z,2019-04-15T13:53:00.000Z,2019-04-15T13:08:00.000Z,2019-04-15T13:10:00.000Z,2019-04-15T13:11:00.000Z,2019-04-15T13:20:00.000Z,0,1,0.069444,0.05,0.025,0.71888,0.025,median_m1_close,0.05,0.0125,7.529164,3.736179,3.571735,1,71.4347,0.007831,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-15|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|SHORT|2019-04-15T13:02:00.000Z|range_0.448305|pe_1|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_7.529164|pcost_3.736179|bcost_3.571735|balance_1|gq_71.4347|vol_0.007831|q_0.05|brick_0.025|band_0.025|target_center_band,7A97804FEA18F844010FBDCF9E65DB7F3032FA224C33397DE52C02DE796B5370
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|SHORT|2,AUDCHF,SHORT,session_flatten,2019-04-15T14:44:00.000Z,2019-04-15T20:01:00.000Z,2019-04-14T23:00:00.000Z,7,6,0,-0.053259,-0.037844,-0.269995,-0.42,0.013931,-0.676065,-1.298398,0.015656,-0.9226,0.011125,2019-04-15T18:32:00.000Z,2019-04-15T14:46:00.000Z,,,,,2019-04-15T14:49:00.000Z,2019-04-15T14:54:00.000Z,2019-04-15T14:56:00.000Z,2019-04-15T14:58:00.000Z,1,,0.220139,0.05,0.025,0.71888,0.025,median_m1_close,0.05,0.0125,7.529164,3.736179,3.571735,1,71.4347,0.007831,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-15|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|SHORT|2019-04-15T14:44:00.000Z|range_0.448305|pe_0.075528|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_7.529164|pcost_3.736179|bcost_3.571735|balance_1|gq_71.4347|vol_0.007831|q_0.05|brick_0.025|band_0.025|target_center_band,460B8341C946CC1599C27E3220F59A0003CF8F96A36A8F8F3211DD0855AD3E01
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|LONG|3,AUDCHF,LONG,target,2019-04-16T00:30:00.000Z,2019-04-16T11:53:00.000Z,2019-04-14T23:00:00.000Z,11,10,0,3.757424,2.669905,19.170004,-0.66,-0.428124,18.08188,-3.417828,3.757424,-2.428599,2.669905,2019-04-16T08:38:00.000Z,2019-04-16T11:53:00.000Z,2019-04-16T00:33:00.000Z,2019-04-16T01:33:00.000Z,2019-04-16T09:13:00.000Z,2019-04-16T09:13:00.000Z,2019-04-16T01:18:00.000Z,2019-04-16T01:23:00.000Z,2019-04-16T01:32:00.000Z,2019-04-16T01:32:00.000Z,0,1,0.474306,0.054589,0.025,0.72027,0.025,median_m1_close,0.05,0.0125,4.365591,2.234466,2.132667,1,39.067531,0.007831,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-16|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|LONG|2019-04-16T00:30:00.000Z|range_0.411109|pe_0.05195|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_4.365591|pcost_2.234466|bcost_2.132667|balance_1|gq_39.067531|vol_0.007831|q_0.054589|brick_0.025|band_0.025|target_center_band,1E742C4EDD019D75F59A1B9152732F6C9BE9C52F4456300A4FCE487287FF6A21
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|SHORT|4,AUDCHF,SHORT,session_flatten,2019-04-16T11:58:00.000Z,2019-04-16T20:00:00.000Z,2019-04-14T23:00:00.000Z,9,8,0,-1.75236,-1.245171,-8.979987,-0.54,0.023049,-9.496939,-2.015612,0.025333,-1.432229,0.018001,2019-04-16T17:11:00.000Z,2019-04-16T12:08:00.000Z,,,,,2019-04-16T12:00:00.000Z,2019-04-16T12:02:00.000Z,2019-04-16T12:03:00.000Z,2019-04-16T12:11:00.000Z,1,,0.334722,0.054589,0.025,0.72027,0.025,median_m1_close,0.05,0.0125,4.365591,2.234466,2.132667,1,39.067531,0.007831,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-16|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|SHORT|2019-04-16T11:58:00.000Z|range_0.411109|pe_0.012299|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_4.365591|pcost_2.234466|bcost_2.132667|balance_1|gq_39.067531|vol_0.007831|q_0.054589|brick_0.025|band_0.025|target_center_band,330808E3C650EEDD1F09D55E4282516B8CA2598FD25C4AB2781506159E7F0FF3
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|LONG|5,AUDCHF,LONG,target,2019-04-17T00:02:00.000Z,2019-04-17T00:16:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.072111,0.05124,0.369997,-0.06,-0.000892,0.309106,-0.017541,0.072111,-0.012464,0.05124,2019-04-17T00:07:00.000Z,2019-04-17T00:16:00.000Z,2019-04-17T00:15:00.000Z,2019-04-17T00:16:00.000Z,,,,,,,1,2,0.009722,0.062428,0.025,0.72254,0.025,median_m1_close,0.05,0.0125,4.238345,2.147957,1.758382,0.993166,27.973906,0.007831,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|LONG|2019-04-17T00:02:00.000Z|range_0.432643|pe_1|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_4.238345|pcost_2.147957|bcost_1.758382|balance_0.993166|gq_27.973906|vol_0.007831|q_0.062428|brick_0.025|band_0.025|target_center_band,4C1ADA64CED2AC35BFE6FBDDEC2A07A40316124B3B140B7A324894B3B46A0209
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|LONG|6,AUDCHF,LONG,target,2019-04-17T00:19:00.000Z,2019-04-17T02:01:00.000Z,2019-04-14T23:00:00.000Z,3,2,0,0.694157,0.493246,3.559995,-0.18,-0.013437,3.366558,-0.335286,0.694157,-0.238244,0.493246,2019-04-17T01:28:00.000Z,2019-04-17T02:01:00.000Z,2019-04-17T00:26:00.000Z,2019-04-17T01:56:00.000Z,2019-04-17T02:00:00.000Z,2019-04-17T02:00:00.000Z,2019-04-17T00:54:00.000Z,2019-04-17T01:03:00.000Z,2019-04-17T01:08:00.000Z,2019-04-17T01:10:00.000Z,2,3,0.070833,0.062428,0.025,0.72254,0.025,median_m1_close,0.05,0.0125,4.238345,2.147957,1.758382,0.993166,27.973906,0.007831,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|LONG|2019-04-17T00:19:00.000Z|range_0.432643|pe_0.260007|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_4.238345|pcost_2.147957|bcost_1.758382|balance_0.993166|gq_27.973906|vol_0.007831|q_0.062428|brick_0.025|band_0.025|target_center_band,68F732A84AA8A4566A0745DAFA946F95A35ADEE61063A557AA50125C80AD6115
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|LONG|8,AUDCHF,LONG,target,2019-04-17T14:03:00.000Z,2019-04-17T18:01:00.000Z,2019-04-14T23:00:00.000Z,3,2,0,0.709942,0.504462,3.65,-0.18,-0.044385,3.425615,-0.287672,0.709942,-0.204411,0.504462,2019-04-17T14:13:00.000Z,2019-04-17T18:01:00.000Z,2019-04-17T14:22:00.000Z,2019-04-17T14:23:00.000Z,2019-04-17T14:37:00.000Z,2019-04-17T14:51:00.000Z,2019-04-17T14:10:00.000Z,2019-04-17T14:11:00.000Z,2019-04-17T14:12:00.000Z,2019-04-17T14:13:00.000Z,3,4,0.165278,0.087664,0.025,0.72498,0.025,median_m1_close,0.05,0.0125,9.745258,5.889224,5.12182,0.991925,57.953969,0.009789,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|LONG|2019-04-17T14:03:00.000Z|range_0.974916|pe_0.29588|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_9.745258|pcost_5.889224|bcost_5.12182|balance_0.991925|gq_57.953969|vol_0.009789|q_0.087664|brick_0.025|band_0.025|target_center_band,695860D858C2BBFD2A4D81D7E46DDE5D098A99AD17C6BC96EB79E10416059B55
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|LONG|9,AUDCHF,LONG,session_flatten,2019-04-17T18:19:00.000Z,2019-04-17T20:00:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.031078,0.022083,0.159997,-0.06,-0.006432,0.093565,-0.025252,0.036905,-0.017943,0.026224,2019-04-17T18:48:00.000Z,2019-04-17T19:29:00.000Z,,,,,,,,,4,,0.070139,0.087664,0.025,0.72498,0.025,median_m1_close,0.05,0.0125,9.745258,5.889224,5.12182,0.991925,57.953969,0.009789,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|LONG|2019-04-17T18:19:00.000Z|range_0.974916|pe_0.061358|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_9.745258|pcost_5.889224|bcost_5.12182|balance_0.991925|gq_57.953969|vol_0.009789|q_0.087664|brick_0.025|band_0.025|target_center_band,A6C0D133E3188B2FA8BBEC0D9F5F09A05760DA49DF304D15C1B5F4A9A2E89FE1
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|SHORT|7,AUDCHF,SHORT,session_flatten,2019-04-17T02:01:00.000Z,2019-04-17T20:00:00.000Z,2019-04-14T23:00:00.000Z,11,10,0,0.298206,0.211896,1.550016,-0.66,0.073215,0.963232,-3.418011,3.501831,-2.428729,2.488289,2019-04-17T13:31:00.000Z,2019-04-17T14:13:00.000Z,2019-04-17T02:20:00.000Z,2019-04-17T02:21:00.000Z,2019-04-17T02:21:00.000Z,2019-04-17T02:21:00.000Z,2019-04-17T02:02:00.000Z,2019-04-17T02:02:00.000Z,2019-04-17T02:02:00.000Z,2019-04-17T02:05:00.000Z,1,,0.749306,0.062428,0.025,0.72254,0.025,median_m1_close,0.05,0.0125,4.238345,2.147957,1.758382,0.993166,27.973906,0.007831,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|SHORT|2019-04-17T02:01:00.000Z|range_0.432643|pe_0.145658|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_4.238345|pcost_2.147957|bcost_1.758382|balance_0.993166|gq_27.973906|vol_0.007831|q_0.062428|brick_0.025|band_0.025|target_center_band,FE8A6239B0F21393730D3830557F1ED443667988757B40D170E8EB56B6D40DE7
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2|AUDCHF|SHORT|10,AUDCHF,SHORT,target,2019-04-18T00:02:00.000Z,2019-04-18T00:31:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.075707,0.053795,0.390001,-0.06,0.000201,0.330202,-0.027176,0.075707,-0.01931,0.053795,2019-04-18T00:23:00.000Z,2019-04-18T00:31:00.000Z,2019-04-18T00:28:00.000Z,2019-04-18T00:31:00.000Z,,,,,,,1,2,0.020139,0.073721,0.025,0.72448,0.025,median_m1_close,0.05,0.0125,5.465806,3.18528,3.138296,1,42.56992,0.007831,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|SHORT|2019-04-18T00:02:00.000Z|range_0.657775|pe_1|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_5.465806|pcost_3.18528|bcost_3.138296|balance_1|gq_42.56992|vol_0.007831|q_0.073721|brick_0.025|band_0.025|target_center_band,C8608AD413A42B5CA2F3A0AC487E685A2B26783548E358604ACD36D22C0FE8EA
