variant_id,activation_rule_id,protection_mode,group_type,group_key,close_event_count,win_count,loss_count,flat_count,win_pct,total_realized_pnl_adr,adr_normalized_return_pct,avg_realized_pnl_adr,total_realized_market_pct,avg_realized_market_pct,net_usd,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_mfe_adr,avg_mae_adr_abs,avg_mfe_market_pct,avg_mae_market_pct_abs,mfe_1q_hit_count,mfe_2q_hit_count,mfe_3q_hit_count,mfe_1q_hit_pct,mfe_2q_hit_pct,mfe_3q_hit_pct,mae_1q_hit_count,mae_2q_hit_count,mae_3q_hit_count,mae_1q_hit_pct,mae_2q_hit_pct,mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,session_flatten_account_return_pct,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,anchor_week,2019-04-14T23:00:00.000Z,27,23,4,0,85.19,6.443656,6.443656,0.238654,4.578658,0.16958,28.22,0.28224,39.66,11.43,3.468662,0.43418,0.444975,0.308514,0.316185,17,10,9,62.96,37.04,33.33,12,10,8,44.44,37.04,29.63,38.6,-10.38,-0.103761,82D717890DB756268630EF201C84F95E8B41F01C58F3D6307831E0CAF7039F4A
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,close_month,2019-04,27,23,4,0,85.19,6.443656,6.443656,0.238654,4.578658,0.16958,28.22,0.28224,39.66,11.43,3.468662,0.43418,0.444975,0.308514,0.316185,17,10,9,62.96,37.04,33.33,12,10,8,44.44,37.04,29.63,38.6,-10.38,-0.103761,7F3A41C40D36AEAE4A09E66142A334288698C980B6FE05A198A1709ADF844EF6
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,close_reason,session_flatten,6,2,4,0,33.33,-1.683952,-1.683952,-0.280659,-1.196562,-0.199427,-10.38,-0.103761,1.06,11.43,0.092435,0.599209,1.16405,0.425779,0.827137,1,1,1,16.67,16.67,16.67,4,4,3,66.67,66.67,50,0,-10.38,-0.103761,60C9FDAF9F127FC6C8EAE5DB218D6961C73A96A0A6760EC4EDD87021F296868D
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,close_reason,target,21,21,0,0,100,8.127608,8.127608,0.387029,5.77522,0.27501,38.6,0.386001,38.6,0,Infinity,0.387029,0.239525,0.27501,0.170199,16,9,8,76.19,42.86,38.1,8,6,5,38.1,28.57,23.81,38.6,0,0,3C5A08A3C88F3274CE90F765A3F9E2B6B38968BF84F5C81C65ABFB36A883796E
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,pair,AUDCHF,27,23,4,0,85.19,6.443656,6.443656,0.238654,4.578658,0.16958,28.22,0.28224,39.66,11.43,3.468662,0.43418,0.444975,0.308514,0.316185,17,10,9,62.96,37.04,33.33,12,10,8,44.44,37.04,29.63,38.6,-10.38,-0.103761,12E97FA43CA6B8013ACA3BD2FF2DB663549C95F5B46D05F069C0F90DED5DEE6E
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,pair_side,AUDCHF_LONG,11,10,1,0,90.91,5.855806,5.855806,0.532346,4.160949,0.378268,27.84,0.278422,28.03,0.19,146.708972,0.536405,0.390488,0.381152,0.277469,7,4,4,63.64,36.36,36.36,4,3,3,36.36,27.27,27.27,27.94,-0.1,-0.000975,87DE2346A08DC5F96E375B2B1F8F9F331ACF2DD6A75AB6894D84B886596521D1
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,pair_side,AUDCHF_SHORT,16,13,3,0,81.25,0.58785,0.58785,0.036741,0.417709,0.026107,0.38,0.003818,11.62,11.24,1.033961,0.3639,0.482435,0.258576,0.342803,10,6,5,62.5,37.5,31.25,8,7,5,50,43.75,31.25,10.66,-10.28,-0.102786,D2B199C77D507BCF600912A83F5A9EED8C8004EA5F4D020E4B900BE3CD8CD0C7
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,strategy_class,formulaic_directionless_geometry_v2,27,23,4,0,85.19,6.443656,6.443656,0.238654,4.578658,0.16958,28.22,0.28224,39.66,11.43,3.468662,0.43418,0.444975,0.308514,0.316185,17,10,9,62.96,37.04,33.33,12,10,8,44.44,37.04,29.63,38.6,-10.38,-0.103761,74E4A4B550E6B9702026C6575AEEFF827AC1D845CC2F14043D8AE4563236A4D6
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,anchor_week,2019-04-14T23:00:00.000Z,16,14,2,0,87.5,1.83611,1.83611,0.114757,1.304682,0.081543,7.74,0.077408,13.83,6.09,2.271787,0.185654,0.143618,0.13192,0.10205,9,6,6,56.25,37.5,37.5,7,4,3,43.75,25,18.75,13.73,-5.99,-0.05993,CED159A8145E8859C7FB4E48D8C52116782C96A50D7CAB6A20A540D9F279B188
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,close_month,2019-04,16,14,2,0,87.5,1.83611,1.83611,0.114757,1.304682,0.081543,7.74,0.077408,13.83,6.09,2.271787,0.185654,0.143618,0.13192,0.10205,9,6,6,56.25,37.5,37.5,7,4,3,43.75,25,18.75,13.73,-5.99,-0.05993,A0F11BD9455D1C839F8648A0F4BE4D48E963FABEE6FD66089FAB76F787EF85F3
