variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2025-12-08T00:00:00.000Z,28,26.358521,-42.66,-5.811481,-22.11296,-31.873094,-0.435868,9945.578078,9977.88704,-54.421922,70,23,47,711,176,77,39,54,18,146.902778,3B36702ED6A723A45ABCCE1F29C7C66C4AF4749F19EAA9B12E5E9B2B504F242D
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2025-12-15T00:00:00.000Z,28,470.879644,-80.1,-14.850091,375.929553,-133.883683,0.133507,10242.179377,10375.929553,296.601299,71,4,67,1335,400,89,39,83,24,428.932639,2C88E1FAB1A0610EFA9423207FAC17480C1FBBCF7BF41DF12AAA0B1838B31C4E
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2025-12-22T00:00:00.000Z,28,303.30377,-92.52,-16.725198,194.058572,3.386171,0.003605,10197.448348,10194.058572,-44.731029,8,2,6,1542,455,89,39,83,24,665.885417,F2B6D33AF3C7A4942460EEB96ACD1019F66A466F14B7ABC3AE4BBCA834E65E97
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2025-12-29T00:00:00.000Z,28,476.928108,-124.8,-18.941029,333.187079,-62.163405,-0.111156,10270.912518,10333.187079,73.46417,64,30,34,2080,626,89,39,83,24,755.376389,78932F160FE6F371E3E71CDA63DD75862E4049468509245B16A75A910748BB4C
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-01-05T00:00:00.000Z,28,660.006671,-164.16,-27.873349,467.973322,-53.165525,0.108097,10414.915894,10467.973322,144.003376,42,0,42,2736,842,89,39,83,24,1032.095833,6E5FF869ECD3CA6ADF96ACE501C8D88D54370E50932BF512D1D205C083DC3624
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-01-12T00:00:00.000Z,28,958.37488,-213.66,-31.833741,712.881139,-24.994359,-0.828321,10687.058459,10712.881139,272.142565,57,41,16,3561,1074,89,55,83,24,1300.827778,B8A3472C67FD8E4B7D3A6034724733037F4771BD342D3910C71C854BA05F4496
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-01-19T00:00:00.000Z,28,897.90506,-286.26,-49.274241,562.370819,-98.395062,-0.451583,10463.524174,10562.370819,-223.534285,109,30,79,4771,1391,135,56,97,29,1698.054861,ACDA7F4ADD90CBD91E9AC763C0E515C7DAE47E709A128D2A3BEF24D9F8C7E6A3
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-01-26T00:00:00.000Z,28,1579.325871,-380.34,-67.263092,1131.722779,6.932341,-1.02315,11137.63197,11131.722779,674.107796,143,60,83,6339,1824,171,84,111,29,2272.146528,91233AC596253B783ADC67DEE04077DDAB25EBA063F3FD9895001555C6E62021
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-02-02T00:00:00.000Z,28,1338.848283,-422.58,-88.781237,827.487046,-75.672331,-0.364412,10751.450303,10827.487046,-386.181667,96,33,63,7043,1974,171,84,111,29,2819.872917,832A370EF80DBDD658E0E9DD41E16B001422FBD507BF04CD54BF35F46C791774
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-02-09T00:00:00.000Z,28,1588.54849,-490.56,-107.770963,990.217527,16.303139,-0.813231,11005.707435,10990.217527,254.257132,73,44,29,8176,2316,171,84,111,29,3281.936111,9B1E73CEB77E4A8F64E263C32985C3AB5EB4B3C818D5B957DB7AA6E4BE6CADAE
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-02-16T00:00:00.000Z,28,1805.097797,-521.82,-121.072895,1162.204902,-24.619256,0.016821,11137.602467,11162.204902,131.895032,51,7,44,8697,2491,171,84,111,29,3562.847222,87A4609561B75D670BAEA56842F0A2DD9842B27E1966515ABEBEAA0C995449A4
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-02-23T00:00:00.000Z,28,1957.813114,-574.56,-126.509099,1256.744015,-324.608102,-1.927364,10930.208549,11256.744015,-207.393918,114,105,9,9576,2742,171,110,111,29,3869.05,173474EA1E8ED0DDFE37AE836AE4EC42C1E413D093F1ED944A2A7B6BA60C8C59
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,2026-03-02T00:00:00.000Z,28,2941.176345,-676.08,-170.297478,2094.798867,-8.162159,-0.880423,12085.756285,12094.798867,1155.547736,113,85,28,11268,3132,173,158,111,42,4514.261806,C3492FF9750CE2402099FB117E581C9A9F22F9C672B3EFE482CF8C563AF4A53A
