case_id,scope,section,key,raw_value,numeric_value,content_hash
audcad_h1_12y_type1_type3_primary,primary,setting,Expert,LimniHedge_V1,1,6E284A8F6E37328FB6F03174B27A09A4FC0EB68E087F294E58EB9F1B189F5614
audcad_h1_12y_type1_type3_primary,primary,setting,Symbol,AUDCAD.i,,DF1FBA6D65166159B5F810D495B0867772DAC037CCEE7657F88F58282AD2D17E
audcad_h1_12y_type1_type3_primary,primary,setting,Period,H1 (2014.07.02 - 2026.07.03),1,1A75B157A0AB0546D567300323D9426287041D8073202B2A51308126EC5C5EBF
audcad_h1_12y_type1_type3_primary,primary,setting,Inputs,T0=,0,9A6DB9AEB716899FD09E001B4758EA965EF49B4E19F1491A6E6140DE109DA690
audcad_h1_12y_type1_type3_primary,primary,input,T0,,,6DD6C6F0D55CEFF091E7084660A2D99AE7A3AB5E9B054D73D1F83A0D0232CC62
audcad_h1_12y_type1_type3_primary,primary,input,T0a,,,6C415F858FD197929FD96B3C3CDF4919A718B42450B5D725F80E45AD5638C8C5
audcad_h1_12y_type1_type3_primary,primary,input,T0b,Trade Orders settings:,,70AD53295BFCB2818681E97DB1A640F37C36DD2D4A511956033C216171AB5CF6
audcad_h1_12y_type1_type3_primary,primary,input,InpUse_Type1_Orders,true,,36A0ED8688951E055EFEACDD37300EE1B429825ECF7DAA9E1DD23F88883DB8CD
audcad_h1_12y_type1_type3_primary,primary,input,InpUse_Type3_Orders,true,,69EC981CE625B3694B2F1ACDD922D990E94C15441005AA560ECCB9A61D790687
audcad_h1_12y_type1_type3_primary,primary,input,Trade_Lots,0.01,0.01,AE853452B66EB018F25446143057E781B53E133E182E7B2AD0FFDF1BF2FC98FC
audcad_h1_12y_type1_type3_primary,primary,input,Orders_TP_Pips,0.0,0,3B27D67AAD4CF227C4E39C2EB5D649E1E6E15043DCD4C20437AA7783A7E420A3
audcad_h1_12y_type1_type3_primary,primary,input,Orders_SL_Pips,0.0,0,AB4989E8A740DD31204F037D2014DD17E38234825DE395167EA214253E759127
audcad_h1_12y_type1_type3_primary,primary,input,MagicNumber,800,800,E6B74247F553E7DEAF923DCA2AF9E0E61DF11ACE32FB2664F8ED17DAE98611C1
audcad_h1_12y_type1_type3_primary,primary,input,WaitForFirstTrendChange,true,,78464C40283B70E4ED173EC7C9CD912D61D8C2329C62AC3C0662AA10F6EC0B56
audcad_h1_12y_type1_type3_primary,primary,input,Alerts_inOrders,true,,3B47986B1A7F1F01EC0E12BDDDA964D9288E961C4313ABFD9D27151DCF74D5E3
audcad_h1_12y_type1_type3_primary,primary,input,T1,,,502D84F2F1138B049DB32CEF04312E5B050A4D9E1B052F0EAD04D5B62BF24620
audcad_h1_12y_type1_type3_primary,primary,input,T1a,Trend Indicator settings:,,C81D116C2B23C7E345B9CB64D43734B5008C2078595232C079CA6D8222D8DDA1
audcad_h1_12y_type1_type3_primary,primary,input,Indicator_Name,David_MA_Color_V1f_Updated,1,B9D2277598CC7F22C732F2E5350F98C9A3C1056770F1BB17C34DDF221063D2FE
audcad_h1_12y_type1_type3_primary,primary,input,MAPeriod,100,100,E962E97FAA0470017272F1AAE9C5C2DCB436C895566ABE6502B26E3948DF7153
audcad_h1_12y_type1_type3_primary,primary,input,MAType,3,3,A4A94A15437DD12545ECA1532B982A8AE0D7A839F27F613E829FED26EAB12425
audcad_h1_12y_type1_type3_primary,primary,input,MAPrice,0,0,EF2F7042344554B7FA4DB4CD308D08F8A232AC35B0952CAB347E78FBF47738BB
audcad_h1_12y_type1_type3_primary,primary,input,UseRSI_Filter,true,,B260B339FD39418172110717D12FB914753EF6BCA51DE235E9E54B9CEA76CCE5
audcad_h1_12y_type1_type3_primary,primary,input,RSIPeriod,100,100,D04EA309131AD0060501C6EE7DA33302CDDE66327EA8C7192945AAF43040669A
audcad_h1_12y_type1_type3_primary,primary,input,RSIOverBought,60,60,1F076BA29673FA43AC35F0079C3A0E088EF5FBF16F6D089DBE06CF57353C38F2
audcad_h1_12y_type1_type3_primary,primary,input,RSIOverSold,40,40,629AF615489CF3FE8827C19A6202AF88FDFD33056D24371FC2A5AA28B9384B7C
audcad_h1_12y_type1_type3_primary,primary,input,T3,,,2136D8CB3C819901A657BE5BCDE2213E667F983F4E45A0A04663AAE5D688F74E
audcad_h1_12y_type1_type3_primary,primary,input,T3a,Trailing Stop settings:,,B789F92402829BBC3864FA22930CDACB0C42FF78D7E2F5020E7BA1FA0EC3BB1C
audcad_h1_12y_type1_type3_primary,primary,input,Use_StopLoss,true,,EC862FBE397CF022B9675A0A4CD13BA5D15E9D7CE744C1A6A9E86DA05BABD997
audcad_h1_12y_type1_type3_primary,primary,input,Trail_Start_Pips,20.0,20,178EC29AA5A9BF08B347C235FE7C5DAD1A78EB492DEDFE3E0C812D22AE3F3B6D
audcad_h1_12y_type1_type3_primary,primary,input,Trail_Step_Pips,1.0,1,E313C0F2768982F8B2B7C01ED1B8A21F333D49904D7976148173D4222930F474
audcad_h1_12y_type1_type3_primary,primary,input,Trail_Stop_Pips,10.0,10,904CA5535BF30857DFFC78E8F5D48B7BD68E68CB10419D07CB71E8AAB333CF3F
audcad_h1_12y_type1_type3_primary,primary,input,T4,,,832F75E1E88D6C35D6488B01652F59B5CCFED851E4B8424178E9DC178E33F160
audcad_h1_12y_type1_type3_primary,primary,input,T4a,Backtest speed settings:,,FE4C004E16CB347CE48FD9BD2452EDF90F78BEE5ACCC792283A912A12E77F803
audcad_h1_12y_type1_type3_primary,primary,input,TesterSkipPanel,true,,7D8832E825F53E6CA8A337B8D8DE8B472931A016AA9C32211FA61DDEABDCCBE5
audcad_h1_12y_type1_type3_primary,primary,input,TesterCleanupOnNewBarOnly,true,,15FFC3D0A09D7FFA2FC9CC2EC5311C36675E9D89460F2A1E27BA63080123F7CF
audcad_h1_12y_type1_type3_primary,primary,input,TesterTrailOnNewBarOnly,false,,665BE2B753BC0C41EE219DC5F95BF48C319BB2CBA3F37E43B1CB9A538A62414C
audcad_h1_12y_type1_type3_primary,primary,input,TesterDisableOrderAlerts,true,,5C7CE78074CCB73FEFBE995A3CE0E4A5F391F92F2840F6B82ECCBC3043C63032
audcad_h1_12y_type1_type3_primary,primary,input,TesterSuppressInfoLogs,true,,6A4E6B9E51DAFB13C390418665A3F8F5D796BEFB7FA756967C71680304084954
audcad_h1_12y_type1_type3_primary,primary,setting,Company,Eightcap Global Limited,,AA1E561F29A3B7C546BD584AE20F09E6A8AA77E2F412C43AB71CDF34B9554C49
audcad_h1_12y_type1_type3_primary,primary,setting,Currency,USD,,03EA6E2F91BE9D5F22422A8BAFC8E83553A25889589FFB037BF79527D01C290E
audcad_h1_12y_type1_type3_primary,primary,setting,Initial Deposit,10 000.00,10000,379477EC57A187464F4A03C4BD5FB050560B5DBD128D1B18C9BBE7053587B547
audcad_h1_12y_type1_type3_primary,primary,setting,Leverage,1:100,1,71D5FBB65AF47B828C5D35783537F39AD5EDBB57E416415BABAD3BDE19C8610C
audcad_h1_12y_type1_type3_primary,primary,result,History Quality,66%,66,3B8E189A5EA7709970B8826584D9D1F1EF64EFDED313BF3083B89D804835EBBE
audcad_h1_12y_type1_type3_primary,primary,result,Bars,54765,54765,43DD6072763A26206868ADD372E4ACFFEB938C146CF1D95550193BAEAF578011
audcad_h1_12y_type1_type3_primary,primary,result,Ticks,215477,215477,55936961FD99585DB286CD5CBEDA11BDCF2B96CE1A82D655CB7DC5AE009845C1
audcad_h1_12y_type1_type3_primary,primary,result,Symbols,1,1,0114AB28CD2DF43D5408ADAE881154272AB046A308BC1D4C319BAE301906F208
audcad_h1_12y_type1_type3_primary,primary,result,Total Net Profit,5 039.46,5039.46,7960961347A1794C12D7686FA712E349FC15F6137D7419065B0D086E92CDEC1F
audcad_h1_12y_type1_type3_primary,primary,result,Balance Drawdown Absolute,0.00,0,513613757E7AABE4CE53BDCDDF818E44009A65E63A4A119B21DE9B624568CC10
audcad_h1_12y_type1_type3_primary,primary,result,Equity Drawdown Absolute,547.19,547.19,C3A99F6E4F7C7F2487CC207A4582B86A74C03FD91A3731ADEC4F3A96B2CC52FF
audcad_h1_12y_type1_type3_primary,primary,result,Gross Profit,6 254.57,6254.57,FBD069600F16245CFF29372BBB7A67D3982D21A2F37807F8690C0525E7A6883C
