case_id,scope,close_year,exit_deals,net_profit,commission,swap,price_profit,terminal_liquidation_deals,content_hash
audcad_h1_12y_type1_type3_primary,primary,2018,120,515.87,-17.36,6.16,527.07,0,58FE81E6232858CCEBD30CC885DD05236AB2BD6F27CC18EADD64820D5E156E2D
audcad_h1_12y_type1_type3_primary,primary,2019,177,646.57,-25.06,-1.75,673.38,0,26C3283909DF166F37FB16B778A4F84DEB7F6EE579C0A6279DF26C5BABDE9271
audcad_h1_12y_type1_type3_primary,primary,2020,186,731.08,-27.02,-24.3,782.4,0,6EC396F9CDEF7DF6C6A81EA1F2CBEB0C7AB02C1DF3DABBB7A5164212EE651262
audcad_h1_12y_type1_type3_primary,primary,2021,165,696.63,-23.52,54.1,666.05,0,38B18BB68010DD51604A0E06FB4D906F7FD866C48AFF67B208883EB8DC525B57
audcad_h1_12y_type1_type3_primary,primary,2022,156,724.72,-22.4,121.89,625.23,0,348232A82A31FCC21860E5B4D39D326763A5A3A5BB0249EE36BDBD8AF0580ECB
audcad_h1_12y_type1_type3_primary,primary,2023,141,403.93,-19.88,-129.79,553.6,0,D329CF401DF897320C64908198774B87158A26FEAD1D4D628EA43D2B7FA69B7B
audcad_h1_12y_type1_type3_primary,primary,2024,220,879.04,-31.5,44.85,865.69,0,0FBFC9129012E1F28DA655391FE168AFF4ED0A36942855AD6D293C9C655B851A
audcad_h1_12y_type1_type3_primary,primary,2025,177,471.04,-25.2,-178.45,674.69,0,BE66AE7FFF8FAE1E2BA0BBB304355CBCFABC2159B24AD86E421D4606D2A66B61
audcad_h1_12y_type1_type3_primary,primary,2026,90,-29.42,-12.74,277.33,-294.01,16,5773DB6BEF5A2448001BC3C838E2A960A2956FE423EF1E848D9801A7ED0CA78E
audcad_h1_type3_ma_changed_primary,primary,2025,152,3163.24,-212.8,331.52,3044.52,0,AA1576B9B8C84F66CDD2E79D7491128993CC77B7FE26327C247117D3062B3F4C
audcad_h1_type3_ma_changed_primary,primary,2026,108,1977.36,-151.2,127.8,2000.76,2,6217D573CDCFC69390A0A7DA22EDB300969CD52EDE7931CA8544993C1E4FC818
audjpy_h1_type3_primary,primary,2019,183,1687.87,-25.62,331.34,1382.15,0,5B9605D05E3CD81FD9F6B05F7C125B4F365217DB684F8B068F9191D8E1E35515
audjpy_h1_type3_primary,primary,2020,212,2220.14,-29.68,623.01,1626.81,0,2E5EEA41B15DCD93DBC489F6BF8BF6081333DC3E7A4560719E2A64452A69B066
audjpy_h1_type3_primary,primary,2021,206,2170.78,-28.84,594.46,1605.16,0,54DC661B55CDAF340AA9C0A8B2F687C82675B7D53C016C862C73D26A75DB8C38
audjpy_h1_type3_primary,primary,2022,187,1333.63,-26.18,110.64,1249.17,0,8ABC8C16927005857E5FA6611E287B13F680BC623E6EF51A3B545F638966CDDA
audjpy_h1_type3_primary,primary,2023,185,1404.85,-25.9,347.25,1083.5,0,FB8C6981BB7FD599E7102AE96DF938568503D2A398029C429ECA4C1ECFB15877
audjpy_h1_type3_primary,primary,2024,202,1144.41,-28.28,134.6,1038.09,0,4B415E88339D9F03257C5203F81A430F519B833F638646D5792A441C53079674
audjpy_h1_type3_primary,primary,2025,226,1557.1,-31.64,426.38,1162.36,0,F38E1BBC8BF168CF34E15EB60D5FF3F2DEA356C2F5D2F63958D058B0FB9CEEB6
audjpy_h1_type3_primary,primary,2026,117,446.46,-16.38,244.54,218.3,11,6756A814359069A2CF11F9CD36AC661DF23DE26658FEF9021AF0313CA49347B9
audchf_h1_type3_secondary,secondary,2024,61,520.37,-8.54,50.23,478.68,0,066425259043B5948A1A9CB2763B542B58251AD4305B629A73E6395D53B54D5B
audchf_h1_type3_secondary,secondary,2025,166,1422.17,-23.24,250.93,1194.48,0,6DF8EFD6E45CB63CC91B56658C9A0153652CDFD1DEC14179E167A95C8BA7D8A3
audchf_h1_type3_secondary,secondary,2026,159,1318.42,-22.26,1666.65,-325.97,36,549399CF71DF05196C40D4C37FF40439F34FBFED66D9A6D0760599DABA5D33E9
audcad_1_hour_chart,discovered,2025,143,780.31,-20.02,99.53,700.8,0,5ADB6FE20B02442A2D15FBA72F6A778DEDB20E481CF877657C6332F8D7F9E8E1
audcad_1_hour_chart,discovered,2026,117,552.73,-16.38,53.28,515.83,11,B84DE614513533C1687B62FB481A49E92CEF3A9BBB3D7F636808388882E1C379
