case_id,symbol,entry_time,side,order_type,lot_size,david_state_shift1,david_state_source,type3_candle_combination,bar_hour_utc,bar_spread,bar_tick_volume,content_hash
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-03-22T15:00:00.000Z,SELL,TYPE1,0.04,DOWN,mt5_export_indicator_buffer,-5,15,0,9484,2D8904C2D95E30EFA4A865993DE4A495956227AC92AF8A369C50A7BD0D05BB08
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-03-23T14:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,14,0,6522,6E6EF2DEBF0A24F105980461ED4029129F52C1429CB520BF12EF5473EE9B8687
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-03-26T05:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,05,0,2997,7180224BDB5CE31A67E7CC70A8EF71A0B34A766A32B6C40671D01B70AFA29F6B
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-03-28T04:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,04,0,3795,784168E681237AF8389B4ACAEDA3DEB3FBE978121676FBEF704B2CED26E7B4F3
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-03-29T11:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,11,0,5144,09CFF9FBFB58AAAF1AB156B4A7012115D0FB9CB486ABF48C4D6C908CCD6A84C3
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-03T07:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,07,0,3179,969E22B321CED71F3F26DD4A8E852600F7FE3AEE09D0E8072F1BA285F434FFBE
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-04T17:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,17,0,12961,28A3B19CC55B9E558B5D29F62D7F17639111E26A2B5D613A5CBFCC7B8BBE8C5E
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-06T06:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,06,0,3360,2D0A525EB705C6C517C34F082DD287494A706D823B0B5CE76A80D67397CAFB2A
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-06T12:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,12,0,3987,62C90670F45017BCF90FB15AE2AD60275D220E24429A0D3A3E951F0F827B9603
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-09T04:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,04,0,3290,2A04C40A2154B691AE853D279FA37C194FC751CA7835735A8D3B5AFE84EB7465
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-12T18:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,18,0,8393,90BD939440A23F34624E2FC3112863DFAAAB5D40414170402030A85817D5EA6F
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-13T06:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,06,0,1740,D2B4E6F08725F84A0ED27AA0792E1541778F51F93A7760C61BCF5855E94E1698
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-17T11:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,11,0,4826,1A2B59E715413E8CF0C9E50A769658CCF2F381CBDB3C377641022AEA57C040C2
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-18T04:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,04,0,3209,391C77622AD4A8DC1FE6005CEEEA5018474B9805F0F6D16A6B9C501EC806462B
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-19T03:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,03,0,1995,CE3EBFB2C4817A7A6F2E8A7E5EA3702EFB445A18036D3A6A2F6131231B9C190B
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-23T00:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,00,0,1258,D65B7FF3AFF065916FEF3E4F45E94C109847A48CC06F05D06D25149211509256
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-23T07:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,07,0,1464,4D5111E88450F3113756339B37DAC6D8800F36579D80AB110DD4994A1E7EC6FE
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-25T14:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,14,0,7591,7D14F3BCB853B051011719E30EE0C5146309BD2FF1480BAC3D969326F3E35FA7
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-04-27T13:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,13,0,5207,F0A1C0B2231CC881BB3CD85E375FB7269754750A85AEF5A8C1054D3368C2667B
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-01T06:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,06,0,1656,AE6A93D2A04E0330F8AA6543AE37A16571561C57B31B79CD6A44E9CAA41739D7
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-03T06:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,06,0,2993,FCCFA4DEB4FD7B2D581AE51869B6F10E1068014D1B18311244FD444E3E7D23EB
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-03T16:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,16,0,9704,3DB1DCD30EBD008F0C03CACA913B2BA38F0C8285C7A77C0E6AD7B4AD05565337
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-08T04:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,04,0,4214,DF741A3D6D0622CDE4A771ADF97CAA377F31159C6E9A1C9FD6A29E01AF405C58
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-08T11:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,11,0,7808,A454AB4AD2F828C50E810D241B48BAE8435F00FB5C0C4C76DA519EAB6B842AC5
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-14T04:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,04,0,3456,E5E37187048120B06D71ABA9135ABF77B1771987C56548678174E41C0FC3FEE2
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-16T09:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,09,0,8073,D4C30634C37B05B4721322363E202DCCACCFD5B6E807C7FA957023035449C7A6
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-17T07:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,07,0,2124,153FB2D8E06A37918708E1FEC01158320C1FCFC9296B466D5215AAE39870CEEC
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-18T02:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,02,0,2649,2901944072BA30AE261C9A9B2DF74CDDA5EE09E6604C8287A41CC930B6371AE0
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-18T18:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,18,0,10674,CBC3A46D54D037CC297CAEEC82E98FD30F101ADF00D8A13971C48BD5E42F98D2
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-21T17:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,17,0,9609,E619CF0EC6E9936229EBA1F7675D4C329EDE9E0B41CC75F2A3D8AAF3751B59E5
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-23T14:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,14,0,7932,EC825E1D7B3E6B333D0D25814BE9CDAC883574AA48D94DE8B723CE4FEDE7FFC3
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-25T16:00:00.000Z,BUY,TYPE1,0.04,UP,mt5_export_indicator_buffer,2,16,0,12614,8679DAF4895D6D92664D52D3F8991E2EF2DC39D8C7F7310F858D31F1D78C028D
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-28T16:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,16,0,6068,A5DC928360D45FD7138619BC5F48B8F24CEEFE251EF2A63FD279CD8BF018D621
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-29T06:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,06,0,3712,28220105FA1A18000C036B9A75E04B77A7B8B1BE2ABC51F601FD6F54085750C4
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-29T23:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,23,0,3448,C79C02F353960956425CDB1C09206847580BBF53F23E2859A4AB83244DE1BDC4
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-05-31T06:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,06,0,3335,4F727EBA4F00AE78EF7B9DE1832E607EA256FA951A3A1AF4072FBC5627739EBD
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-06T00:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,00,0,1638,64BE7E74C27085F6D9B0A1448AD6C10C90E0A7E837D91ABA4FE226B4C8ABEF85
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-07T05:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,05,0,3931,A37F42EC80DDC8C88A88C33EA36B1698662BEE5F68D6B4DF5A1233B7D9B16356
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-07T22:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,22,0,5220,F67FD7E53C82AEB3F0B383CDC5765050694143C00730310F2CDC0D0D6375A994
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-11T00:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,00,0,1262,47C1D9EA07510702ED38B95A28A9072F6419291EAAFFF3FF6E08E5BA0F03DE45
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-11T20:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,20,0,3993,0366226D21F24283B9157BBF256A2F51036E6EDA7E7CC16E24EC378B12482293
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-12T18:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,18,0,7013,2EF0275182582DE2B7DB5BDE1F1B5C7876F9845E1C7520FB99ACAA070FC85DE8
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-15T01:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,01,0,1561,226608FAE50B175A4594BF5BDB5A5F5C88D3D164AC95D58A10AE8A82B63D7929
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-18T23:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,23,0,2576,DC87164DBD892D352E7667A280948F05D8C83106CDCC214C8489EF703EF0B99F
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-21T00:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,00,0,3027,87ED9F506EAB9F6B9F54E1C170E7279185E78177E7DB9CAA7A9E8B3BD072F9E8
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-25T00:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,00,0,601,55CB525AD677C9A7A8F02A6FC4D835A688F8106D9AF3C40B48D2C0E9819867CF
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-27T21:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,21,12,4498,FA6E1BE3D21CE9C3CD50EDCCD34712B35938B1FE6EA323828BDC80D3CB66970C
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-28T03:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,03,11,2644,212C0DBD954A981F898844BDFA91C051151AC5C30B70A99AF3072E0FB6CF3F4A
