bucket_family,bucket_id,entries,net_profit,avg_net_profit,profit_factor,win_pct,terminal_liquidations,avg_hold_hours,content_hash
geometry_quality,gq_0_5_1,21,109.88,5.232381,135,95.238095,0,321.427897,B551954F60186928F75C64FDD5B9F42D66FFC26334D2CABA579E4A34B88FFA75
geometry_quality,gq_1_2,72,515.55,7.160417,5.851779,94.444444,0,866.749379,646F470036DB2611B3CD74D403A938DDA9A3030E81DE9D7E49E1D34B4FB35B58
geometry_quality,gq_2_4,291,1885.36,6.4789,8.312699,96.563574,6,679.518276,447D61BDEEE11F27B9BCA131F76D3D34EBE7F16F3FDBA392C840C320CD660250
geometry_quality,gq_gte_4,3470,24219.83,6.979778,13.223286,96.455331,70,572.279773,6E4B3C6441015C91916CE05A9F9726D546393B9D8BEFD6614AD87831C7C88CF0
geometry_quality,gq_lt_0_5,2,8.68,4.34,,100,0,124.999305,1616C4A9A089D34F6F1CA01A242E7463AFD2FD134DA28B16B709E2A5FDFD6B70
path_efficiency,pe_high_gt_0_6,98,596.76,6.089388,6.68722,94.897959,0,461.815697,F86C74ED5AFB0B206423EDFE71E358AE562D66BD40635A70B347952FE5B66500
path_efficiency,pe_low_le_0_35,2996,20608.15,6.878555,12.979881,96.395194,62,538.054776,793BB92A87E339621243E12ED35B5FD3981D154EA410A24056FB00499FE59C76
path_efficiency,pe_mid_0_35_0_6,762,5534.39,7.262979,11.618757,96.71916,14,781.740842,62740EEB779E52E3D02A15C6872173547F64673E56A18CC16FD764669944BC4B
side_distance,distance_0_0_25,437,3535.14,8.089565,25.163636,98.398169,6,513.987936,681709F821247EC32CF956DD347A4BF505723E3E74BE531EA80CDB1849DD267B
side_distance,distance_0_25_0_5,121,980.91,8.106694,1258.576923,99.173554,0,763.958062,F9943150B148E79562D57679844D16541A74F8F2388DE9709A48F0051CC5B1FB
side_distance,distance_gte_0_5,48,346.46,7.217917,244.985915,97.916667,0,669.332656,22FE5BFC3B3493811E9A95CCE17B2394ADE0044A86D4ABB300CA529D50DF2CD3
side_distance,wrong_side_of_center,3250,21876.79,6.73132,10.953723,96.030769,70,585.777523,C65227B2466173FEADD3B4A18A786393514090E346CF640D0AEC3D6CA6D7A3AF
