symbol,source,pair_week_rows,raw_bars,time_h1_bars,first_raw_timestamp_utc,last_raw_timestamp_utc,candidate_b_sides,content_hash
AUDCAD,gate74b_trade_leg_path_warehouse,373,476686,8172,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,2A1EEF4DFC1A5A4033A4A755AE77BDBFEB97E5D6573624E83ED98305F602E918
AUDCHF,gate74b_trade_leg_path_warehouse,373,477317,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,SHORT|LONG,C63BE91D8A01E687DCAAE0FF3F81898D569D574C303480CE6FE9342937E8B63B
AUDJPY,gate74b_trade_leg_path_warehouse,373,483795,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,SHORT|LONG,CB8BBFD7C452AD24EF2620991610EB6809FEBBD22AF60E5D2DCD855E0BCF9C76
AUDNZD,gate74b_trade_leg_path_warehouse,373,482171,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,SHORT|LONG,DECEC42129D5AAAF4F05892A7EBA7552B9E59559FB573ED162B8FBABD6AFF3A2
AUDUSD,gate74b_trade_leg_path_warehouse,373,482086,8172,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,15CEC006D563054A82C8F81CC2D6A7F18830F99B040AB97A00EA8289D0DB6C7F
CADCHF,gate74b_trade_leg_path_warehouse,373,462198,8172,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,SHORT|LONG,9A337D40AC57C0931B4FE09FD08231A5F16E5A18EA16E81B286799882EEDD4C3
CADJPY,gate74b_trade_leg_path_warehouse,373,480730,8172,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,SHORT|LONG,52A742CFD7953B2BA3823B63EEC77AD7DF69703E68882B74EAF9B19CA4C7BCA8
CHFJPY,gate74b_trade_leg_path_warehouse,373,480637,8172,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,52D8DCC8DBCD5C50D8CCF13862D0E1777F982EA83BD7E21A05849B3E0EF7DC35
EURAUD,gate74b_trade_leg_path_warehouse,373,483847,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,919A8DD19F4500DC79C47E270D89D34320E718FC5810EAE99467F37E08C468B8
EURCAD,gate74b_trade_leg_path_warehouse,373,482945,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,9B386BBC47DF64A5F5CBC9BB4908749F123B9A2374C40D8C3290C795D8D38FD1
EURCHF,gate74b_trade_leg_path_warehouse,373,481026,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,1ABFE01C3B62C6EA30D22781452053C87136D8098BD7F5BFB0A855D492A7C72B
EURGBP,gate74b_trade_leg_path_warehouse,373,481940,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,BB4A6C87D6CB2C258B975D92587C0564C773A0A6B2AC5253AF62C9692FC3E709
EURJPY,gate74b_trade_leg_path_warehouse,373,483250,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,A1F37BB4A262B399405ADF5158BF390E8654AF4FEB53B97D99460D505E64D560
EURNZD,gate74b_trade_leg_path_warehouse,373,480201,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,0ECE0CD09BA5385E01A4A2075ED94D1A2D0A4B08CD769E0F4101247A8BF462F2
EURUSD,gate74b_trade_leg_path_warehouse,373,483304,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,LONG|SHORT,3865FA576C7676A3D9FFAF054B57D30FF5FDA4F1FE63F95B89D381CD5EB03BE6
GBPAUD,gate74b_trade_leg_path_warehouse,373,482759,8173,2025-01-01T22:05:00.000Z,2026-05-29T15:00:00.000Z,SHORT|LONG,1F45AB6762C03DBEECB493C21AB2E54D7A20975AE980BBDA629CC9CA2E5B08E9
