geometry_bucket,variant_id,trades,net_usd_model,profit_factor,terminal_liquidations,avg_hold_hours,content_hash
adr_event_0_025_candidate_b_agreement_strict|pe=high_directional|range=low,adr_event_0_025_candidate_b_agreement_strict,8129,-2206155.84,0.380643,532,334.944082,E483EC4E275EC0B17004D0FE67A4889F0BBEA5B8CA0F7899F7B553A3FD5603FB
adr_event_0_025_candidate_b_agreement_strict|pe=low_inefficient|range=low,adr_event_0_025_candidate_b_agreement_strict,41886,-11500532.01,0.377224,2642,343.499029,E4A7AC6E86B9C97B9252877CE7154D6F5C6E65F75D251E78B32B169707FCAFDE
adr_event_0_025_candidate_b_agreement_strict|pe=middle|range=low,adr_event_0_025_candidate_b_agreement_strict,32700,-11585286.12,0.292337,2047,353.350408,1351BFC0C074E811FACEF8541A88A5DD592CE7F784482F8B71A58D7759539857
adr_event_0_025_candidate_b_fade_strict|pe=high_directional|range=low,adr_event_0_025_candidate_b_fade_strict,9605,-9293.83,0.991514,340,267.2829,0DAED2C5023C834C0EBFF20FA2FF70277D09C9796E40AB495DA7462AAF604812
adr_event_0_025_candidate_b_fade_strict|pe=low_inefficient|range=low,adr_event_0_025_candidate_b_fade_strict,48021,1176969.26,1.397299,1525,272.351616,B8F7C62FD5E08BD03BB2582610777CD01362F4AF8859CC0E892533785DC56783
adr_event_0_025_candidate_b_fade_strict|pe=middle|range=low,adr_event_0_025_candidate_b_fade_strict,39113,-383512.51,0.896385,1337,294.456082,A3DEEC44AC7A9117B72F39E9B7342898CFE4410065263712B902A7E77B3DE917
adr_event_0_025_type3_both_no_direction|pe=high_directional|range=low,adr_event_0_025_type3_both_no_direction,17734,-2215449.67,0.5243,872,298.297772,73FAD5C9F55A6B67315D7CE61DBA1503D3BC290F58F44237C0A352E7796F7082
adr_event_0_025_type3_both_no_direction|pe=low_inefficient|range=low,adr_event_0_025_type3_both_no_direction,89907,-10323562.75,0.518244,4167,305.497873,443837220B33D938516A38238ED1282F3D0EC067880A3C54B4D02026F3CD0F59
adr_event_0_025_type3_both_no_direction|pe=middle|range=low,adr_event_0_025_type3_both_no_direction,71813,-11968798.62,0.403722,3384,321.273573,E1449571A6C0D9A952D2CB9F8716E42E2E16C6A22D55AC7C51F54F97832B06A1
adr_event_0_025_type3_long_only|pe=high_directional|range=low,adr_event_0_025_type3_long_only,9288,1402075.71,21.76859,346,238.907836,1FCFDB21C668171D84F2ABDDDEC041D5C379D436302C6726E72B04A784D3FCB0
