katarakti_context_bucket,variant_id,trades,net_usd_model,profit_factor,terminal_liquidations,avg_hold_hours,content_hash
adr_event_0_025_candidate_b_agreement_strict|none,adr_event_0_025_candidate_b_agreement_strict,82715,-25291973.96,0.341351,5221,346.552852,7C2C82A4BF04E762AFCE7443F717A084E0D028273F43C6569312E423209F0D5E
adr_event_0_025_candidate_b_fade_strict|none,adr_event_0_025_candidate_b_fade_strict,96739,784162.92,1.101065,3202,280.785515,E292880B105A4CEF5DDA8DF1AC9703DF326BEF3CDDB21BA16B474A3387A43EE7
adr_event_0_025_type3_both_no_direction|none,adr_event_0_025_type3_both_no_direction,179454,-24507811.04,0.469054,8423,311.099385,BBC980F14F0CC6A9831A5EA0C39B2041D51CB960603E0A20F297587360F91C4F
adr_event_0_025_type3_long_only|none,adr_event_0_025_type3_long_only,90164,9311179.47,37.391193,2933,258.833257,83F253715426652C2A6E95E57194A8DA08F729B1FCCE3636762DBBE051730530
adr_event_0_025_type3_short_only|none,adr_event_0_025_type3_short_only,89290,-33818990.52,0.263249,5490,363.877112,7B80ACB927B0FFF0E1034B9363C9FACEACA114CA10CBEEE296DED56E43ECCAB8
adr_event_0_05_candidate_b_agreement_strict|none,adr_event_0_05_candidate_b_agreement_strict,8867,-2908487.34,0.533462,563,342.142205,C5DC7B5EA8280D422B589FC47CCABFA9A190F159CCB482C42308226199F96685
adr_event_0_05_candidate_b_fade_strict|none,adr_event_0_05_candidate_b_fade_strict,11062,370806.11,9.431,426,312.603014,BF734ED438459504E43150C78FCC70093E0B959228555EAB7421BA6688436003
adr_event_0_05_type3_both_no_direction|none,adr_event_0_05_type3_both_no_direction,19929,-2537681.23,0.595793,989,325.745872,AFCF5DC1AB2FECAE281F3F21B95A8C4658C6AC6E70A951222DBC787FFEC67C73
adr_event_0_05_type3_long_only|none,adr_event_0_05_type3_long_only,8912,853628.29,47.660607,369,369.146097,2FEA2A11474F5605F213665C226481BAF0263270D915467F4A060A42E1A58A12
adr_event_0_05_type3_short_only|none,adr_event_0_05_type3_short_only,11017,-3391309.52,0.458247,620,290.638055,279347C9F522675A5EBDF85E2E48D0BEECDBE70D13D81C3D5AA8F9C8816BD03B
adr_event_0_075_candidate_b_agreement_strict|none,adr_event_0_075_candidate_b_agreement_strict,1210,6658.52,141.016393,26,183.648134,4FCF3CF4569AED101CA649CFD85F84365D9DFA7078FD5C05BD89D1266E900B73
adr_event_0_075_candidate_b_fade_strict|none,adr_event_0_075_candidate_b_fade_strict,3016,14888.83,9.440733,99,255.167748,E0DB67FA683696EF67696AD45C398DF5779A8FEF8881D7258152AC3910E4FDA3
adr_event_0_075_type3_both_no_direction|none,adr_event_0_075_type3_both_no_direction,4226,21547.35,12.894877,125,234.690055,C94C9895B92CEEDE320EB7501C838D9396D7296CBA7FAC3893D3B8032D91BC23
adr_event_0_075_type3_long_only|none,adr_event_0_075_type3_long_only,2621,10340.47,6.977522,118,333.331321,58A7DA39FF7A709A845E3495FD61332AABD5FFE3CAE0E5227BDC91E80D745D31
adr_event_0_075_type3_short_only|none,adr_event_0_075_type3_short_only,1605,11206.88,138.356928,7,73.606716,ABB318212543AFE1A6F80CFFA84039FEBE39307C15435BE5140926FF6B91B7A6
adr_event_0_10_candidate_b_agreement_strict|none,adr_event_0_10_candidate_b_agreement_strict,292,1497.14,150.764153,11,303.085652,80D7039EF1A9CA9E6178BDC48B870C54FB9A184F6297C1E2A1E0AA3B2EE428A2
adr_event_0_10_candidate_b_fade_strict|none,adr_event_0_10_candidate_b_fade_strict,560,2545.69,3.824412,38,503.469809,3BE60FCC62822848F1854D30E125F479D5A4299CC0F24454C98A161DA46E3804
adr_event_0_10_type3_both_no_direction|none,adr_event_0_10_type3_both_no_direction,852,4042.83,5.436268,49,434.793549,173A8D152716FCE13AD07EEBA821C46F0B8E4414EA7A2580DD9EB093FA9F6CC5
adr_event_0_10_type3_long_only|none,adr_event_0_10_type3_long_only,388,755.13,1.86149,43,822.508784,E32C2DAE26A7F33DE56C1E6D3C6F99DB168C9DEE2A0134AD063906B95A6C2F2D
adr_event_0_10_type3_short_only|none,adr_event_0_10_type3_short_only,464,3287.7,95.542718,6,110.583395,A0BC7E7049C217979193978A2CC2D856DA7BD1E41310FC15B6CA13032875CF76
time_h1_candidate_b_agreement_strict|none,time_h1_candidate_b_agreement_strict,82,266.7,3.833557,7,446.097134,702EFF119D9FED4678F2D848AF53E99F242DA1FCFD20949F17FAD8C36DE19964
time_h1_candidate_b_agreement_strict|relaxed_sweep_rejection,time_h1_candidate_b_agreement_strict,1,-1.86,0,1,2742,18CC8B57AD5E8D3F271F8680F27DDD87A103DF55964DE11E612C817EDD156740
