movement_bucket,variant_id,trades,net_usd_model,profit_factor,terminal_liquidations,avg_hold_hours,content_hash
adr_event_0_025_candidate_b_agreement_strict|adr_event_0_025,adr_event_0_025_candidate_b_agreement_strict,82715,-25291973.96,0.341351,5221,346.552852,D075121464B9AEB51209463DE9F7170D0B065C79C4B4BBB116E59EB224CAC297
adr_event_0_025_candidate_b_fade_strict|adr_event_0_025,adr_event_0_025_candidate_b_fade_strict,96739,784162.92,1.101065,3202,280.785515,08472484A3CF66FE9C1EAAD52D7DE7CE649428C53E7A85EF2761DB3BC92AF59D
adr_event_0_025_type3_both_no_direction|adr_event_0_025,adr_event_0_025_type3_both_no_direction,179454,-24507811.04,0.469054,8423,311.099385,E799B3F4F9C6BFF554118756ED323AC33AAE74D63AE30536B3E79E41BA953988
adr_event_0_025_type3_long_only|adr_event_0_025,adr_event_0_025_type3_long_only,90164,9311179.47,37.391193,2933,258.833257,6B08A24B73B8583F151300A85E3145D1CB56154071095837EF0C3F0E2732D5F1
adr_event_0_025_type3_short_only|adr_event_0_025,adr_event_0_025_type3_short_only,89290,-33818990.52,0.263249,5490,363.877112,E8049D2069CC6CAC0736033142C690326B029C73DE73A027AAF27B91932DB969
adr_event_0_05_candidate_b_agreement_strict|adr_event_0_05,adr_event_0_05_candidate_b_agreement_strict,8867,-2908487.34,0.533462,563,342.142205,E85E8A7F12B07DDB6D26BB0949F7DF31DC64B4DB522D5AD133AD6782AF7A45E4
adr_event_0_05_candidate_b_fade_strict|adr_event_0_05,adr_event_0_05_candidate_b_fade_strict,11062,370806.11,9.431,426,312.603014,6BE2DC77ED4AAD0E3C99E69A4CC6577F51418B6ABD767C75C4B9B6CC3EA80DE4
adr_event_0_05_type3_both_no_direction|adr_event_0_05,adr_event_0_05_type3_both_no_direction,19929,-2537681.23,0.595793,989,325.745872,426D4C014B2E47927206EBB429B678BDA2C62A7956FC42F9E15A0A70705C19AD
adr_event_0_05_type3_long_only|adr_event_0_05,adr_event_0_05_type3_long_only,8912,853628.29,47.660607,369,369.146097,9626AB8F388440F8A1EDE688014DE7F4AB914C4C771FEE3832500A8F99D03722
adr_event_0_05_type3_short_only|adr_event_0_05,adr_event_0_05_type3_short_only,11017,-3391309.52,0.458247,620,290.638055,1EFA54DA3E1F12BF2C03C949CBFA3A4CDB8BD213CAE75927990832AA9E602F92
adr_event_0_075_candidate_b_agreement_strict|adr_event_0_075,adr_event_0_075_candidate_b_agreement_strict,1210,6658.52,141.016393,26,183.648134,5623DE4281A736A27E7797265F81B81974F43BD80B5577B14C2C7BCC45A1DB59
adr_event_0_075_candidate_b_fade_strict|adr_event_0_075,adr_event_0_075_candidate_b_fade_strict,3016,14888.83,9.440733,99,255.167748,4559A62E5D3441B0A026F19E84F6A316FA400CE82D8CC8E8806971E0B7383442
adr_event_0_075_type3_both_no_direction|adr_event_0_075,adr_event_0_075_type3_both_no_direction,4226,21547.35,12.894877,125,234.690055,1E82957807A3283512CC1FEA4D501457A9D93A68386CDA1AA75E9D41823B361E
adr_event_0_075_type3_long_only|adr_event_0_075,adr_event_0_075_type3_long_only,2621,10340.47,6.977522,118,333.331321,B4D2F81D3BB8D0EEC728EBEB34F6D774EB06F273088433E0429F67C59AFCA3BB
adr_event_0_075_type3_short_only|adr_event_0_075,adr_event_0_075_type3_short_only,1605,11206.88,138.356928,7,73.606716,7CEB08658673388E956380320E577F42E40BB56FC262983CCD3179DA15D2B144
adr_event_0_10_candidate_b_agreement_strict|adr_event_0_10,adr_event_0_10_candidate_b_agreement_strict,292,1497.14,150.764153,11,303.085652,3FE4C15416583307155DCD4F28E29027EBBD407A380798E3E6E88E0442DE5B36
adr_event_0_10_candidate_b_fade_strict|adr_event_0_10,adr_event_0_10_candidate_b_fade_strict,560,2545.69,3.824412,38,503.469809,E23F0CB12B18AD3D8EB51988EBDC095FD7DF013F5D579EF766CBDB2E38CF15AF
adr_event_0_10_type3_both_no_direction|adr_event_0_10,adr_event_0_10_type3_both_no_direction,852,4042.83,5.436268,49,434.793549,D7E06DE04FFBED8D502A6A1A7D8D3992C0672EC069403576A77D89EA65EC155A
adr_event_0_10_type3_long_only|adr_event_0_10,adr_event_0_10_type3_long_only,388,755.13,1.86149,43,822.508784,5AA51C835B11F75128605E90EC833C9409A412A87B95A869E3B7562967B78006
adr_event_0_10_type3_short_only|adr_event_0_10,adr_event_0_10_type3_short_only,464,3287.7,95.542718,6,110.583395,6B527A12D92DEC387530799F1B081179BDC9B69CBDC27D26DBDFECEC4FB39459
time_h1_candidate_b_agreement_strict|time_h1,time_h1_candidate_b_agreement_strict,83,264.84,3.759268,8,473.758614,F775580099A5F00F42B6F3A4099F31035D81A0D4FDB0F0075F63EBCF97FA838A
time_h1_candidate_b_fade_strict|time_h1,time_h1_candidate_b_fade_strict,461,204.8,1.109217,45,601.708901,6DE3AE28689F41EA30A5EB433F81C5AEDD3054A118FD84A0D4633E10C5F12F4C
time_h1_type3_both_no_direction|time_h1,time_h1_type3_both_no_direction,544,469.64,1.238255,53,582.187074,B9BEA147D144EC3BB889335F43BA5F5178AAA394A1E901CAE981C8C4BE74686E
time_h1_type3_long_only|time_h1,time_h1_type3_long_only,544,469.64,1.238255,53,582.187074,666D617D354494E910A0C0A5F468940580DA7E5EC6C0EF45BEAEFE722E7EFAF3
