symbol,variant_id,trades,net_usd_model,profit_factor,terminal_liquidations,avg_hold_hours,content_hash
adr_event_0_025_candidate_b_agreement_strict|AUDCAD,adr_event_0_025_candidate_b_agreement_strict,1428,3727.85,2.801664,95,78.979885,9A05DE882853C9FCB2BB91252CAB3105974ACC8A4356DAB569922B156E99A652
adr_event_0_025_candidate_b_agreement_strict|AUDCHF,adr_event_0_025_candidate_b_agreement_strict,6055,-52536.7,0.278239,1278,804.113206,78FB4C53F031EDBA3F4A01087608BC4EA8F88B89F491FBCFADC37FC8C6D06158
adr_event_0_025_candidate_b_agreement_strict|AUDJPY,adr_event_0_025_candidate_b_agreement_strict,4593,-10077903.05,0.201671,508,498.636257,CA30CADA5D8FFA650E39F1DED01ED070E2172881E2F066720E19159FF7E5436E
adr_event_0_025_candidate_b_agreement_strict|AUDNZD,adr_event_0_025_candidate_b_agreement_strict,1318,-76891.81,0.045129,458,2274.790975,7BF6201AEC21ABF9FD9FBE529D93BD0BA132B1049D23B493DB324132F6BE8854
adr_event_0_025_candidate_b_agreement_strict|AUDUSD,adr_event_0_025_candidate_b_agreement_strict,3520,18735.72,89.391484,21,97.944699,4BA498B66C998873F51CCF20756143C6090C6EABD00A2BEF087F81BCA4717259
adr_event_0_025_candidate_b_agreement_strict|CADCHF,adr_event_0_025_candidate_b_agreement_strict,7470,32998.23,52.671595,67,240.099809,94C1DDB2F526594402170FE0B3F4F670F84EEA82CF5D6B53523ED937955358DE
adr_event_0_025_candidate_b_agreement_strict|CADJPY,adr_event_0_025_candidate_b_agreement_strict,4360,-1885711.21,0.564182,332,447.429143,69DDBE331C4D6C9DF6BA1D01570AB93667387C13B98070FC0FEF0D7FFC3E788D
adr_event_0_025_candidate_b_agreement_strict|CHFJPY,adr_event_0_025_candidate_b_agreement_strict,5340,-8921021.67,0.242224,357,424.434781,07B39865911BCD8638F4F608A2C0C4C30BB03300EFC78EB9D062D2DCC32A4046
adr_event_0_025_candidate_b_agreement_strict|EURAUD,adr_event_0_025_candidate_b_agreement_strict,2549,6964.5,2.100659,15,115.294812,393FF9D0C8331B215CA3E687539E4FFF76488E71A37C92D147926593E98E1488
adr_event_0_025_candidate_b_agreement_strict|EURCAD,adr_event_0_025_candidate_b_agreement_strict,1180,4511.05,4.460303,98,86.975635,E20714397EEE4AC542630FAACEF7EBFBAE34E254398A9697078C07F8BD625970
adr_event_0_025_candidate_b_agreement_strict|EURCHF,adr_event_0_025_candidate_b_agreement_strict,1312,-547.3,0.870034,487,424.488942,7ADF087FCF147F31702476BD0736A3996FC5CB1D0B572CCE8C277361715838A0
adr_event_0_025_candidate_b_agreement_strict|EURJPY,adr_event_0_025_candidate_b_agreement_strict,2738,-1288491.51,0.507352,224,331.594705,0A30EE367F1D8C17DC856B847AFA61B33DB8245B58A371287CBFD0D69F8BBB44
adr_event_0_025_candidate_b_agreement_strict|EURNZD,adr_event_0_025_candidate_b_agreement_strict,2145,8721.17,3.194674,71,57.613775,B92D833DB1E938EC894FB397511DCEFBBFB39DCB1F000FEE1E629599D3EB3678
adr_event_0_025_candidate_b_agreement_strict|EURUSD,adr_event_0_025_candidate_b_agreement_strict,2459,12041.1,16.73728,16,108.003406,9C74F9C4ACFD5505110A8A7E2C818E2448280B37D8F14E2D86D937553D7051DE
adr_event_0_025_candidate_b_agreement_strict|GBPAUD,adr_event_0_025_candidate_b_agreement_strict,2465,14822.79,,0,107.733562,F4321D9154DD15EFDEB7E33CF355DABF0A279D89C199C56C39EA32AAAAD02257
adr_event_0_025_candidate_b_agreement_strict|GBPCAD,adr_event_0_025_candidate_b_agreement_strict,3727,5633.71,1.417997,117,439.398518,F2392BD4C159543791D365C1BC9608C40F854BDC29E4A0D5C17D2935C6BB53D9
adr_event_0_025_candidate_b_agreement_strict|GBPCHF,adr_event_0_025_candidate_b_agreement_strict,6637,30215.83,31.30769,56,175.308625,B9532C2F3372DFC7FF186E92E35B4A5E89D6DF2F3E4ADF419D941704A40E58DD
adr_event_0_025_candidate_b_agreement_strict|GBPJPY,adr_event_0_025_candidate_b_agreement_strict,2485,-1360420.72,0.563547,144,300.480335,23FAF85BFCA216413B0081EA4AE0DA217239370FAAA8328B61FEE8605195D88A
adr_event_0_025_candidate_b_agreement_strict|GBPNZD,adr_event_0_025_candidate_b_agreement_strict,1710,7191.41,5.300736,27,219.379629,044E5A3CAE4E130972E88EF23AC55E27C6B45320B3DF339F9E03BA68574CC2B9
