split,variant_id,trades,net_usd_model,profit_factor,terminal_liquidations,avg_hold_hours,content_hash
adr_event_0_025_candidate_b_agreement_strict|final_oos_2025_2026,adr_event_0_025_candidate_b_agreement_strict,82715,-25291973.96,0.341351,5221,346.552852,802A38D46C3109F31965EE1F7C3404C4924EF4682BCF914712F995C88045F0E7
adr_event_0_025_candidate_b_fade_strict|final_oos_2025_2026,adr_event_0_025_candidate_b_fade_strict,96739,784162.92,1.101065,3202,280.785515,B67E8584E0938F2F978041327C7626E436C7C232E9296182185CA6F5FDC709B6
adr_event_0_025_type3_both_no_direction|final_oos_2025_2026,adr_event_0_025_type3_both_no_direction,179454,-24507811.04,0.469054,8423,311.099385,9780072BD90A76C6DA7D12A2B6EF5109F9C05F29A0E9423FDDD3B11B485ACD0D
adr_event_0_025_type3_long_only|final_oos_2025_2026,adr_event_0_025_type3_long_only,90164,9311179.47,37.391193,2933,258.833257,12E5C735860AF98ABFF1373B62A178AA3211D843ABDF179AB3F0AB9D2AB25CFD
adr_event_0_025_type3_short_only|final_oos_2025_2026,adr_event_0_025_type3_short_only,89290,-33818990.52,0.263249,5490,363.877112,FEFD7213BB140E93D764F43B328612A2950A5410A7542265FC88E89FCAD3A2A1
adr_event_0_05_candidate_b_agreement_strict|final_oos_2025_2026,adr_event_0_05_candidate_b_agreement_strict,8867,-2908487.34,0.533462,563,342.142205,2592A3D080FFD38BA06E785A176D8A1C2F6491C2BE648DEFD8251D371029AEE6
adr_event_0_05_candidate_b_fade_strict|final_oos_2025_2026,adr_event_0_05_candidate_b_fade_strict,11062,370806.11,9.431,426,312.603014,7579623B6B82E2FB433BDA70F16E3729C01A480AFF1E3D099AB16F98929CDF7A
adr_event_0_05_type3_both_no_direction|final_oos_2025_2026,adr_event_0_05_type3_both_no_direction,19929,-2537681.23,0.595793,989,325.745872,3036C689D00B383D723C155E93DD5F4930923F5CA4E9E70169F443C34AA0731B
adr_event_0_05_type3_long_only|final_oos_2025_2026,adr_event_0_05_type3_long_only,8912,853628.29,47.660607,369,369.146097,33671C0E3D2DA3A55FD9B6327C5BAB563A8DE0EDC5701CB11020D869D29006F2
adr_event_0_05_type3_short_only|final_oos_2025_2026,adr_event_0_05_type3_short_only,11017,-3391309.52,0.458247,620,290.638055,DAFBD0D1440691F93C66DC7A10AA3957F2A89E2462FEE6E8FC4BE44334F7CB43
adr_event_0_075_candidate_b_agreement_strict|final_oos_2025_2026,adr_event_0_075_candidate_b_agreement_strict,1210,6658.52,141.016393,26,183.648134,FC129CD2D60D6B48B1280D348826CACA35CA123F703A7423C0AD29BF73504812
adr_event_0_075_candidate_b_fade_strict|final_oos_2025_2026,adr_event_0_075_candidate_b_fade_strict,3016,14888.83,9.440733,99,255.167748,4C1C31EC6CED7BDA16922EF972F5A581AD7AF9BCB914BE5614A9AD3A6A9A2730
adr_event_0_075_type3_both_no_direction|final_oos_2025_2026,adr_event_0_075_type3_both_no_direction,4226,21547.35,12.894877,125,234.690055,15FB3553EB50D6933BBD56EB970B5CBDD6B99E9EC91F2F99E9B2AE45D38143BA
adr_event_0_075_type3_long_only|final_oos_2025_2026,adr_event_0_075_type3_long_only,2621,10340.47,6.977522,118,333.331321,39509879CB16221ADD80AB574328E316A2D13CDE9AEA1F6F81DC377E461998A0
adr_event_0_075_type3_short_only|final_oos_2025_2026,adr_event_0_075_type3_short_only,1605,11206.88,138.356928,7,73.606716,75F840C052E17D3A2D25761C8207964B483797C1863C52FC331162553124C024
adr_event_0_10_candidate_b_agreement_strict|final_oos_2025_2026,adr_event_0_10_candidate_b_agreement_strict,292,1497.14,150.764153,11,303.085652,3081F3161E6DA2C8173A2B4CEDE171376B1537AFD00E173E1C7F8BF54A50120C
adr_event_0_10_candidate_b_fade_strict|final_oos_2025_2026,adr_event_0_10_candidate_b_fade_strict,560,2545.69,3.824412,38,503.469809,31C181FEAD338CDEAE9198E051B2C3DD89D63CA2E3F4E106265606918B19D440
adr_event_0_10_type3_both_no_direction|final_oos_2025_2026,adr_event_0_10_type3_both_no_direction,852,4042.83,5.436268,49,434.793549,2630CA551963426B055BFF98ECD1334627869E29A30F02921CD3EE7491AFC683
adr_event_0_10_type3_long_only|final_oos_2025_2026,adr_event_0_10_type3_long_only,388,755.13,1.86149,43,822.508784,F7351654774747FBFF8EF8FB1ED0092A94FAB86035FBC836D611B6A2B71D1047
adr_event_0_10_type3_short_only|final_oos_2025_2026,adr_event_0_10_type3_short_only,464,3287.7,95.542718,6,110.583395,436A80DF8F5662C4211D8A54C207E7BAFBD7583188B3059F89B0016732E15DE2
time_h1_candidate_b_agreement_strict|final_oos_2025_2026,time_h1_candidate_b_agreement_strict,83,264.84,3.759268,8,473.758614,9D72EC97F244B68B04C593CB0099536AE9E4688E7E94BB21B3347BAF538072CB
time_h1_candidate_b_fade_strict|final_oos_2025_2026,time_h1_candidate_b_fade_strict,461,204.8,1.109217,45,601.708901,EB8B8F4B3A641AD24C0F7ED8339BBFF38FC01DC5E2BC6CD83F5B9D39CDB51EB3
time_h1_type3_both_no_direction|final_oos_2025_2026,time_h1_type3_both_no_direction,544,469.64,1.238255,53,582.187074,B96E4A6A11D72FEB9EB1257EAF26722A3301CA3407AC60E14B86621A8AEEB41F
time_h1_type3_long_only|final_oos_2025_2026,time_h1_type3_long_only,544,469.64,1.238255,53,582.187074,F9EAF05283E68A527CA0BC227A264B8A99F16A763E4227FAF6316250D8582A5D
