variant_id,candle_stream_id,direction_mode,entry_gate,candidate_b_role,geometry_role,katarakti_role,content_hash
time_h1_type3_both_no_direction,time_h1,type3_both_no_direction,legacy_type3_only,reporting_context,shadow_only,shadow_only,7B586AEA1B3B302CC1D02B9D019BA1D6C21589F174FB4417B456D609D6CFB057
time_h1_type3_long_only,time_h1,type3_long_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,DAFD4A3FD0A4F1E69B11056F1CB40E7D6C79E856E6F498D0BBB63F61B8669628
time_h1_type3_short_only,time_h1,type3_short_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,181651D8786A3135A9A3F126917DFDF2A72E96DB756AC87A633317B46722AD8E
time_h1_candidate_b_agreement_strict,time_h1,candidate_b_agreement_strict,legacy_type3_only,filter,shadow_only,shadow_only,8564FD678E5A247A863AF27E9B1C9B5758719336980E28F121F7A678FDCA7362
time_h1_candidate_b_fade_strict,time_h1,candidate_b_fade_strict,legacy_type3_only,filter,shadow_only,shadow_only,F79066A9A243C6D78671081FF1BF80EF7579E592F2272FEBE6B4044781FA4E9B
adr_event_0_025_type3_both_no_direction,adr_event_0_025,type3_both_no_direction,legacy_type3_only,reporting_context,shadow_only,shadow_only,683FF802F310D619E9FD818876EC8EA90DAF90CADA07F6122F32459F40F0F93F
adr_event_0_025_type3_long_only,adr_event_0_025,type3_long_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,F155E961CC3B70DF79F952071E7CD38A3A56AC18F5BD8673A9845953C8AAB987
adr_event_0_025_type3_short_only,adr_event_0_025,type3_short_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,FB09668E0F3F0125857133C1833508055A8A0F2124CCBEF967F6BBD8152DC276
adr_event_0_025_candidate_b_agreement_strict,adr_event_0_025,candidate_b_agreement_strict,legacy_type3_only,filter,shadow_only,shadow_only,1DB53CA436E9E814A756C045205326B6C977312815D8684BC6039CDEA8EB6F16
adr_event_0_025_candidate_b_fade_strict,adr_event_0_025,candidate_b_fade_strict,legacy_type3_only,filter,shadow_only,shadow_only,3BD884CBBAB312355B61758E1F3D02304E73A4630EFFA4D371D2163D83680A49
adr_event_0_05_type3_both_no_direction,adr_event_0_05,type3_both_no_direction,legacy_type3_only,reporting_context,shadow_only,shadow_only,C0DCEBD585B991853ACE374011B96189C4389F731241FBBD168623FD09AAB680
adr_event_0_05_type3_long_only,adr_event_0_05,type3_long_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,883C1287F59B2DC12385D4647F41F89B4DCDFD172A05A663065437D6F8ACE08C
adr_event_0_05_type3_short_only,adr_event_0_05,type3_short_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,3BA567AF3971C516627C39149125F46BF986F326F2DF7892911DC00753EB3AE9
adr_event_0_05_candidate_b_agreement_strict,adr_event_0_05,candidate_b_agreement_strict,legacy_type3_only,filter,shadow_only,shadow_only,5E4A08B586E5F02E7CE9869A2B63EA5C7DFCA4FFF56D5DB3CD4E7BA1A012F50B
adr_event_0_05_candidate_b_fade_strict,adr_event_0_05,candidate_b_fade_strict,legacy_type3_only,filter,shadow_only,shadow_only,4389FFAF52B223981FBC32B976EF6A770646281F09B3BC14D7D9FEC686EC5E99
adr_event_0_075_type3_both_no_direction,adr_event_0_075,type3_both_no_direction,legacy_type3_only,reporting_context,shadow_only,shadow_only,894660EE6FE061749D83B6FEEF74BCDF45B6420D289FC45ED2DCAFE20D5295DF
adr_event_0_075_type3_long_only,adr_event_0_075,type3_long_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,A2541D79194D0247BE81CEC2C8AC32E541AB8E1EABEDCCCD95B235CF670EF798
adr_event_0_075_type3_short_only,adr_event_0_075,type3_short_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,6792E77BB5D26EDC01F4E4EE345BE1D386F5688D09AE9A45E527FF56D40430B6
adr_event_0_075_candidate_b_agreement_strict,adr_event_0_075,candidate_b_agreement_strict,legacy_type3_only,filter,shadow_only,shadow_only,C3829D7F05228FA410AE4311CD6AB3498D052F2C7BE864EAE0CBEE525943F7F1
adr_event_0_075_candidate_b_fade_strict,adr_event_0_075,candidate_b_fade_strict,legacy_type3_only,filter,shadow_only,shadow_only,54067838057D05947E5345C5D1BF9D6E0659ECEC31B63A4CC9689D9F5E136F57
adr_event_0_10_type3_both_no_direction,adr_event_0_10,type3_both_no_direction,legacy_type3_only,reporting_context,shadow_only,shadow_only,0A96387C3B8154C1B91730A683E48ED9408B30EB2449230580EFEB8C8FE06FE4
adr_event_0_10_type3_long_only,adr_event_0_10,type3_long_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,6C073A541B0EB64D512563565557C3AC9310AE7C3FC864ADBE1470743853187F
adr_event_0_10_type3_short_only,adr_event_0_10,type3_short_only,legacy_type3_only,reporting_context,shadow_only,shadow_only,C6F970F571039CEF09D83726BC66A4CEAD50BB21E03F2C5A7320FE4E18A01F30
adr_event_0_10_candidate_b_agreement_strict,adr_event_0_10,candidate_b_agreement_strict,legacy_type3_only,filter,shadow_only,shadow_only,CEA81A3ABA246CAD6067F8FAC762E0F570F606BE506070B98F0A23CFC5060C20
adr_event_0_10_candidate_b_fade_strict,adr_event_0_10,candidate_b_fade_strict,legacy_type3_only,filter,shadow_only,shadow_only,D2583DECCF924C5D86105B31393F8AD20E42133375B92DAEF28FE503B89B18BE
