variant_id,stress_id,commission_usd_per_lot,adverse_round_trip_slippage_pips,trades,corrected_closed_plus_marked_net_actual,profit_factor,survives_positive_net,content_hash
time_h1_type3_both_no_direction,base_commission,-7,0,544,727.33,1.344827,true,D60128FC2A0319FDB15D80AA900FEAB0A06D28376919F40B340EDD6C5CD7CF81
time_h1_type3_both_no_direction,double_commission,-14,0,544,651.17,1.307902,true,8344EB25BEE689D88F938BB1A702FA37AEF27F52B975BA8EEED2BB29F9EE1858
time_h1_type3_both_no_direction,base_commission_plus_0_1_pip_slippage,-7,0.1,544,713.69,1.338196,true,8CCB25E85C1029712B558763F4F1D2029D623516B8B0A3DF1CC24FFF553FBC43
time_h1_type3_both_no_direction,base_commission_plus_0_2_pip_slippage,-7,0.2,544,700.04,1.331571,true,F0C0BD6AFB622B1B96EDF653F0B7E041FACB84C0990BF3819EECC157FF4FBBAF
time_h1_type3_long_only,base_commission,-7,0,544,727.33,1.344827,true,A76BC12E1B06C48020C56C735FC6CCA9E16F3806C3216970D19DB635900BA219
time_h1_type3_long_only,double_commission,-14,0,544,651.17,1.307902,true,4DFFFB618E335C940DE69417134E7B166C480508AEBE6C1B75FF0F41D33BD8CE
time_h1_type3_long_only,base_commission_plus_0_1_pip_slippage,-7,0.1,544,713.69,1.338196,true,EBFF5FEABA7B1CE9D350D4590494E31B69B06091085A104B72B1EBC42E97A35A
time_h1_type3_long_only,base_commission_plus_0_2_pip_slippage,-7,0.2,544,700.04,1.331571,true,7FE9AF0235E128AD1F4F4F24D8511860D850558BC31C627112527C1FAD38675D
time_h1_type3_short_only,base_commission,-7,0,0,0,,false,4F2D2492F0130CAA7C73CE69D6D035429EDC8727DD5EFA7139801EEC610A7DA9
time_h1_type3_short_only,double_commission,-14,0,0,0,,false,9EAE91B07F2A7BE82FEFC7C8A3615D2D3EB9A475178C7459CB786DBF2487297A
time_h1_type3_short_only,base_commission_plus_0_1_pip_slippage,-7,0.1,0,0,,false,C1CFB56A5B8E77164C0F0A11E6E08A18E799763D96231B0632851C6845528A2E
time_h1_type3_short_only,base_commission_plus_0_2_pip_slippage,-7,0.2,0,0,,false,95FF6126249E50203F78337338ABF398F7A97E60CBD59C44515092D8EC27DCB6
time_h1_candidate_b_agreement_strict,base_commission,-7,0,83,356.47,4.695534,true,E6E90F40B0235BAB29B8C122BBD274055DE6C572740FB75CFB5D7A4D8B01464B
time_h1_candidate_b_agreement_strict,double_commission,-14,0,83,344.85,4.564723,true,83436C573BB658C736D354881E31395059A629CE84A43187319E81BCFCCA1F78
time_h1_candidate_b_agreement_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,83,354.38,4.671833,true,1A2F6B2AE8362FAE98D57A20BA72EC5699F613F928BFCBFD0F2D15B321927E85
time_h1_candidate_b_agreement_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,83,352.28,4.648157,true,9C9285A5804F187F5555391E6F5C45D615B7EB9B22B2653CA242E851AE9E8907
time_h1_candidate_b_fade_strict,base_commission,-7,0,461,370.85,1.184248,true,6FB83DBD066B4D9B015698F563C4D55A3C71CA0EF83EBFC4CF61FCDF01E891D4
time_h1_candidate_b_fade_strict,double_commission,-14,0,461,306.31,1.151782,true,4C1C53539E6395392996E10D69AA482BD42E2F74427464047E75EB9002CFB2D9
time_h1_candidate_b_fade_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,461,359.31,1.178427,true,81C8FFD3E3FC551364292C9E3AB7E4AB63EB414B5F4D61457380485AA36AB6B7
time_h1_candidate_b_fade_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,461,347.77,1.172612,true,DD9CE3EB4E44724A8A7A8A1793C3A9DE81569D1271048105C2F43757B171A7A5
adr_event_0_025_type3_both_no_direction,base_commission,-7,0,179454,124109.74,1.210584,true,03C602E8F931B0DCFBEBD94F4B1A4CD33353B5B69809B5C00592C4E45CE056D7
adr_event_0_025_type3_both_no_direction,double_commission,-14,0,179454,98986.18,1.167633,true,2F963D8330E46B3939281EF557124C8C4D2CB7F665AC18565CFB4394A7B9CC11
adr_event_0_025_type3_both_no_direction,base_commission_plus_0_1_pip_slippage,-7,0.1,179454,121065.32,1.205366,true,20FCB3BDBCBD007A3104771AA0AD1B0A23EFEB9E2E5281251DFC2D951C781C58
adr_event_0_025_type3_both_no_direction,base_commission_plus_0_2_pip_slippage,-7,0.2,179454,118020.9,1.20015,true,9882D32AAA996F0B6E08D256E53241290F3B0DFBEA587C72F56FCB061E5373D8
