variant_id,closed_net_actual,terminal_inventory_actual,closed_plus_marked_actual,open_inventory_rows,max_open_unrealized_loss_actual,terminal_loss_share_of_closed_net,content_hash
time_h1_type3_both_no_direction,2740.27,-2012.95,727.33,53,-203.45,0.734579,A924D317788B597A088667C3E0CA8A723219EA6ED47AA0747EC9A09534C9E76E
time_h1_type3_long_only,2740.27,-2012.95,727.33,53,-203.45,0.734579,35B19E264D3A213E57AABF4B3200D3A9400EEDCA9ECCDFDC42BCEE0DFFE5D910
time_h1_type3_short_only,0,0,0,0,0,,939A23969AC163410F8CC8F33387922C6A94CB675C08AF094F1669F98FBFCDC8
time_h1_candidate_b_agreement_strict,387.8,-31.33,356.47,8,-94.12,0.080788,1AE1838C1B82F6E4D3FBD7CFE0B58AF438C8ABF9617F2A7048DA28215CC0791A
time_h1_candidate_b_fade_strict,2352.47,-1981.62,370.85,45,-203.45,0.842356,373595CDDA9FAACFDFC771F4F92E5DC9796E1A6EF97D782F5993598E64FEF793
adr_event_0_025_type3_both_no_direction,712614.59,-588504.85,124109.74,8423,-329.04,0.825839,0B4B3E22E93F950FCFAF6BECF3CC1DEC98B79AA492E54AF13A2B3FA9E7B732B7
adr_event_0_025_type3_long_only,342412.87,-100614.81,241798.06,2933,-319.55,0.293841,028F9696508FB61B70BD9ECE710A47326C8FA42C938EE73188049138E417C882
adr_event_0_025_type3_short_only,370201.72,-487890.05,-117688.33,5490,-329.04,1.317903,444E1F24E8980BDDD3D44B10C9900A8B1843BF75678A8FB00C04B6313D349B0C
adr_event_0_025_candidate_b_agreement_strict,344355.84,-421370.05,-77014.21,5221,-319.55,1.223647,4C2F862ECF19439A8C7460F87B33F9233D8C00917F7A1DF671A9C15A621B7925
adr_event_0_025_candidate_b_fade_strict,368258.75,-167134.81,201123.94,3202,-329.04,0.453852,7BDD78F01DC0B708E5689F402C63450757E95B5DC1FF8E6BBA3A0073847ACB0A
adr_event_0_05_type3_both_no_direction,86143.95,-77839.67,8304.27,989,-228.11,0.9036,B550A4263B59E15F36568F9F7BAA8A582DDC1ECC28E85227355D5893CA2C118F
adr_event_0_05_type3_long_only,40657.02,-19453.59,21203.43,369,-209.33,0.47848,8983D9C65062D3E1703F9ADB0C4BC0C8CDFF91C3560311003DD546626DFDB8FD
adr_event_0_05_type3_short_only,45486.92,-58386.08,-12899.16,620,-228.11,1.283579,455979CCD45CA7F9041B58FBA09E0F0F2ACF3A1A2CFAE58F9FA03E025E00AF05
adr_event_0_05_candidate_b_agreement_strict,36896.24,-56350.19,-19453.95,563,-228.11,1.527261,5700BB594E8EB092D8F658DA53B04D6AAC7E96F023CB28164381FA5FB68D621E
adr_event_0_05_candidate_b_fade_strict,49247.71,-21489.48,27758.23,426,-209.33,0.436355,B4084C491F68226D67B0453476B51BDDC34CB53136BEB434DF2B69D5FF4C30F9
adr_event_0_075_type3_both_no_direction,20862.72,-1920.27,18942.45,125,-77.75,0.092043,9445C8CACB655039477C5FDCA9D54162E179D0340AE6E16EF6001943274F2726
adr_event_0_075_type3_long_only,13450.52,-1861.37,11589.14,118,-77.75,0.138387,308C4E39A432C38EF8C183736B0D405572A69C156534463A2DB0FDF5471B9E7B
adr_event_0_075_type3_short_only,7412.21,-58.9,7353.31,7,-12.88,0.007946,15A4703B7AC6F0A422EFFD7DD63D0F0E8E41457213D9A02A4BACCE68563835AF
adr_event_0_075_candidate_b_agreement_strict,5896.35,102.71,5999.05,26,-15.79,0,A9C4BBC58F4A60395C99A94A9416DB2D6BC302BD62332DF60E2F6ED30B7C1A18
adr_event_0_075_candidate_b_fade_strict,14966.38,-2022.98,12943.4,99,-77.75,0.135168,98E3D935F9B74A6CA7BDE4D458C6129691394877AAE72E492D76916A462C4D9F
adr_event_0_10_type3_both_no_direction,4104.32,-1034.93,3069.39,49,-76.68,0.252157,3F124A6242840C4D07E40AECEC8533253F2C12709B13A05CC65A505DF8142757
adr_event_0_10_type3_long_only,1939.16,-1018.04,921.12,43,-76.68,0.524991,60DB2D5CA0E57CC8A1DC5223D5B770FC0AACC08608A6EE1692C76AB244EFD3A7
adr_event_0_10_type3_short_only,2165.16,-16.89,2148.27,6,-13.65,0.0078,308AC1CAE57CE05A811961DCAB4DFDCC8839AFDD898BBE2C503B72359DBEBCAE
adr_event_0_10_candidate_b_agreement_strict,1342.62,49.09,1391.71,11,-6.22,0,122E41309FF91425E821AB8A7CFBC8323CFFF6418E71315444D11617392BB19C
adr_event_0_10_candidate_b_fade_strict,2761.71,-1084.02,1677.68,38,-76.68,0.392519,BADBFC27DEB850C395C37AFBC82C22753E7D039337CB03BC748E997D48B08261
