side,variant_id,trades,corrected_net_actual,corrected_profit_factor,terminal_liquidations,avg_hold_hours,content_hash
BUY,adr_event_0_025_candidate_b_agreement_strict,27093,93880.01,8.064277,786,183.349424,DD35CD81AE007FF036ABED9DD84CCEB5B83D35AAC1C1709B7A87A5F6E3C9870F
SELL,adr_event_0_025_candidate_b_agreement_strict,55622,-170894.22,0.581704,4435,426.047844,143627AC4C3C4DA6B491C18F8DDD236CB92DDFF354C701608FB9CB73A4F875CB
BUY,adr_event_0_025_candidate_b_fade_strict,63071,147918.05,2.680531,2147,291.258357,CA7848D8DD0262524D9ABCDF5B127BCC9B89EA7B013011595EF69CF19255D081
SELL,adr_event_0_025_candidate_b_fade_strict,33668,53205.89,1.669237,1055,261.166512,E29A06F561884F4EE0E3B6D3534EEF2D22CC2BB76066B7EC0604C2616B93E2C6
BUY,adr_event_0_025_type3_both_no_direction,90164,241798.06,3.386761,2933,258.833257,0BA149345B91CE8B4D4DF82B30C421A441ABF72ACDE0460184873D041B45D742
SELL,adr_event_0_025_type3_both_no_direction,89290,-117688.33,0.75886,5490,363.877112,66AAF587515D780396BE13A6FE3A7D95FA77BE6796F0A968F6406A63D8C45E1E
BUY,adr_event_0_025_type3_long_only,90164,241798.06,3.386761,2933,258.833257,F3F07916476B3571CC4186F6A19C9968906A6BDF9A7A0DA0E46B3D172128A4AE
SELL,adr_event_0_025_type3_short_only,89290,-117688.33,0.75886,5490,363.877112,B6929692CF24D56D3E58DD623CCD446C010403F30AE406CD2A21EAEA458AD497
BUY,adr_event_0_05_candidate_b_agreement_strict,2219,9948.16,33.235368,23,195.682333,41CF314CAF62C4CA269125F2294BDD91CB6CD304BEC7B9AD7415E7C4CC4878D0
SELL,adr_event_0_05_candidate_b_agreement_strict,6648,-29402.11,0.475549,540,391.028255,5C42818072219D6455EEF4B6E7C1713FDF56FD03B9EFE726FA7820FA5444E45E
BUY,adr_event_0_05_candidate_b_fade_strict,6693,11255.27,1.58533,346,426.656346,A360E24F57D684FD4DAB2AFD587DC77A03B679C26F47473EF069DCF868D29433
SELL,adr_event_0_05_candidate_b_fade_strict,4369,16502.95,8.101097,80,137.88135,93741E4B22E8A37BAE8620711AB58388DA6FD329F79082EBF573F52F84A8CD59
BUY,adr_event_0_05_type3_both_no_direction,8912,21203.43,2.085265,369,369.146097,A64BF08E5D6F8D9E9A093CF2E062DC2628C7984CE9D24B2103DFF76A92FB5C4E
SELL,adr_event_0_05_type3_both_no_direction,11017,-12899.16,0.779074,620,290.638055,A67C90D48FBA76E51CC92C915453A3ED572F1EC89FFE683A078FCDF30EC253C8
BUY,adr_event_0_05_type3_long_only,8912,21203.43,2.085265,369,369.146097,AB6F53BD34584895FFC35643776F94B1309B5CE48CDB170592909D9ECC4B2F27
SELL,adr_event_0_05_type3_short_only,11017,-12899.16,0.779074,620,290.638055,3338C5D2B3E2BC2AB091C644F0C75677EE4FFD2A5EE90152DC5DB2EDEEA4E938
BUY,adr_event_0_075_candidate_b_agreement_strict,780,4058.75,83.010629,26,228.601279,D7F21BCBE574C5F3F164109BDA981EA8FE09AB181171A0FF5D537E8C20170E42
SELL,adr_event_0_075_candidate_b_agreement_strict,430,1940.3,,0,102.10522,86C649E6B4A8C69F6A24466D0442757479A9BD47CD990E67DD2380ADCFE3CC9A
