variant_id,candle_stream_id,direction_mode,trade_rows,closed_trade_rows,terminal_liquidations,open_inventory_rows,corrected_closed_net_actual,corrected_terminal_marked_actual,corrected_closed_plus_marked_net_actual,corrected_profit_factor_closed_plus_marked,corrected_expectancy_closed_plus_marked,corrected_balance_dd_actual,corrected_max_equity_dd_actual,corrected_net_to_max_equity_dd,worst_marked_month_delta_actual,terminal_marked_loss_share_of_closed_net,top_pair_contribution_pct,top_3_pair_contribution_pct,remove_best_pair_net_actual,stress_double_commission_net,stress_slippage_0_1_net,stress_slippage_0_2_net,swap_unavailable_blocker,continue_candidate,continue_fail_reasons,content_hash
adr_event_0_025_type3_long_only,adr_event_0_025,type3_long_only,90164,87231,2933,2933,342412.87,-100614.81,241798.06,3.386761,2.681758,-99957.48,-4619.06,52.347894,-4619.07,0.293841,15.921976,34.452207,203299.03,229175.1,240300.04,238802.01,true,false,terminal_inventory_loss_share_gte_25pct_closed_net,82ADF90BF59F9CD29ED309C8A918FB22E06297A2733D1D3C8DF63F1B7B7AC231
adr_event_0_025_candidate_b_fade_strict,adr_event_0_025,candidate_b_fade_strict,96739,93537,3202,3202,368258.75,-167134.81,201123.94,2.200589,2.079037,-166484.86,-19782.64,10.166689,-11884.52,0.453852,12.390554,33.556577,176203.57,187580.48,199537.42,197950.9,true,false,terminal_inventory_loss_share_gte_25pct_closed_net,600158D2D02E2E0B487D1987C02BA474416BE7067573A133600A975CE72EE7ED
adr_event_0_025_type3_both_no_direction,adr_event_0_025,type3_both_no_direction,179454,171031,8423,8423,712614.59,-588504.85,124109.74,1.210584,0.691596,-586737.73,-90844.84,1.366173,-66486.54,0.825839,35.858065,102.694337,79606.39,98986.18,121065.32,118020.9,true,false,pf_below_1_25;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,DC6EC2BCA02E37F1547498538A1908F5F2AF505A52A2D0D327B7D44F8199ABFC
adr_event_0_05_candidate_b_fade_strict,adr_event_0_05,candidate_b_fade_strict,11062,10636,426,426,49247.71,-21489.48,27758.23,2.287908,2.509332,-21489.48,-7422.91,3.739534,-4670.85,0.436355,33.488271,72.598191,18462.48,26209.55,27557.08,27355.94,true,false,terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,8AB9533414BDFF5D3AA61D355C038B041738E0D9C0D31C2AB81D5EF866112D56
adr_event_0_05_type3_long_only,adr_event_0_05,type3_long_only,8912,8543,369,369,40657.02,-19453.59,21203.43,2.085265,2.3792,-19512.08,-5066.9,4.184695,-5066.9,0.47848,47.404781,90.979615,11151.99,19955.75,21022.57,20841.71,true,false,terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,BD7A715586488B8AFA96CADA91BC66360A40F488392E0460127B510FCFB898E1
adr_event_0_075_type3_both_no_direction,adr_event_0_075,type3_both_no_direction,4226,4101,125,125,20862.72,-1920.27,18942.45,9.437209,4.482359,-2150.52,-402.81,47.025769,-346.79,0.092043,24.344264,67.700377,14331.05,18350.81,18862.46,18782.46,true,false,top3_pairs_gt_55pct_net,A73E72768939FBC77777BF7AC17B32F5A060F49F9B5492346976BC2AB7A84465
adr_event_0_075_candidate_b_fade_strict,adr_event_0_075,candidate_b_fade_strict,3016,2917,99,99,14966.38,-2022.98,12943.4,6.895105,4.291578,-2116.39,-759.84,17.034373,-444.77,0.135168,33.183403,75.004028,8648.34,12521.16,12886.64,12829.89,true,false,top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,A7C9FBB9D97CDF7387C72CA273F6A191E86063F955C8379245033A9E364D6521
adr_event_0_075_type3_long_only,adr_event_0_075,type3_long_only,2621,2503,118,118,13450.52,-1861.37,11589.14,6.301022,4.421649,-2098.01,-1101.02,10.525824,-756.5,0.138387,39.790691,92.126487,6977.74,11222.2,11530.56,11471.97,true,false,top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,788DF35868661DCF556CA8C6E50B2F9ABB2BBF9433CBF181A943F0782F689F52
adr_event_0_05_type3_both_no_direction,adr_event_0_05,type3_both_no_direction,19929,18940,989,989,86143.95,-77839.67,8304.27,1.106569,0.416693,-77830.8,-17152.49,0.484144,-12860.24,0.9036,121.039366,297.531748,-1747.17,5514.21,7976.42,7648.57,true,false,pf_below_1_25;net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net,BFEFFBF6888321A84E61E54FA775F20A4FE26AFA1EEC1173418F76BD3071F35C
adr_event_0_075_type3_short_only,adr_event_0_075,type3_short_only,1605,1598,7,7,7412.21,-58.9,7353.31,125.845076,4.5815,-52.51,-170.47,43.135491,-170.47,0.007946,53.426029,100.000038,3424.73,7128.61,7331.9,7310.49,true,false,top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,D12CBB8309A1893D014D3249637B498ADC076DDCE414EA84C28EAB2C4F69A168
