variant_id,hedge_trigger,account_tp_usd,cycle_id,flush_time_utc,flush_time_ny,cycle_marked_net_before_flush,flush_closed_net_actual,open_originals_before_flush,open_hedges_before_flush,content_hash
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,1,2025-02-03T21:00:00.000Z,2025-02-03T16:00:00.000-05:00,271.2,16.6,53,0,B6CD4F57690F53B562C08369FB34AABA2A0637E121DE63540A3EE4B87F3B8A47
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,2,2025-02-04T21:00:00.000Z,2025-02-04T16:00:00.000-05:00,268.95,56.55,48,0,A231312AC96085961551522BDB40AD4E0EA6349B1ECF74A648BBF9CEED0973BD
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,3,2025-02-05T21:00:00.000Z,2025-02-05T16:00:00.000-05:00,52.48,-8.09,39,0,5E20B74DCB46200E18BDA65EF314C72FD9F483DC753DD792DEB52B46DAF18E1A
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,4,2025-02-06T21:00:00.000Z,2025-02-06T16:00:00.000-05:00,94.29,94.29,33,0,27FD875052CC82AFABE68755925D4309BA291FFCAC2BDF550DB81FE24330A24F
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,5,2025-02-11T21:00:00.000Z,2025-02-11T16:00:00.000-05:00,120.55,83.52,104,47,E3F2DA8193F8A6CC104EF8E9C7CEE22C4D3424C4E5257A84663357F40F3D31BE
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,6,2025-02-12T21:00:00.000Z,2025-02-12T16:00:00.000-05:00,63.12,12.34,47,0,519511C34030FD85653DFDB238A43734B32B1F8064A25C527BFBCB46DE660014
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,7,2025-02-13T21:00:00.000Z,2025-02-13T16:00:00.000-05:00,118.29,105.4,58,0,EC0F9DF4E2D489EC4620B8C44159564F1FE10A46A1B6FD60214644B4BD36CBED
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,8,2025-02-14T21:00:00.000Z,2025-02-14T16:00:00.000-05:00,77.96,50.12,47,0,9FE302AC1013F0A79337E542F96B36F63CA96CFB0D7A4777C551442CC3BDFC4C
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,9,2025-02-20T21:00:00.000Z,2025-02-20T16:00:00.000-05:00,283.29,62.58,99,49,FF6437A44816E8853F44E2148814C72DD2248D0450F15FFAC914B495E23A9580
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,10,2025-03-17T20:00:00.000Z,2025-03-17T16:00:00.000-04:00,179.34,-657.99,340,277,D07DD2FFE53B3B25FB1EE9B48ECA2F74E9B6DC256A13F2149F739D2D047458A3
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,11,2025-04-02T20:00:00.000Z,2025-04-02T16:00:00.000-04:00,140.78,-625.66,190,147,D1D7397C474A787250AD13A1D8E5C501F1B8FE3140AD9A340213F92662A570C7
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,50,1,2025-02-03T21:00:00.000Z,2025-02-03T16:00:00.000-05:00,271.2,16.6,53,0,32890019159993F607A0EF3768776957870654C47171899DC7D4007DC230ECE4
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,50,2,2025-02-04T21:00:00.000Z,2025-02-04T16:00:00.000-05:00,268.95,56.55,48,0,D88DC4A35520DAF436A4309FAB962098C1D1299A0CA71F3FC0AC3BA05A3B9088
