variant_id,currency,long_trades,long_net_actual,short_trades,short_net_actual,total_net_actual,content_hash
adr_event_0_025_type3_long_only,EUR,12423,14551.52,0,0,14551.52,5D6B552C9781E7CACA1FBF7E7C70CD694668F4EA62FD67A03B9673DB026A342B
adr_event_0_025_type3_long_only,CAD,2001,7351.66,22847,69721.32,77072.98,0AE28D9DE3532FE3A2E1CC235ABD4AC12A516102DEF34F95BE817DE9C9EC01F6
adr_event_0_025_type3_long_only,USD,10827,27989.97,12775,60353.2,88343.17,7951A7C9EB6F4BE0C1E07F2C8079C3317815F1B12BE0108A157C2FE44FC482EF
adr_event_0_025_type3_long_only,AUD,29850,112861.64,2844,3000.99,115862.63,7716B760C171537FD37EA9106AC11EDB4A06E3FE583A5D00B7A4CEF0AAD9AACE
adr_event_0_025_type3_long_only,NZD,23796,51659.95,14588,18889.27,70549.22,21E01ECA4EC73073C8DA0FA35F3F23ECE6F7016AAA187EC1F61D1E315BB1BC52
adr_event_0_025_type3_long_only,GBP,10521,24700.78,0,0,24700.78,F0387A5F168289A283C1E9721FCBB2B8CAE86640751E663C8E890475CC7051A0
adr_event_0_025_type3_long_only,JPY,0,0,18496,63433.07,63433.07,A26AF648181945D0AF254AC038D2CDE5C29043C883ED24EA42D227B8FF69A2AA
adr_event_0_025_type3_long_only,CHF,746,2682.54,18614,26400.21,29082.76,42A6EBB33D0F518B6F65053BFD92EE1C43A38F9A0B08726C95780253A0F79D48
adr_event_0_05_type3_long_only,AUD,5047,21163.25,0,0,21163.25,F7349027372E760803B1C21F3B1302B1A4EFCFC1A3C78B346BB4D70A10D6B86D
adr_event_0_05_type3_long_only,NZD,1782,2972.86,643,1872.45,4845.31,4385472F4C8CFA63829EED4994C7C2824F5DEEF032B55CE4A51EA70A94EB871B
adr_event_0_05_type3_long_only,USD,1577,-5318.6,0,0,-5318.6,65768ED7E99E7E98F6D8663E2DF2CB78B73E0012EBB25D5E0124F548ACAF29BD
adr_event_0_05_type3_long_only,CHF,191,935.51,5233,7705.7,8641.22,FD8AED806A504DE0C7E6566BC50493510E29F53F1179BA2E304936B3E34B1227
adr_event_0_05_type3_long_only,JPY,0,0,1197,5367.57,5367.57,FD76ABD4EF1E8F4C88DBE4A02EE6A661ACCAC6CE08F491CB4C6C18B7B52EAA79
adr_event_0_05_type3_long_only,EUR,170,727.39,0,0,727.39,97D8B9CCBE34985807F5918D0ECBCE16C74A9065F2BF206B264A105BFFC305B0
adr_event_0_05_type3_long_only,CAD,0,0,1839,6257.7,6257.7,70E65F98F32F45B71F003EBF31CE497E75829393BBD154758A654376FFF4B031
adr_event_0_05_type3_long_only,GBP,145,723.01,0,0,723.01,E80DC8E989A428E00BABC6426857008946B5F3B884AEC2FFC1DF99AFDBCFB011
adr_event_0_025_type3_short_only,EUR,0,0,17042,40006.75,40006.75,97FF156F55576E406949B571028DD53C6C5A97CBF9B8E60CA9DE216937F5B27D
adr_event_0_025_type3_short_only,USD,13273,36564.15,5422,12543.04,49107.2,E0B7CE0FA00F6D544D80B62792DE28F67EE60CA95A1A964E0031B5880CED0DCA
adr_event_0_025_type3_short_only,CAD,7141,5544.4,12782,22319.01,27863.41,9EE072061B271BCBEF4389861F5FDB1936DE4DDD994CAA35C38BD2DFB5E98940
adr_event_0_025_type3_short_only,AUD,13937,51781.02,12215,-204368.44,-152587.42,C3E2309550D55234AA811683AD9F581F392A83835F564B92BE483D520C6A8A7A
adr_event_0_025_type3_short_only,NZD,7388,-28337.63,8704,-19154.76,-47492.39,BC70E2F0CE74EB6B5472DD3A101E8F69C0554852FE596B285DE937FD0ADFFDA3
adr_event_0_025_type3_short_only,GBP,0,0,28073,88132.32,88132.32,46778455C664A82A24BF0CF4EDBDCC35EF70B173B74C6457DEA2CE874D46DA6D
adr_event_0_025_type3_short_only,JPY,23906,-211562.74,0,0,-211562.74,C9EC1FCEAD8B5BD6BD77AD2CF6B719E5218903AFEADDC4068C358DD9BE553FFB
adr_event_0_025_type3_short_only,CHF,23645,28322.48,5052,-57166.25,-28843.77,DACED44ED29BA7F1879DF9E765AE9255E7277F91D05CC6B7DC15F472528D2312
adr_event_0_05_type3_short_only,AUD,3547,14656.41,2328,-35486.9,-20830.5,0D09185589A96C8D57738577665793A99E8DC8EBA65BB0F1ABD8BAFFC067346D
adr_event_0_05_type3_short_only,NZD,2705,-9890.61,0,0,-9890.61,A3FB963C71186E06C8A49F0E81C0B1233A19D1643DD691611922B469712E918A
adr_event_0_05_type3_short_only,EUR,0,0,4737,14032.22,14032.22,BB6AC530A05D0F5C54992744E665C7AD9CDE5C7E5E90D8C394EEDBDAA44A88E4
adr_event_0_05_type3_short_only,GBP,0,0,3209,11328.6,11328.6,2F1C23C2B5B8AD1A23F0BB4332926C22D825FC238EF7292A12F913BD45CE8D5C
adr_event_0_05_type3_short_only,CHF,0,0,743,-2773.07,-2773.07,5424B8113364344921E3E179EDFDCA8AEF94A1247B5C939765F16AEE4259108A
adr_event_0_05_type3_short_only,JPY,3817,-21477.79,0,0,-21477.79,E8D995C1F41C714CC1FA1B29D0EAAC58F4C80EC9CD3C1C1C562AC52A6A5B465B
adr_event_0_05_type3_short_only,USD,948,3812.83,0,0,3812.83,94D2E94EEABF71AE0C5CCDFD0902267F230F77DEFD5C0FB71B38FEFED207DF3B
time_h1_type3_long_only,AUD,205,1125.1,0,0,1125.1,79B0CF1A9A9B59D516B5C1F33E48A7F16EB32A405B77C931D0DB6E2B63C1F5B5
time_h1_type3_long_only,CHF,0,0,544,727.33,727.33,6B7F2CB9B1E31299C805487D308F802D30799C2F9735D080813F0207FCC766BA
time_h1_type3_long_only,NZD,159,145.69,0,0,145.69,47F9D0B1DD3FF15D55F450B49798FC34A99FB748C438A712F04AF1DCBDF001DB
time_h1_type3_long_only,USD,180,-543.46,0,0,-543.46,DCD0E0A2BDB6A8C0D19C6902D3BB4D46BFF61C7AD95D949891E8B11545FD4B08
