variant_id,month,month_end_utc,closed_net_actual_to_month_end,open_marked_net_actual,marked_equity_actual,content_hash
adr_event_0_025_type3_long_only,2025-01,2025-01-31T23:59:59.999Z,0,0,0,BB6D3C86804C2AE8D4C3A7E10A0C48FDC11754B5C099E37A3384773F396413E9
adr_event_0_025_type3_long_only,2025-02,2025-02-28T23:59:59.999Z,6444.25,-7837.11,-1392.85,0AEAF1D1BCA47A04F9618D60C0C83E9884C66DD615CEED5F5717B516B7FDB31F
adr_event_0_025_type3_long_only,2025-03,2025-03-31T23:59:59.999Z,14712.24,-12430.21,2282.03,B9BF6573B9D8B337DDD49E87008ACA21AF303D6E6CAC7DBCE394AA6CC47FEC9C
adr_event_0_025_type3_long_only,2025-04,2025-04-30T23:59:59.999Z,41258.86,-38289.92,2968.94,E4D6B56E67EF9C8CB5A20B5AD256646C5A0F9DA06B81067F479D8551BDFB6D13
adr_event_0_025_type3_long_only,2025-05,2025-05-31T23:59:59.999Z,51838.18,-43064.54,8773.64,287692E738A37CA427411706901CFBB08309528E41C2E6DE8DC5B6EBE5EC8816
adr_event_0_025_type3_long_only,2025-06,2025-06-30T23:59:59.999Z,67493.87,-54694.11,12799.76,9497C05D1714B94DB2B372FB158DBAD7717016797C969A819FF9D06BF9E9B72C
adr_event_0_025_type3_long_only,2025-07,2025-07-31T23:59:59.999Z,89236.4,-62306.11,26930.3,03B9B1B49D1B3EB84A657D7DD95DE3BF1E85E1FC962247147A28BCD3A3835B51
adr_event_0_025_type3_long_only,2025-08,2025-08-31T23:59:59.999Z,108348.78,-79130.08,29218.7,899F477B5478C2DDC2F1026810F0CC897EFFED60FD1106E4654A2A0B927270DC
adr_event_0_025_type3_long_only,2025-09,2025-09-30T23:59:59.999Z,130491.13,-105891.49,24599.64,25D9693B56B0DA7488DF7A2EE99B8754A98F52560A6A0A747B8A688CEB989A0C
adr_event_0_025_type3_long_only,2025-10,2025-10-31T23:59:59.999Z,158374.83,-108310.83,50064,0B0D431B7A81528C1650298B1FFADD2246E08F86F0320C3A744D7A404937111C
adr_event_0_025_type3_long_only,2025-11,2025-11-30T23:59:59.999Z,181993.14,-111091.23,70901.91,5E1599C9FE2076FC05A78928D124FCABBCFD931B2E70DABC869A945097455B41
adr_event_0_025_type3_long_only,2025-12,2025-12-31T23:59:59.999Z,198915.98,-123605.32,75310.66,0A662EF598FFCB755F30E74A8497F93EA0B097DECE9976D765ED4B04A9465F31
adr_event_0_025_type3_long_only,2026-01,2026-01-31T23:59:59.999Z,224899,-123835.75,101063.25,B0F7AE81C51F8D73BE266B5F406463C6A9A6ACC797403F36F4D4614A8704D953
adr_event_0_025_type3_long_only,2026-02,2026-02-28T23:59:59.999Z,253034.57,-143086.6,109947.98,B0BEBF7863A2A3622E71CDBD2FE2219D0320F1B005768309241E84B678835D90
adr_event_0_025_type3_long_only,2026-03,2026-03-31T23:59:59.999Z,289550.42,-105652.48,183897.94,56328E5C07F54AAFFB102A661B5374F49813A1ED0F1A48EAB8119692C3C3116F
adr_event_0_025_type3_long_only,2026-04,2026-04-30T23:59:59.999Z,315730.14,-107597.48,208132.66,6192C92E62739A7E5B6EB4CF0608A1265B7831C0B3018C037C167D0E8D6B6118
adr_event_0_025_type3_long_only,2026-05,2026-05-31T23:59:59.999Z,241798.06,0,241798.06,ADD955BC5AD06928CBC5F1D82884E1D801FA22BCDC80E8619E0E9273EB8BE664
adr_event_0_05_type3_long_only,2025-01,2025-01-31T23:59:59.999Z,0,0,0,1E0BF31B4F7411D6EEBC03C86681CE215FF194C3DC06EC375848791A80F124BF
adr_event_0_05_type3_long_only,2025-02,2025-02-28T23:59:59.999Z,0,0,0,DF333A7559118C0324B4C3DECDC6DE59CFC08806598C00C15AD603C3AD9D864B
adr_event_0_05_type3_long_only,2025-03,2025-03-31T23:59:59.999Z,0,0,0,D53E1B49D51FCE090CE3F0F094C89B4A9C44332893AE364195F7D31CBD550C3D
adr_event_0_05_type3_long_only,2025-04,2025-04-30T23:59:59.999Z,5391.15,-1844.78,3546.36,B8381DC05366C75232A7694E223866DA93CF03BFFBC85C5AD7AEBAA4B02AF265
adr_event_0_05_type3_long_only,2025-05,2025-05-31T23:59:59.999Z,7800.2,-3956.64,3843.56,CAC636999AEA8258379A52AA8FC4DB02C608D5B15189410ACE545A5458F5F7EB
adr_event_0_05_type3_long_only,2025-06,2025-06-30T23:59:59.999Z,9588.16,-10811.5,-1223.34,D3FE9B0333B219105482518DE792EB9444B3F9C43FB54E278063193DD791695F
adr_event_0_05_type3_long_only,2025-07,2025-07-31T23:59:59.999Z,12629.74,-7138.58,5491.15,700A1E2B9E0707FA743F15ACE4AB27FD0B841964434A298484F398CBB440AE3D
adr_event_0_05_type3_long_only,2025-08,2025-08-31T23:59:59.999Z,14992.94,-12573.36,2419.58,1FFCB03B6A32BE7A00B529E3DD7E91ABD3F220ADD0B59D049BF0555E7255E3DE
adr_event_0_05_type3_long_only,2025-09,2025-09-30T23:59:59.999Z,17386.13,-16667.23,718.91,46F058276CAD22704585D0FC9B211F5A6E39A585AAEC9B6F0BC098DB5C92806D
adr_event_0_05_type3_long_only,2025-10,2025-10-31T23:59:59.999Z,20373.46,-15331.87,5041.59,E1F37E6B9D8232EFB19C8FBF7AAE18ADD9E1202E1A62365097AD3668CBB11DA8
adr_event_0_05_type3_long_only,2025-11,2025-11-30T23:59:59.999Z,23511.14,-15940.71,7570.42,AD9F4686CBACB250264838030CDF98D66E91A22AACB27D2FB6DA8E867F831DB9
adr_event_0_05_type3_long_only,2025-12,2025-12-31T23:59:59.999Z,25484.57,-21737.57,3747,F1CAFFE604A565EBF7FA0076B69C0E0AE3B57CCBB51E2F8D6D7048450E39EAC0
adr_event_0_05_type3_long_only,2026-01,2026-01-31T23:59:59.999Z,29015.36,-24516.34,4499.02,9F19E9A74290C678F420EC53F91526F5D01674E56C51426CA1ED39C0F7DD203D
adr_event_0_05_type3_long_only,2026-02,2026-02-28T23:59:59.999Z,31015.61,-26921.48,4094.13,FDF794AF439B9AD9F502E81ED74CA1E4DD17788A8F267794ECE51E94F5887FE7
adr_event_0_05_type3_long_only,2026-03,2026-03-31T23:59:59.999Z,33726.58,-17393.43,16333.15,C9779A360EE4E43DD2D0A040CE898E28B38AEDB22CF237FD416890F850948954
adr_event_0_05_type3_long_only,2026-04,2026-04-30T23:59:59.999Z,36649.42,-21826.64,14822.78,3951B9B57E45840318ADD081ED2F52C4EFAE97E313874D2FF90484CD320C9E3C
adr_event_0_05_type3_long_only,2026-05,2026-05-31T23:59:59.999Z,21203.43,0,21203.43,F76E70DDABD88F81144AD9354E05A513529D77FD7B2040150A052DFAC1EA4042
