variant_id,control_id,trades,net_actual,profit_factor,notes,content_hash
adr_event_0_025_type3_long_only,always_long_same_pair_month_total_lots,202,157534.31,1.175054,pair-month long hold using summed actual lot exposure,B1ADEA321E6B477B0534454AA4CA7140CC9AF9AE998CB2C238FF5AC18A9BCC26
adr_event_0_025_type3_long_only,random_long_entries_same_pair_month_count,90156,-52803.89,0.834147,deterministic same symbol/month random start with actual hold duration,0C387177A521AA972013E3847F4758A957A771BC4996DE0E612ECCD23948BA76
adr_event_0_025_type3_long_only,shifted_type3_entries_plus_1_events,90164,218431.95,3.110333,shifted ADR-event entry with actual hold duration,5A12A4F38EC5417B72958F4F572847D523F054016E1764E36D0783E0DB5A4DD7
adr_event_0_025_type3_long_only,shifted_type3_entries_plus_5_events,90163,201608.84,2.855812,shifted ADR-event entry with actual hold duration,BE544AC765D0600E743F5F0F827249EB46E53032F41CA5AF7D60D9D255074A84
adr_event_0_025_type3_long_only,shifted_type3_entries_plus_20_events,90109,188687.19,2.473985,shifted ADR-event entry with actual hold duration,4F1EDDC15979614B2FAD14E6B449FBD930849A985E3E5271CB4FA54EEA57A7CD
adr_event_0_05_type3_long_only,always_long_same_pair_month_total_lots,74,-2728.57,0.972351,pair-month long hold using summed actual lot exposure,F24CC3E93EAC6B75B94D8C5B9794B36DB6250C37A123F725B374D2065BD44B9C
adr_event_0_05_type3_long_only,random_long_entries_same_pair_month_count,8911,-14866.74,0.647758,deterministic same symbol/month random start with actual hold duration,0F52ABF34A31231605F38D9FC40D46A56469E56DAACC4DCB08C6A1B46D9A8D59
adr_event_0_05_type3_long_only,shifted_type3_entries_plus_1_events,8912,17729.96,1.888702,shifted ADR-event entry with actual hold duration,D66F33D14FF2C004F4B396033BB1EF3D03C554926405F38D26F2941032260D13
adr_event_0_05_type3_long_only,shifted_type3_entries_plus_5_events,8902,15653.89,1.745384,shifted ADR-event entry with actual hold duration,4ED323285FF2E7CA28F39DCBE085E60DD1670A19B9B0815F11C55616654D07F3
adr_event_0_05_type3_long_only,shifted_type3_entries_plus_20_events,8895,14558.53,1.611554,shifted ADR-event entry with actual hold duration,D0DA7233C85BB6F14F72E20A08BDB842756B6F157F68A28121B3D9EC102586C7
