time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.07 02:30:00,AUDCAD.i,SELL_SIGNAL,SHORT,0.92911,,,,MT5_ORDER_FILL,,0.00475,0.92088,92.7152,AGAINST,UP,,0.93060,0,,0.000000,0.000000,signal
2026.01.07 02:30:00,AUDCAD.i,ENTRY,SHORT,0.92914,0.92911,0.92914,0.92914,MT5_ORDER_FILL,0.00003,0.00475,0.92088,,AGAINST,UP,,0.93060,1,0.92914,0.000000,0.000000,entry
2026.01.07 02:31:00,AUDCAD.i,EXIT,SHORT,0.92867,0.92867,0.92914,0.92867,MT5_ORDER_FILL,0.00048,0.00475,0.92088,,AGAINST,UP,,0.93060,1,0.92914,0.100000,0.100000,tp
2026.01.14 16:05:00,AUDCAD.i,BUY_BLOCKED_DAVID,LONG,0.92716,,,,MT5_ORDER_FILL,,0.00549,0.92903,9.6038,AGAINST,UP,,0.92683,0,,0.000000,0.100000,david_blocked
2026.01.27 14:49:00,AUDCAD.i,SELL_SIGNAL,SHORT,0.95026,,,,MT5_ORDER_FILL,,0.00496,0.93175,90.6834,AGAINST,UP,,0.95053,0,,0.000000,0.100000,signal
2026.01.27 14:49:00,AUDCAD.i,ENTRY,SHORT,0.95026,0.95026,0.95026,0.95026,MT5_ORDER_FILL,0.00000,0.00496,0.93175,,AGAINST,UP,,0.95053,1,0.95026,0.000000,0.100000,entry
2026.01.27 15:16:00,AUDCAD.i,EXIT,SHORT,0.94976,0.94976,0.94966,0.94976,MT5_ORDER_FILL,-0.00010,0.00496,0.93175,,AGAINST,UP,,0.95025,1,0.95026,0.100000,0.200000,tp
2026.02.06 00:43:00,AUDCAD.i,BUY_BLOCKED_DAVID,LONG,0.94971,,,,MT5_ORDER_FILL,,0.00795,0.95483,8.6552,AGAINST,UP,,0.94949,0,,0.000000,0.200000,david_blocked
2026.02.09 00:17:00,AUDCAD.i,SELL_SIGNAL,SHORT,0.95789,,,,MT5_ORDER_FILL,,0.00892,0.95619,94.4003,AGAINST,UP,,0.95814,0,,0.000000,0.200000,signal
2026.02.09 00:17:00,AUDCAD.i,ENTRY,SHORT,0.95789,0.95789,0.95789,0.95789,MT5_ORDER_FILL,0.00000,0.00892,0.95619,,AGAINST,UP,,0.95814,1,0.95789,0.000000,0.200000,entry
