time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.15 08:50:00,AUDNZD.i,SELL_SIGNAL,SHORT,1.16426,,,,MT5_ORDER_FILL,,0.00568,1.16316,94.9286,AGAINST,UP,,1.16441,0,,0.000000,0.000000,signal
2026.01.15 08:50:00,AUDNZD.i,ENTRY,SHORT,1.16426,1.16426,1.16426,1.16426,MT5_ORDER_FILL,0.00000,0.00568,1.16316,,AGAINST,UP,,1.16441,1,1.16426,0.000000,0.000000,entry
2026.01.15 10:02:00,AUDNZD.i,SELL_SIGNAL,SHORT,1.16421,,,,MT5_ORDER_FILL,,0.00568,1.16316,93.6310,AGAINST,UP,,1.16436,1,1.16426,0.000000,0.000000,signal
2026.01.15 10:50:00,AUDNZD.i,GRID_ADD,SHORT,1.16485,1.16483,1.16485,1.16485,MT5_ORDER_FILL,0.00002,0.00568,1.16316,,AGAINST,UP,,1.16460,2,1.16456,-0.103855,0.000000,grid_add
2026.01.15 13:52:00,AUDNZD.i,GRID_ADD,SHORT,1.16541,1.16540,1.16541,1.16541,MT5_ORDER_FILL,0.00001,0.00568,1.16316,,AGAINST,UP,,1.16518,3,1.16484,-0.301003,0.000000,grid_add
2026.01.15 15:30:00,AUDNZD.i,EXIT,SHORT,1.16427,1.16427,1.16500,1.16427,MT5_ORDER_FILL,0.00073,0.00568,1.16316,,AGAINST,UP,,1.16467,3,1.16484,0.300000,0.300000,tp
2026.02.06 14:48:00,AUDNZD.i,SELL_SIGNAL,SHORT,1.16513,,,,MT5_ORDER_FILL,,0.00663,1.15895,94.2335,AGAINST,UP,,1.16549,0,,0.000000,0.300000,signal
2026.02.06 14:48:00,AUDNZD.i,ENTRY,SHORT,1.16511,1.16513,1.16511,1.16511,MT5_ORDER_FILL,-0.00002,0.00663,1.15895,,AGAINST,UP,,1.16549,1,1.16511,0.000000,0.300000,entry
2026.02.06 15:24:00,AUDNZD.i,GRID_ADD,SHORT,1.16580,1.16577,1.16580,1.16580,MT5_ORDER_FILL,0.00003,0.00663,1.15895,,AGAINST,UP,,1.16545,2,1.16546,-0.104151,0.300000,grid_add
2026.02.06 16:25:00,AUDNZD.i,EXIT,SHORT,1.16479,1.16479,1.16484,1.16479,MT5_ORDER_FILL,0.00005,0.00663,1.15895,,AGAINST,UP,,1.16501,2,1.16546,0.200000,0.500000,tp
2026.02.11 17:30:00,AUDNZD.i,SELL_SIGNAL,SHORT,1.17531,,,,MT5_ORDER_FILL,,0.00629,1.15895,90.6422,AGAINST,UP,,1.17573,0,,0.000000,0.500000,signal
2026.02.11 17:30:00,AUDNZD.i,ENTRY,SHORT,1.17528,1.17531,1.17528,1.17528,MT5_ORDER_FILL,-0.00003,0.00629,1.15895,,AGAINST,UP,,1.17573,1,1.17528,0.000000,0.500000,entry
2026.02.11 17:51:00,AUDNZD.i,GRID_ADD,SHORT,1.17600,1.17591,1.17600,1.17600,MT5_ORDER_FILL,0.00009,0.00629,1.15895,,AGAINST,UP,,1.17550,2,1.17564,-0.114413,0.500000,grid_add
2026.02.11 17:53:00,AUDNZD.i,GRID_ADD,SHORT,1.17650,1.17654,1.17650,1.17650,MT5_ORDER_FILL,-0.00004,0.00629,1.15895,,AGAINST,UP,,1.17557,3,1.17593,-0.273320,0.500000,grid_add
2026.02.11 19:17:00,AUDNZD.i,GRID_ADD,SHORT,1.17713,1.17717,1.17713,1.17713,MT5_ORDER_FILL,-0.00004,0.00629,1.15895,,AGAINST,UP,,1.17684,4,1.17623,-0.573653,0.500000,grid_add
2026.02.11 19:31:00,AUDNZD.i,GRID_ADD,SHORT,1.17782,1.17780,1.17782,1.17782,MT5_ORDER_FILL,0.00002,0.00629,1.15895,,AGAINST,UP,,1.17719,5,1.17655,-1.012236,0.500000,grid_add
2026.02.12 00:13:00,AUDNZD.i,GRID_ADD,SHORT,1.17855,1.17843,1.17855,1.17855,MT5_ORDER_FILL,0.00012,0.00629,1.16105,,AGAINST,UP,,1.17769,6,1.17688,-1.592245,0.500000,grid_add
2026.02.12 00:23:00,AUDNZD.i,SELL_SIGNAL,SHORT,1.17675,,,,MT5_ORDER_FILL,,0.00678,1.16105,90.8453,AGAINST,UP,,1.17752,6,1.17688,0.000000,0.500000,signal
