time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.05 15:02:00,CADJPY.i,BUY_BLOCKED_DAVID,LONG,113.733,,,,MT5_ORDER_FILL,,0.681,114.133,7.0761,AGAINST,UP,,113.691,0,,0.000000,0.000000,david_blocked
2026.01.05 17:04:00,CADJPY.i,BUY_BLOCKED_DAVID,LONG,113.729,,,,MT5_ORDER_FILL,,0.681,114.133,8.6521,AGAINST,UP,,113.683,0,,0.000000,0.000000,david_blocked
2026.01.16 17:21:00,CADJPY.i,BUY_BLOCKED_DAVID,LONG,113.718,,,,MT5_ORDER_FILL,,0.659,114.133,8.1854,AGAINST,UP,,113.623,0,,0.000000,0.000000,david_blocked
2026.01.19 02:11:00,CADJPY.i,BUY_BLOCKED_DAVID,LONG,113.511,,,,MT5_ORDER_FILL,,0.679,114.033,9.4800,AGAINST,UP,,113.386,0,,0.000000,0.000000,david_blocked
2026.01.23 09:43:00,CADJPY.i,SELL_SIGNAL,SHORT,114.644,,,,MT5_ORDER_FILL,,0.708,114.535,90.4442,AGAINST,UP,,115.324,0,,0.000000,0.000000,signal
2026.01.23 09:43:00,CADJPY.i,ENTRY,SHORT,114.683,114.644,114.683,114.683,MT5_ORDER_FILL,0.039,0.708,114.535,,AGAINST,UP,,115.324,1,114.683,0.000000,0.000000,entry
2026.01.23 09:44:00,CADJPY.i,EXIT,SHORT,114.612,114.612,114.234,114.612,MT5_ORDER_FILL,-0.378,0.708,114.535,,AGAINST,UP,,115.324,1,114.683,0.100000,0.100000,tp
2026.02.03 13:17:00,CADJPY.i,SELL_SIGNAL,SHORT,113.988,,,,MT5_ORDER_FILL,,1.076,113.731,91.7896,AGAINST,UP,,113.986,0,,0.000000,0.100000,signal
2026.02.03 13:17:00,CADJPY.i,ENTRY,SHORT,113.989,113.988,113.989,113.989,MT5_ORDER_FILL,0.001,1.076,113.731,,AGAINST,UP,,113.986,1,113.989,0.000000,0.100000,entry
2026.02.03 14:35:00,CADJPY.i,GRID_ADD,SHORT,114.093,114.097,114.093,114.093,MT5_ORDER_FILL,-0.004,1.076,113.731,,AGAINST,UP,,114.061,2,114.041,-0.096627,0.100000,grid_add
2026.02.03 22:17:00,CADJPY.i,GRID_ADD,SHORT,114.215,114.204,114.215,114.215,MT5_ORDER_FILL,0.011,1.076,113.832,,AGAINST,UP,,114.146,3,114.099,-0.323330,0.100000,grid_add
2026.02.04 02:40:00,CADJPY.i,GRID_ADD,SHORT,114.312,114.312,114.312,114.312,MT5_ORDER_FILL,0.000,1.076,113.832,,AGAINST,UP,,114.271,4,114.152,-0.593701,0.100000,grid_add
2026.02.04 03:09:00,CADJPY.i,GRID_ADD,SHORT,114.421,114.420,114.421,114.421,MT5_ORDER_FILL,0.001,1.076,113.832,,AGAINST,UP,,114.352,5,114.206,-0.998792,0.100000,grid_add
2026.02.04 04:05:00,CADJPY.i,GRID_ADD,SHORT,114.536,114.527,114.536,114.536,MT5_ORDER_FILL,0.009,1.076,113.832,,AGAINST,UP,,114.491,6,114.261,-1.533030,0.100000,grid_add
2026.02.04 07:10:00,CADJPY.i,GRID_ADD,SHORT,114.634,114.635,114.634,114.634,MT5_ORDER_FILL,-0.001,1.076,113.832,,AGAINST,UP,,114.603,7,114.314,-2.079346,0.100000,grid_add
2026.02.04 09:34:00,CADJPY.i,GRID_ADD,SHORT,114.730,114.742,114.730,114.730,MT5_ORDER_FILL,-0.012,1.076,113.832,,AGAINST,UP,,114.714,8,114.366,-2.703707,0.100000,grid_add
2026.02.04 23:31:00,CADJPY.i,GRID_ADD,SHORT,114.873,114.850,114.873,114.873,MT5_ORDER_FILL,0.023,1.076,113.932,,AGAINST,UP,,114.814,9,114.423,-3.766608,0.100000,grid_add
