basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,EURGBP.i,SHORT,2026.01.12 10:02:00,2026.01.12 10:20:00,AGAINST,UP,0.00310,1,0.86859,0.86828,0.86859,0.86859,0.86859,0.86859,0.86859,0.86859,0.86828,0.86828,0.86828,MT5_ORDER_FILL,0.100000,-0.038735,0.112976,18.00,tp
2,EURGBP.i,SHORT,2026.01.15 15:31:00,2026.01.15 17:22:00,AGAINST,UP,0.00280,2,0.86752,0.86723,0.86728,0.86731,0.86731,0.86759,0.86772,0.86772,0.86723,0.86723,0.86723,MT5_ORDER_FILL,0.200000,-0.210639,0.224920,111.00,tp
3,EURGBP.i,SHORT,2026.04.21 09:01:00,2026.04.21 09:03:00,AGAINST,UP,0.00246,1,0.87084,0.87059,0.87084,0.87084,0.87084,0.87084,0.87084,0.87084,0.87059,0.87051,0.87059,MT5_ORDER_FILL,0.100000,-0.032481,0.138043,2.00,tp
4,EURGBP.i,SHORT,2026.05.06 07:32:00,2026.05.06 10:06:00,AGAINST,UP,0.00260,2,0.86353,0.86326,0.86344,0.86342,0.86342,0.86368,0.86363,0.86363,0.86326,0.86327,0.86326,MT5_ORDER_FILL,0.200000,-0.226749,0.203689,154.00,tp
5,EURGBP.i,SHORT,2026.05.06 14:06:00,2026.05.06 14:18:00,AGAINST,UP,0.00260,2,0.86458,0.86432,0.86437,0.86437,0.86437,0.86463,0.86479,0.86479,0.86432,0.86423,0.86432,MT5_ORDER_FILL,0.200000,-0.192160,0.276710,12.00,tp
6,EURGBP.i,SHORT,2026.05.06 14:18:00,2026.05.06 14:33:00,AGAINST,UP,0.00260,1,0.86422,0.86396,0.86422,0.86422,0.86422,0.86422,0.86422,0.86422,0.86396,0.86400,0.86396,MT5_ORDER_FILL,0.100000,-0.030746,0.103766,15.00,tp
7,EURGBP.i,SHORT,2026.05.08 02:44:00,2026.05.08 05:45:00,AGAINST,UP,0.00253,1,0.86536,0.86511,0.86536,0.86536,0.86536,0.86536,0.86536,0.86536,0.86511,0.86512,0.86511,MT5_ORDER_FILL,0.100000,-0.067300,0.106888,181.00,tp
8,EURGBP.i,SHORT,2026.05.13 16:01:00,2026.05.13 16:24:00,AGAINST,UP,0.00281,1,0.86719,0.86691,0.86719,0.86719,0.86719,0.86719,0.86719,0.86719,0.86691,0.86700,0.86691,MT5_ORDER_FILL,0.100000,-0.035587,0.103203,23.00,tp
9,EURGBP.i,SHORT,2026.05.27 15:15:00,2026.05.27 16:27:00,AGAINST,UP,0.00342,2,0.86624,0.86590,0.86618,0.86618,0.86618,0.86652,0.86630,0.86630,0.86590,0.86592,0.86590,MT5_ORDER_FILL,0.200000,-0.280948,0.204858,72.00,tp
10,EURGBP.i,SHORT,2026.06.04 03:58:00,2026.06.04 07:53:00,AGAINST,UP,0.00236,2,0.86465,0.86441,0.86455,0.86455,0.86455,0.86479,0.86475,0.86475,0.86441,0.86442,0.86441,MT5_ORDER_FILL,0.200000,-0.135708,0.212044,235.00,tp
11,EURGBP.i,SHORT,2026.06.04 13:57:00,2026.06.04 14:00:00,AGAINST,UP,0.00236,1,0.86521,0.86497,0.86521,0.86521,0.86521,0.86521,0.86521,0.86521,0.86497,0.86504,0.86497,MT5_ORDER_FILL,0.100000,-0.004241,0.106022,3.00,tp
