basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPAUD.i,SHORT,2026.01.14 15:15:00,2026.01.14 15:30:00,AGAINST,UP,0.01072,1,2.01287,2.01180,2.01286,2.01287,2.01287,2.01286,2.01287,2.01287,2.01180,2.01314,2.01180,MT5_ORDER_FILL,0.100000,-0.027055,0.114750,15.00,tp
2,GBPAUD.i,SHORT,2026.01.14 15:47:00,2026.01.14 17:11:00,AGAINST,UP,0.01072,2,2.01340,2.01233,2.01292,2.01292,2.01292,2.01399,2.01389,2.01389,2.01233,2.01289,2.01233,MT5_ORDER_FILL,0.200000,-0.180054,0.241627,84.00,tp
3,GBPAUD.i,SHORT,2026.01.14 17:12:00,2026.01.14 18:22:00,AGAINST,UP,0.01072,3,2.01335,2.01228,2.01221,2.01222,2.01222,2.01436,2.01437,2.01437,2.01228,2.01223,2.01228,MT5_ORDER_FILL,0.300000,-0.295737,0.347980,70.00,tp
4,GBPAUD.i,SHORT,2026.03.23 14:08:00,2026.03.23 14:10:00,AGAINST,UP,0.01547,1,1.90911,1.90756,1.90907,1.90911,1.90911,1.90907,1.90911,1.90911,1.90756,1.90655,1.90756,MT5_ORDER_FILL,0.100000,-0.062694,0.255300,2.00,tp
5,GBPAUD.i,SHORT,2026.03.25 16:03:00,2026.03.25 17:06:00,AGAINST,UP,0.01505,1,1.92341,1.92191,1.92341,1.92341,1.92341,1.92341,1.92341,1.92341,1.92191,1.92192,1.92191,MT5_ORDER_FILL,0.100000,-0.088390,0.101017,63.00,tp
6,GBPAUD.i,SHORT,2026.03.27 00:38:00,2026.03.27 05:19:00,AGAINST,UP,0.01465,5,1.93695,1.93548,1.93403,1.93401,1.93401,1.93987,1.94003,1.94003,1.93548,1.93538,1.93548,MT5_ORDER_FILL,0.500000,-1.086393,0.571858,281.00,tp
7,GBPAUD.i,SHORT,2026.05.22 15:13:00,2026.05.25 00:03:00,AGAINST,UP,0.01280,3,1.88347,1.88219,1.88239,1.88243,1.88243,1.88499,1.88465,1.88465,1.88219,1.88190,1.88219,MT5_ORDER_FILL,0.300000,-0.633396,1.034833,3410.00,tp
8,GBPAUD.i,SHORT,2026.06.04 04:31:00,2026.06.04 09:31:00,AGAINST,UP,0.00920,3,1.88313,1.88221,1.88214,1.88214,1.88214,1.88398,1.88417,1.88417,1.88221,1.88214,1.88221,MT5_ORDER_FILL,0.300000,-0.405347,0.331450,300.00,tp
9,GBPAUD.i,SHORT,2026.06.08 00:56:00,2026.06.08 03:15:00,AGAINST,UP,0.00877,3,1.89399,1.89311,1.89294,1.89294,1.89294,1.89469,1.89492,1.89492,1.89311,1.89321,1.89311,MT5_ORDER_FILL,0.300000,-0.383299,0.301164,139.00,tp
10,GBPAUD.i,SHORT,2026.06.09 03:57:00,2026.06.09 04:18:00,AGAINST,UP,0.00908,1,1.89372,1.89281,1.89372,1.89372,1.89372,1.89372,1.89372,1.89372,1.89281,1.89290,1.89281,MT5_ORDER_FILL,0.100000,-0.007708,0.110108,21.00,tp
11,GBPAUD.i,SHORT,2026.06.09 13:14:00,2026.06.09 13:27:00,AGAINST,UP,0.00908,1,1.89881,1.89790,1.89880,1.89881,1.89881,1.89880,1.89881,1.89881,1.89790,1.89797,1.89790,MT5_ORDER_FILL,0.100000,-0.019819,0.101299,13.00,tp
12,GBPAUD.i,SHORT,2026.06.22 13:11:00,2026.06.22 16:46:00,AGAINST,UP,0.01032,4,1.89171,1.89067,1.89019,1.89019,1.89019,1.89329,1.89305,1.89305,1.89067,1.89070,1.89067,MT5_ORDER_FILL,0.400000,-0.691592,0.466873,215.00,tp
