basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPCHF.i,SHORT,2026.01.13 03:38:00,2026.01.13 06:57:00,AGAINST,UP,0.00441,2,1.07463,1.07419,1.07442,1.07442,1.07442,1.07486,1.07484,1.07484,1.07419,1.07426,1.07419,MT5_ORDER_FILL,0.200000,-0.190433,0.204035,199.00,tp
2,GBPCHF.i,SHORT,2026.01.13 15:34:00,2026.01.13 16:03:00,AGAINST,UP,0.00441,1,1.07548,1.07504,1.07543,1.07548,1.07548,1.07543,1.07548,1.07548,1.07504,1.07515,1.07504,MT5_ORDER_FILL,0.100000,-0.097484,0.129222,29.00,tp
3,GBPCHF.i,SHORT,2026.01.22 00:11:00,2026.01.22 06:12:00,AGAINST,UP,0.00537,5,1.06777,1.06724,1.06667,1.06667,1.06667,1.06882,1.06878,1.06878,1.06724,1.06737,1.06724,MT5_ORDER_FILL,0.500000,-0.985653,0.626048,361.00,tp
4,GBPCHF.i,SHORT,2026.01.27 08:42:00,2026.01.27 11:05:00,AGAINST,UP,0.00634,2,1.06363,1.06299,1.06331,1.06333,1.06333,1.06396,1.06392,1.06392,1.06299,1.06300,1.06299,MT5_ORDER_FILL,0.200000,-0.212934,0.231861,143.00,tp
5,GBPCHF.i,SHORT,2026.02.06 15:33:00,2026.02.06 15:37:00,AGAINST,UP,0.00812,1,1.05685,1.05604,1.05685,1.05685,1.05685,1.05685,1.05685,1.05685,1.05604,1.05610,1.05604,MT5_ORDER_FILL,0.100000,-0.001232,0.112138,4.00,tp
6,GBPCHF.i,SHORT,2026.02.11 15:19:00,2026.02.11 15:30:00,AGAINST,UP,0.00798,2,1.05026,1.04946,1.04974,1.04976,1.04976,1.05056,1.05076,1.05076,1.04946,1.05166,1.04946,MT5_ORDER_FILL,0.200000,-0.488906,0.340980,11.00,tp
7,GBPCHF.i,SHORT,2026.02.20 16:15:00,2026.02.20 17:07:00,AGAINST,UP,0.00654,2,1.04649,1.04584,1.04616,1.04616,1.04616,1.04681,1.04682,1.04682,1.04584,1.04645,1.04584,MT5_ORDER_FILL,0.200000,-0.229358,0.207951,52.00,tp
8,GBPCHF.i,SHORT,2026.02.25 15:37:00,2026.02.25 16:29:00,AGAINST,UP,0.00556,1,1.04689,1.04633,1.04689,1.04689,1.04689,1.04689,1.04689,1.04689,1.04633,1.04641,1.04633,MT5_ORDER_FILL,0.100000,-0.080921,0.111491,52.00,tp
9,GBPCHF.i,SHORT,2026.03.10 00:06:00,2026.03.10 12:15:00,AGAINST,UP,0.00756,4,1.04451,1.04375,1.04332,1.04332,1.04332,1.04559,1.04550,1.04550,1.04375,1.04391,1.04375,MT5_ORDER_FILL,0.400000,-0.673726,0.427531,729.00,tp
10,GBPCHF.i,SHORT,2026.03.19 15:10:00,2026.03.19 15:21:00,AGAINST,UP,0.00547,2,1.05646,1.05592,1.05642,1.05642,1.05642,1.05697,1.05651,1.05651,1.05592,1.05638,1.05592,MT5_ORDER_FILL,0.200000,-0.124292,0.206544,11.00,tp
11,GBPCHF.i,SHORT,2026.03.31 17:57:00,2026.03.31 18:26:00,AGAINST,UP,0.00694,6,1.06005,1.05936,1.05818,1.05815,1.05815,1.06162,1.06163,1.06163,1.05936,1.05937,1.05936,MT5_ORDER_FILL,0.600000,-1.528598,0.744849,29.00,tp
12,GBPCHF.i,LONG,2026.05.04 01:01:00,2026.05.05 17:01:00,AGAINST,DOWN,0.00505,8,1.06124,1.06174,1.06193,1.06257,1.06257,1.05904,1.06110,1.06110,1.06174,1.06161,1.06174,MT5_ORDER_FILL,0.800000,-3.946899,0.824252,2400.00,tp
13,GBPCHF.i,LONG,2026.06.12 00:16:00,2026.06.12 14:02:00,AGAINST,DOWN,0.00546,6,1.06730,1.06785,1.06638,1.06759,1.06759,1.06486,1.06672,1.06672,1.06785,1.06786,1.06785,MT5_ORDER_FILL,0.600000,-3.244135,0.648827,826.00,tp
