basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPNZD.i,SHORT,2026.01.05 15:23:00,2026.01.05 16:00:00,AGAINST,UP,0.01218,1,2.33811,2.33689,2.33813,2.33811,2.33811,2.33813,2.33811,2.33811,2.33689,2.33727,2.33689,MT5_ORDER_FILL,0.100000,-0.059123,0.111677,37.00,tp
2,GBPNZD.i,SHORT,2026.01.09 15:29:00,2026.01.09 15:44:00,AGAINST,UP,0.01127,2,2.34248,2.34135,2.34284,2.34270,2.34270,2.34383,2.34226,2.34226,2.34135,2.34087,2.34135,MT5_ORDER_FILL,0.200000,-0.289187,0.312251,15.00,tp
3,GBPNZD.i,SHORT,2026.02.20 16:35:00,2026.02.20 16:44:00,AGAINST,UP,0.01441,1,2.26285,2.26141,2.26293,2.26285,2.26285,2.26293,2.26285,2.26285,2.26141,2.26225,2.26141,MT5_ORDER_FILL,0.100000,-0.033308,0.113802,9.00,tp
4,GBPNZD.i,SHORT,2026.02.23 14:30:00,2026.02.23 16:30:00,AGAINST,UP,0.01383,2,2.26220,2.26082,2.26155,2.26155,2.26155,2.26293,2.26285,2.26285,2.26082,2.26044,2.26082,MT5_ORDER_FILL,0.200000,-0.135907,0.287718,120.00,tp
5,GBPNZD.i,SHORT,2026.02.24 16:41:00,2026.02.24 18:16:00,AGAINST,UP,0.01384,2,2.26656,2.26518,2.26607,2.26601,2.26601,2.26739,2.26712,2.26712,2.26518,2.26531,2.26518,MT5_ORDER_FILL,0.200000,-0.282576,0.203079,95.00,tp
6,GBPNZD.i,SHORT,2026.02.26 15:00:00,2026.02.26 15:29:00,AGAINST,UP,0.01335,2,2.26221,2.26088,2.26150,2.26152,2.26152,2.26285,2.26290,2.26290,2.26088,2.26110,2.26088,MT5_ORDER_FILL,0.200000,-0.119877,0.247247,29.00,tp
7,GBPNZD.i,SHORT,2026.02.26 17:50:00,2026.02.26 17:55:00,AGAINST,UP,0.01335,1,2.26165,2.26032,2.26165,2.26165,2.26165,2.26165,2.26165,2.26165,2.26032,2.26012,2.26032,MT5_ORDER_FILL,0.100000,-0.023226,0.126620,5.00,tp
8,GBPNZD.i,SHORT,2026.03.19 02:46:00,2026.03.19 03:05:00,AGAINST,UP,0.01622,1,2.28871,2.28709,2.28871,2.28871,2.28871,2.28871,2.28871,2.28871,2.28709,2.28729,2.28709,MT5_ORDER_FILL,0.100000,-0.053641,0.102349,19.00,tp
9,GBPNZD.i,SHORT,2026.03.23 14:08:00,2026.03.23 14:10:00,AGAINST,UP,0.01500,2,2.29467,2.29317,2.29479,2.29483,2.29483,2.29633,2.29452,2.29452,2.29317,2.29472,2.29317,MT5_ORDER_FILL,0.200000,-0.149950,0.247251,2.00,tp
10,GBPNZD.i,SHORT,2026.03.27 03:12:00,2026.03.27 04:58:00,AGAINST,UP,0.01568,3,2.31559,2.31402,2.31407,2.31406,2.31406,2.31720,2.31719,2.31719,2.31402,2.31402,2.31402,MT5_ORDER_FILL,0.300000,-0.379392,0.318817,106.00,tp
11,GBPNZD.i,SHORT,2026.04.16 16:56:00,2026.04.16 17:13:00,AGAINST,UP,0.01224,1,2.29960,2.29838,2.29960,2.29960,2.29960,2.29960,2.29960,2.29960,2.29838,2.29848,2.29838,MT5_ORDER_FILL,0.100000,-0.042477,0.101291,17.00,tp
12,GBPNZD.i,SHORT,2026.05.22 14:48:00,2026.05.22 15:13:00,AGAINST,UP,0.01415,1,2.29271,2.29129,2.29267,2.29271,2.29271,2.29267,2.29271,2.29271,2.29129,2.29123,2.29129,MT5_ORDER_FILL,0.100000,-0.055826,0.116600,25.00,tp
13,GBPNZD.i,SHORT,2026.06.10 12:26:00,2026.06.10 15:30:00,AGAINST,UP,0.01798,2,2.30367,2.30187,2.30277,2.30273,2.30273,2.30453,2.30461,2.30461,2.30187,2.30352,2.30187,MT5_ORDER_FILL,0.200000,-0.280296,0.235804,184.00,tp
14,GBPNZD.i,SHORT,2026.06.23 16:23:00,2026.06.23 17:04:00,AGAINST,UP,0.01359,1,2.32824,2.32688,2.32823,2.32824,2.32824,2.32823,2.32824,2.32824,2.32688,2.32705,2.32688,MT5_ORDER_FILL,0.100000,-0.019130,0.101538,41.00,tp
