basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPUSD.i,SHORT,2026.01.12 10:13:00,2026.01.12 12:22:00,AGAINST,UP,0.00708,3,1.34568,1.34497,1.34501,1.34499,1.34499,1.34641,1.34628,1.34628,1.34497,1.34487,1.34497,MT5_ORDER_FILL,0.300000,-0.525275,0.351596,129.00,tp
2,GBPUSD.i,SHORT,2026.02.12 17:38:00,2026.02.12 18:11:00,AGAINST,UP,0.01015,1,1.36523,1.36422,1.36523,1.36523,1.36523,1.36523,1.36523,1.36523,1.36422,1.36412,1.36422,MT5_ORDER_FILL,0.100000,-0.066036,0.111374,33.00,tp
3,GBPUSD.i,SHORT,2026.04.01 15:37:00,2026.04.01 16:02:00,AGAINST,UP,0.01250,3,1.33110,1.32985,1.32978,1.32977,1.32977,1.33227,1.33177,1.33177,1.32985,1.33006,1.32985,MT5_ORDER_FILL,0.300000,-0.371319,0.312900,25.00,tp
4,GBPUSD.i,LONG,2026.04.17 10:15:00,2026.04.17 11:00:00,AGAINST,DOWN,0.00923,1,1.35168,1.35260,1.35175,1.35168,1.35168,1.35175,1.35168,1.35168,1.35260,1.35252,1.35260,MT5_ORDER_FILL,0.100000,-0.072574,0.102903,45.00,tp
5,GBPUSD.i,LONG,2026.04.28 14:00:00,2026.04.28 15:38:00,AGAINST,DOWN,0.00713,4,1.34758,1.34829,1.34869,1.34869,1.34869,1.34655,1.34640,1.34640,1.34829,1.34824,1.34829,MT5_ORDER_FILL,0.400000,-0.717891,0.437465,98.00,tp
6,GBPUSD.i,LONG,2026.05.04 13:35:00,2026.05.04 15:18:00,AGAINST,DOWN,0.00804,3,1.35485,1.35566,1.35567,1.35569,1.35569,1.35408,1.35399,1.35399,1.35566,1.35562,1.35566,MT5_ORDER_FILL,0.300000,-0.534892,0.368205,103.00,tp
7,GBPUSD.i,LONG,2026.05.15 19:36:00,2026.05.15 20:26:00,AGAINST,DOWN,0.00940,1,1.33284,1.33378,1.33283,1.33284,1.33284,1.33283,1.33284,1.33284,1.33378,1.33373,1.33378,MT5_ORDER_FILL,0.100000,-0.040443,0.105364,50.00,tp
8,GBPUSD.i,LONG,2026.06.04 01:00:00,2026.06.04 01:56:00,AGAINST,DOWN,0.00607,1,1.34153,1.34214,1.34153,1.34153,1.34153,1.34153,1.34153,1.34153,1.34214,1.34216,1.34214,MT5_ORDER_FILL,0.100000,-0.064282,0.108785,56.00,tp
9,GBPUSD.i,LONG,2026.06.18 13:13:00,2026.06.18 15:12:00,AGAINST,DOWN,0.00850,4,1.32221,1.32305,1.32348,1.32348,1.32348,1.32093,1.32099,1.32099,1.32305,1.32331,1.32305,MT5_ORDER_FILL,0.400000,-0.793128,0.534243,119.00,tp
10,GBPUSD.i,LONG,2026.06.19 00:09:00,2026.06.19 08:54:00,AGAINST,DOWN,0.00930,6,1.31877,1.31970,1.32057,1.32111,1.32111,1.31646,1.31630,1.31630,1.31970,1.31989,1.31970,MT5_ORDER_FILL,0.600000,-1.602840,0.753012,525.00,tp
