time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.02 14:06:00,GBPUSD.i,BUY_BLOCKED_DAVID,LONG,1.34485,,,,MT5_ORDER_FILL,,0.00734,1.34488,7.8264,AGAINST,UP,,1.34405,0,,0.000000,0.000000,david_blocked
2026.01.12 10:13:00,GBPUSD.i,SELL_SIGNAL,SHORT,1.34501,,,,MT5_ORDER_FILL,,0.00708,1.34488,91.9430,AGAINST,UP,,1.34487,0,,0.000000,0.000000,signal
2026.01.12 10:13:00,GBPUSD.i,ENTRY,SHORT,1.34499,1.34501,1.34499,1.34499,MT5_ORDER_FILL,-0.00002,0.00708,1.34488,,AGAINST,UP,,1.34487,1,1.34499,0.000000,0.000000,entry
2026.01.12 10:47:00,GBPUSD.i,GRID_ADD,SHORT,1.34577,1.34570,1.34577,1.34577,MT5_ORDER_FILL,0.00007,0.00708,1.34488,,AGAINST,UP,,1.34516,2,1.34538,-0.110138,0.000000,grid_add
2026.01.12 11:16:00,GBPUSD.i,GRID_ADD,SHORT,1.34628,1.34641,1.34628,1.34628,MT5_ORDER_FILL,-0.00013,0.00708,1.34488,,AGAINST,UP,,1.34577,3,1.34568,-0.254165,0.000000,grid_add
2026.01.12 12:22:00,GBPUSD.i,EXIT,SHORT,1.34497,1.34497,1.34487,1.34497,MT5_ORDER_FILL,-0.00010,0.00708,1.34488,,AGAINST,UP,,1.34549,3,1.34568,0.300000,0.300000,tp
2026.02.02 02:00:00,GBPUSD.i,BUY_BLOCKED_DAVID,LONG,1.36856,,,,MT5_ORDER_FILL,,0.01115,1.37538,7.2734,AGAINST,UP,,1.36803,0,,0.000000,0.300000,david_blocked
2026.02.11 03:00:00,GBPUSD.i,BUY_BLOCKED_DAVID,LONG,1.36426,,,,MT5_ORDER_FILL,,0.01009,1.36522,6.4441,AGAINST,UP,,1.36400,0,,0.000000,0.300000,david_blocked
2026.02.12 17:38:00,GBPUSD.i,SELL_SIGNAL,SHORT,1.36523,,,,MT5_ORDER_FILL,,0.01015,1.36522,91.6328,AGAINST,UP,,1.36634,0,,0.000000,0.300000,signal
2026.02.12 17:38:00,GBPUSD.i,ENTRY,SHORT,1.36523,1.36523,1.36523,1.36523,MT5_ORDER_FILL,0.00000,0.01015,1.36522,,AGAINST,UP,,1.36634,1,1.36523,0.000000,0.300000,entry
2026.02.12 18:11:00,GBPUSD.i,EXIT,SHORT,1.36422,1.36422,1.36412,1.36422,MT5_ORDER_FILL,-0.00010,0.01015,1.36522,,AGAINST,UP,,1.36526,1,1.36523,0.100000,0.400000,tp
2026.02.13 09:43:00,GBPUSD.i,BUY_BLOCKED_DAVID,LONG,1.36081,,,,MT5_ORDER_FILL,,0.00976,1.36409,6.7438,AGAINST,UP,,1.35992,0,,0.000000,0.400000,david_blocked
2026.02.17 01:01:00,GBPUSD.i,BUY_BLOCKED_DAVID,LONG,1.36281,,,,MT5_ORDER_FILL,,0.00854,1.36296,8.7912,AGAINST,UP,,1.36273,0,,0.000000,0.400000,david_blocked
2026.03.16 00:32:00,GBPUSD.i,BUY_BLOCKED_DAVID,LONG,1.32336,,,,MT5_ORDER_FILL,,0.01128,1.33132,4.5292,AGAINST,UP,,1.32327,0,,0.000000,0.400000,david_blocked
2026.03.16 00:54:00,GBPUSD.i,BUY_BLOCKED_DAVID,LONG,1.32320,,,,MT5_ORDER_FILL,,0.01128,1.33019,6.3040,AGAINST,UP,,1.32293,0,,0.000000,0.400000,david_blocked
2026.03.31 03:38:00,GBPUSD.i,BUY_BLOCKED_DAVID,LONG,1.31793,,,,MT5_ORDER_FILL,,0.01236,1.32680,2.4155,AGAINST,UP,,1.31655,0,,0.000000,0.400000,david_blocked
2026.04.01 15:37:00,GBPUSD.i,SELL_SIGNAL,SHORT,1.32978,,,,MT5_ORDER_FILL,,0.01250,1.32342,92.2937,AGAINST,UP,,1.33089,0,,0.000000,0.400000,signal
2026.04.01 15:37:00,GBPUSD.i,ENTRY,SHORT,1.32977,1.32978,1.32977,1.32977,MT5_ORDER_FILL,-0.00001,0.01250,1.32342,,AGAINST,UP,,1.33089,1,1.32977,0.000000,0.400000,entry
2026.04.01 15:44:00,GBPUSD.i,GRID_ADD,SHORT,1.33177,1.33102,1.33177,1.33177,MT5_ORDER_FILL,0.00075,0.01250,1.32342,,AGAINST,UP,,1.33066,2,1.33077,-0.160051,0.400000,grid_add
2026.04.01 15:44:00,GBPUSD.i,GRID_ADD,SHORT,1.33177,1.33227,1.33177,1.33177,MT5_ORDER_FILL,-0.00050,0.01250,1.32342,,AGAINST,UP,,1.33066,3,1.33110,-0.160051,0.400000,grid_add
2026.04.01 16:02:00,GBPUSD.i,EXIT,SHORT,1.32985,1.32985,1.33006,1.32985,MT5_ORDER_FILL,0.00021,0.01250,1.32342,,AGAINST,UP,,1.33067,3,1.33110,0.300000,0.700000,tp
