basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,NZDCHF.i,SHORT,2026.01.05 12:41:00,2026.01.05 13:48:00,AGAINST,UP,0.00277,1,0.45799,0.45771,0.45798,0.45799,0.45799,0.45798,0.45799,0.45799,0.45771,0.45774,0.45771,MT5_ORDER_FILL,0.100000,-0.050505,0.101010,67.00,tp
2,NZDCHF.i,SHORT,2026.01.07 14:15:00,2026.01.07 15:01:00,AGAINST,UP,0.00316,1,0.46089,0.46057,0.46089,0.46089,0.46089,0.46089,0.46089,0.46089,0.46057,0.46058,0.46057,MT5_ORDER_FILL,0.100000,-0.037963,0.104397,46.00,tp
3,NZDCHF.i,SHORT,2026.01.15 11:51:00,2026.01.15 15:01:00,AGAINST,UP,0.00297,2,0.46037,0.46007,0.46022,0.46022,0.46022,0.46052,0.46052,0.46052,0.46007,0.46010,0.46007,MT5_ORDER_FILL,0.200000,-0.107817,0.208895,190.00,tp
4,NZDCHF.i,SHORT,2026.02.02 12:58:00,2026.02.02 13:57:00,AGAINST,UP,0.00458,1,0.46693,0.46647,0.46692,0.46693,0.46693,0.46692,0.46693,0.46693,0.46647,0.46648,0.46647,MT5_ORDER_FILL,0.100000,-0.037118,0.102620,59.00,tp
5,NZDCHF.i,SHORT,2026.02.09 02:24:00,2026.02.09 02:53:00,AGAINST,UP,0.00489,1,0.46728,0.46679,0.46724,0.46728,0.46728,0.46724,0.46728,0.46728,0.46679,0.46677,0.46679,MT5_ORDER_FILL,0.100000,-0.045036,0.110542,29.00,tp
6,NZDCHF.i,SHORT,2026.02.26 09:07:00,2026.02.26 09:25:00,AGAINST,UP,0.00357,1,0.46331,0.46295,0.46330,0.46331,0.46331,0.46330,0.46331,0.46331,0.46295,0.46302,0.46295,MT5_ORDER_FILL,0.100000,-0.011211,0.100897,18.00,tp
7,NZDCHF.i,SHORT,2026.03.03 03:56:00,2026.03.03 07:36:00,AGAINST,UP,0.00402,3,0.46363,0.46322,0.46319,0.46319,0.46319,0.46399,0.46403,0.46403,0.46322,0.46323,0.46322,MT5_ORDER_FILL,0.300000,-0.352883,0.325547,220.00,tp
8,NZDCHF.i,SHORT,2026.03.03 07:36:00,2026.03.03 08:47:00,AGAINST,UP,0.00402,1,0.46321,0.46281,0.46321,0.46321,0.46321,0.46321,0.46321,0.46321,0.46281,0.46292,0.46281,MT5_ORDER_FILL,0.100000,-0.009940,0.104374,71.00,tp
9,NZDCHF.i,SHORT,2026.03.18 20:59:00,2026.03.18 21:00:00,AGAINST,UP,0.00426,1,0.46111,0.46068,0.46111,0.46111,0.46111,0.46111,0.46111,0.46111,0.46068,0.46169,0.46068,MT5_ORDER_FILL,0.100000,-0.152439,0.166510,1.00,tp
10,NZDCHF.i,LONG,2026.05.18 00:13:00,2026.05.18 15:43:00,AGAINST,DOWN,0.00318,8,0.46073,0.46105,0.45922,0.46083,0.46083,0.45861,0.46049,0.46049,0.46105,0.46108,0.46105,MT5_ORDER_FILL,0.800000,-5.461127,0.909663,930.00,tp
11,NZDCHF.i,LONG,2026.05.26 09:14:00,2026.05.26 09:36:00,AGAINST,DOWN,0.00268,1,0.45862,0.45889,0.45861,0.45862,0.45862,0.45861,0.45862,0.45862,0.45889,0.45891,0.45889,MT5_ORDER_FILL,0.100000,-0.055970,0.119403,22.00,tp
12,NZDCHF.i,LONG,2026.06.04 00:51:00,2026.06.08 05:48:00,AGAINST,DOWN,0.00306,19,0.46227,0.46258,0.46395,0.46447,0.46447,0.45897,0.46048,0.46048,0.46258,0.46255,0.46258,MT5_ORDER_FILL,1.900000,-21.161269,1.959437,6057.00,tp
13,NZDCHF.i,LONG,2026.06.11 15:26:00,2026.06.11 16:59:00,AGAINST,DOWN,0.00304,3,0.46211,0.46241,0.46228,0.46230,0.46230,0.46169,0.46221,0.46221,0.46241,0.46234,0.46241,MT5_ORDER_FILL,0.300000,-0.441225,0.319394,93.00,tp
14,NZDCHF.i,LONG,2026.06.16 00:05:00,2026.06.16 12:41:00,AGAINST,DOWN,0.00285,7,0.46302,0.46331,0.46257,0.46320,0.46320,0.46149,0.46152,0.46152,0.46331,0.46328,0.46331,MT5_ORDER_FILL,0.700000,-4.442887,0.707779,756.00,tp
15,NZDCHF.i,LONG,2026.06.24 14:00:00,2026.06.24 14:30:00,AGAINST,DOWN,0.00261,1,0.45793,0.45819,0.45791,0.45793,0.45793,0.45791,0.45793,0.45793,0.45819,0.45820,0.45819,MT5_ORDER_FILL,0.100000,-0.011507,0.115075,30.00,tp
16,NZDCHF.i,LONG,2026.07.02 15:08:00,2026.07.02 15:30:00,AGAINST,DOWN,0.00237,1,0.45767,0.45791,0.45765,0.45767,0.45767,0.45765,0.45767,0.45767,0.45791,0.45802,0.45791,MT5_ORDER_FILL,0.100000,-0.346284,0.173142,22.00,tp
17,NZDCHF.i,LONG,2026.07.02 15:30:00,2026.07.02 16:34:00,AGAINST,DOWN,0.00237,2,0.45789,0.45813,0.45801,0.45805,0.45805,0.45781,0.45773,0.45773,0.45813,0.45813,0.45813,MT5_ORDER_FILL,0.200000,-0.219595,0.211149,64.00,tp
