basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,USDCHF.i,SHORT,2026.01.13 15:30:00,2026.01.13 15:32:00,AGAINST,UP,0.00460,1,0.79798,0.79752,0.79801,0.79798,0.79798,0.79801,0.79798,0.79798,0.79752,0.79743,0.79752,MT5_ORDER_FILL,0.100000,-0.099978,0.123886,2.00,tp
2,USDCHF.i,SHORT,2026.01.15 10:04:00,2026.01.15 11:35:00,AGAINST,UP,0.00461,1,0.80140,0.80094,0.80140,0.80140,0.80140,0.80140,0.80140,0.80140,0.80094,0.80086,0.80094,MT5_ORDER_FILL,0.100000,-0.067260,0.119332,91.00,tp
3,USDCHF.i,SHORT,2026.02.02 02:01:00,2026.02.02 02:11:00,AGAINST,UP,0.00979,1,0.77289,0.77191,0.77290,0.77289,0.77289,0.77290,0.77289,0.77289,0.77191,0.77182,0.77191,MT5_ORDER_FILL,0.100000,-0.012257,0.111338,10.00,tp
4,USDCHF.i,SHORT,2026.02.16 15:45:00,2026.02.16 16:06:00,AGAINST,UP,0.00640,1,0.76992,0.76928,0.76991,0.76992,0.76992,0.76991,0.76992,0.76992,0.76928,0.76932,0.76928,MT5_ORDER_FILL,0.100000,-0.009378,0.106283,21.00,tp
5,USDCHF.i,SHORT,2026.03.13 19:18:00,2026.03.16 00:03:00,AGAINST,UP,0.00718,4,0.79053,0.78981,0.78944,0.78944,0.78944,0.79159,0.79162,0.79162,0.78981,0.79176,0.78981,MT5_ORDER_FILL,0.400000,-0.643185,0.409300,3165.00,tp
6,USDCHF.i,SHORT,2026.03.27 15:24:00,2026.03.27 16:08:00,AGAINST,UP,0.00710,1,0.79756,0.79685,0.79756,0.79756,0.79756,0.79756,0.79756,0.79756,0.79685,0.79681,0.79685,MT5_ORDER_FILL,0.100000,-0.047860,0.118243,44.00,tp
7,USDCHF.i,SHORT,2026.05.12 09:01:00,2026.05.22 19:54:00,AGAINST,UP,0.00580,21,0.78487,0.78429,0.77904,0.77904,0.77904,0.79064,0.79058,0.79058,0.78429,0.78433,0.78429,MT5_ORDER_FILL,2.100000,-20.970355,2.230265,15053.00,tp
8,USDCHF.i,SHORT,2026.06.11 20:28:00,2026.06.11 20:29:00,AGAINST,UP,0.00601,1,0.80030,0.79970,0.80023,0.80030,0.80030,0.80023,0.80030,0.80030,0.79970,0.79966,0.79970,MT5_ORDER_FILL,0.100000,-0.028305,0.108225,1.00,tp
9,USDCHF.i,SHORT,2026.06.18 13:19:00,2026.06.18 15:21:00,AGAINST,UP,0.00576,4,0.80365,0.80308,0.80276,0.80276,0.80276,0.80449,0.80451,0.80451,0.80308,0.80305,0.80308,MT5_ORDER_FILL,0.400000,-0.908617,0.550730,122.00,tp
10,USDCHF.i,SHORT,2026.06.22 03:12:00,2026.06.22 04:04:00,AGAINST,UP,0.00567,1,0.80804,0.80747,0.80804,0.80804,0.80804,0.80804,0.80804,0.80804,0.80747,0.80746,0.80747,MT5_ORDER_FILL,0.100000,-0.093524,0.107641,52.00,tp
11,USDCHF.i,SHORT,2026.06.22 08:29:00,2026.06.22 12:01:00,AGAINST,UP,0.00567,2,0.80830,0.80773,0.80803,0.80803,0.80803,0.80860,0.80857,0.80857,0.80773,0.80778,0.80773,MT5_ORDER_FILL,0.200000,-0.303512,0.222340,212.00,tp
12,USDCHF.i,SHORT,2026.06.24 14:35:00,2026.06.24 16:30:00,AGAINST,UP,0.00528,4,0.81293,0.81240,0.81218,0.81218,0.81218,0.81376,0.81368,0.81368,0.81240,0.81248,0.81240,MT5_ORDER_FILL,0.400000,-0.759038,0.475109,115.00,tp
13,USDCHF.i,SHORT,2026.06.25 15:30:00,2026.06.25 15:36:00,AGAINST,UP,0.00540,2,0.81239,0.81185,0.81206,0.81209,0.81209,0.81263,0.81269,0.81269,0.81185,0.81186,0.81185,MT5_ORDER_FILL,0.200000,-0.226052,0.214934,6.00,tp
14,USDCHF.i,SHORT,2026.07.01 16:27:00,2026.07.01 16:30:00,AGAINST,UP,0.00520,1,0.81045,0.80993,0.81046,0.81045,0.81045,0.81046,0.81045,0.81045,0.80993,0.81038,0.80993,MT5_ORDER_FILL,0.100000,-0.088428,0.101884,3.00,tp
