time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.13 15:30:00,USDCHF.i,SELL_SIGNAL,SHORT,0.79801,,,,MT5_ORDER_FILL,,0.00460,0.79739,93.6103,AGAINST,UP,,0.79892,0,,0.000000,0.000000,signal
2026.01.13 15:30:00,USDCHF.i,ENTRY,SHORT,0.79798,0.79801,0.79798,0.79798,MT5_ORDER_FILL,-0.00003,0.00460,0.79739,,AGAINST,UP,,0.79892,1,0.79798,0.000000,0.000000,entry
2026.01.13 15:32:00,USDCHF.i,EXIT,SHORT,0.79752,0.79752,0.79743,0.79752,MT5_ORDER_FILL,-0.00009,0.00460,0.79739,,AGAINST,UP,,0.79888,1,0.79798,0.100000,0.100000,tp
2026.01.15 10:04:00,USDCHF.i,SELL_SIGNAL,SHORT,0.80140,,,,MT5_ORDER_FILL,,0.00461,0.79906,90.2993,AGAINST,UP,,0.80122,0,,0.000000,0.100000,signal
2026.01.15 10:04:00,USDCHF.i,ENTRY,SHORT,0.80140,0.80140,0.80140,0.80140,MT5_ORDER_FILL,0.00000,0.00461,0.79906,,AGAINST,UP,,0.80122,1,0.80140,0.000000,0.100000,entry
2026.01.15 11:35:00,USDCHF.i,EXIT,SHORT,0.80094,0.80094,0.80086,0.80094,MT5_ORDER_FILL,-0.00008,0.00461,0.79906,,AGAINST,UP,,0.80127,1,0.80140,0.100000,0.200000,tp
2026.01.30 02:21:00,USDCHF.i,BUY_BLOCKED_DAVID,LONG,0.76594,,,,MT5_ORDER_FILL,,0.00917,0.76806,7.5647,AGAINST,UP,,0.76443,0,,0.000000,0.200000,david_blocked
2026.02.02 02:01:00,USDCHF.i,SELL_SIGNAL,SHORT,0.77290,,,,MT5_ORDER_FILL,,0.00979,0.76806,90.3917,AGAINST,UP,,0.77353,0,,0.000000,0.200000,signal
2026.02.02 02:01:00,USDCHF.i,ENTRY,SHORT,0.77289,0.77290,0.77289,0.77289,MT5_ORDER_FILL,-0.00001,0.00979,0.76806,,AGAINST,UP,,0.77353,1,0.77289,0.000000,0.200000,entry
2026.02.02 02:11:00,USDCHF.i,EXIT,SHORT,0.77191,0.77191,0.77182,0.77191,MT5_ORDER_FILL,-0.00009,0.00979,0.76806,,AGAINST,UP,,0.77309,1,0.77289,0.100000,0.300000,tp
