basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,USDJPY.i,SHORT,2026.01.30 17:55:00,2026.01.30 20:52:00,AGAINST,UP,1.545,3,154.472,154.318,154.322,154.319,154.319,154.628,154.620,154.620,154.318,154.332,154.318,MT5_ORDER_FILL,0.300000,-0.315210,0.355987,177.00,tp
2,USDJPY.i,SHORT,2026.02.09 00:06:00,2026.02.09 00:07:00,AGAINST,UP,1.435,1,157.016,156.872,157.024,157.016,157.016,157.024,157.016,157.016,156.872,157.199,156.872,MT5_ORDER_FILL,0.100000,-0.074549,0.119836,1.00,tp
3,USDJPY.i,SHORT,2026.02.09 00:13:00,2026.02.09 01:49:00,AGAINST,UP,1.435,5,157.365,157.222,157.051,157.076,157.076,157.650,157.654,157.654,157.222,157.171,157.222,MT5_ORDER_FILL,0.500000,-1.022783,0.742702,96.00,tp
4,USDJPY.i,SHORT,2026.03.03 13:50:00,2026.03.03 14:11:00,AGAINST,UP,1.215,1,157.757,157.636,157.758,157.757,157.757,157.758,157.757,157.757,157.636,157.609,157.636,MT5_ORDER_FILL,0.100000,-0.015639,0.126759,21.00,tp
5,USDJPY.i,SHORT,2026.03.06 14:39:00,2026.03.06 15:30:00,AGAINST,UP,1.155,2,157.950,157.834,157.889,157.889,157.889,158.005,158.010,158.010,157.834,157.523,157.834,MT5_ORDER_FILL,0.200000,-0.113390,0.970311,51.00,tp
6,USDJPY.i,SHORT,2026.03.11 03:13:00,2026.03.11 09:25:00,AGAINST,UP,1.066,4,158.132,158.025,157.973,157.973,157.973,158.293,158.267,158.267,158.025,158.023,158.025,MT5_ORDER_FILL,0.400000,-0.983576,0.420460,372.00,tp
7,USDJPY.i,SHORT,2026.03.11 17:00:00,2026.03.12 11:10:00,AGAINST,UP,1.066,9,158.815,158.709,158.382,158.384,158.384,159.236,159.206,159.206,158.709,158.708,158.709,MT5_ORDER_FILL,0.900000,-3.539183,0.924449,1090.00,tp
8,USDJPY.i,SHORT,2026.03.12 19:19:00,2026.03.12 20:06:00,AGAINST,UP,1.029,1,159.218,159.115,159.225,159.218,159.218,159.225,159.218,159.218,159.115,159.116,159.115,MT5_ORDER_FILL,0.100000,-0.058292,0.100068,47.00,tp
9,USDJPY.i,LONG,2026.04.14 13:26:00,2026.04.14 16:30:00,AGAINST,DOWN,0.843,3,158.781,158.865,158.862,158.863,158.863,158.694,158.715,158.715,158.865,158.873,158.865,MT5_ORDER_FILL,0.300000,-0.370107,0.416370,184.00,tp
10,USDJPY.i,LONG,2026.04.14 16:30:00,2026.04.14 18:16:00,AGAINST,DOWN,0.843,4,158.749,158.833,158.872,158.874,158.874,158.621,158.628,158.628,158.833,158.838,158.833,MT5_ORDER_FILL,0.400000,-0.691578,0.428233,106.00,tp
