time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.19 02:11:00,USDJPY.i,BUY_BLOCKED_DAVID,LONG,157.858,,,,MT5_ORDER_FILL,,0.932,158.312,7.9765,AGAINST,UP,,157.637,0,,0.000000,0.000000,david_blocked
2026.01.30 17:55:00,USDJPY.i,SELL_SIGNAL,SHORT,154.322,,,,MT5_ORDER_FILL,,1.545,153.716,94.9477,AGAINST,UP,,154.542,0,,0.000000,0.000000,signal
2026.01.30 17:55:00,USDJPY.i,ENTRY,SHORT,154.319,154.322,154.319,154.319,MT5_ORDER_FILL,-0.003,1.545,153.716,,AGAINST,UP,,154.542,1,154.319,0.000000,0.000000,entry
2026.01.30 19:14:00,USDJPY.i,GRID_ADD,SHORT,154.478,154.474,154.478,154.478,MT5_ORDER_FILL,0.005,1.545,153.843,,AGAINST,UP,,154.374,2,154.399,-0.102913,0.000000,grid_add
2026.01.30 20:30:00,USDJPY.i,GRID_ADD,SHORT,154.620,154.628,154.620,154.620,MT5_ORDER_FILL,-0.008,1.545,153.843,,AGAINST,UP,,154.548,3,154.472,-0.286731,0.000000,grid_add
2026.01.30 20:52:00,USDJPY.i,EXIT,SHORT,154.318,154.318,154.332,154.318,MT5_ORDER_FILL,0.014,1.545,153.843,,AGAINST,UP,,154.544,3,154.472,0.300000,0.300000,tp
2026.02.09 00:06:00,USDJPY.i,SELL_SIGNAL,SHORT,157.024,,,,MT5_ORDER_FILL,,1.435,156.907,94.2747,AGAINST,UP,,157.239,0,,0.000000,0.300000,signal
2026.02.09 00:06:00,USDJPY.i,ENTRY,SHORT,157.016,157.024,157.016,157.016,MT5_ORDER_FILL,-0.008,1.435,156.907,,AGAINST,UP,,157.239,1,157.016,0.000000,0.300000,entry
2026.02.09 00:07:00,USDJPY.i,EXIT,SHORT,156.872,156.872,157.199,156.872,MT5_ORDER_FILL,0.327,1.435,156.907,,AGAINST,UP,,157.239,1,157.016,0.100000,0.400000,tp
2026.02.09 00:13:00,USDJPY.i,SELL_SIGNAL,SHORT,157.051,,,,MT5_ORDER_FILL,,1.435,156.907,90.1980,AGAINST,UP,,157.206,0,,0.000000,0.400000,signal
2026.02.09 00:13:00,USDJPY.i,ENTRY,SHORT,157.076,157.051,157.076,157.076,MT5_ORDER_FILL,0.025,1.435,156.907,,AGAINST,UP,,157.206,1,157.076,0.000000,0.400000,entry
2026.02.09 00:27:00,USDJPY.i,GRID_ADD,SHORT,157.224,157.220,157.224,157.224,MT5_ORDER_FILL,0.004,1.435,156.907,,AGAINST,UP,,157.153,2,157.150,-0.103114,0.400000,grid_add
