basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,AUDJPY.i,SHORT,2026.01.06 02:55:00,2026.01.06 03:09:00,OFF,UNKNOWN,0.737,1,105.064,104.990,105.064,105.064,105.064,105.064,105.064,105.064,104.990,104.986,104.990,MT5_ORDER_FILL,0.100000,-0.023063,0.126170,14.00,tp
2,AUDJPY.i,SHORT,2026.01.12 16:42:00,2026.01.13 00:05:00,OFF,UNKNOWN,0.689,5,106.104,106.035,105.964,105.965,105.965,106.241,106.232,106.232,106.035,106.174,106.035,MT5_ORDER_FILL,0.500000,-1.270670,0.890630,443.00,tp
3,AUDJPY.i,SHORT,2026.01.20 02:18:00,2026.01.20 02:26:00,OFF,UNKNOWN,0.812,1,106.134,106.053,106.134,106.134,106.134,106.134,106.134,106.134,106.053,106.061,106.053,MT5_ORDER_FILL,0.100000,0.000000,0.100973,8.00,tp
4,AUDJPY.i,SHORT,2026.01.23 09:43:00,2026.01.23 09:44:00,OFF,UNKNOWN,0.917,1,108.259,108.167,108.236,108.259,108.259,108.236,108.259,108.259,108.167,107.855,108.167,MT5_ORDER_FILL,0.100000,-0.026181,0.598887,1.00,tp
5,AUDJPY.i,SHORT,2026.02.09 00:06:00,2026.02.09 02:10:00,OFF,UNKNOWN,1.486,5,110.409,110.260,110.115,110.109,110.109,110.704,110.759,110.759,110.260,110.274,110.260,MT5_ORDER_FILL,0.500000,-1.262868,0.573908,124.00,tp
6,AUDJPY.i,SHORT,2026.03.03 01:16:00,2026.03.03 02:00:00,OFF,UNKNOWN,1.153,2,111.732,111.617,111.669,111.669,111.669,111.784,111.795,111.795,111.617,111.632,111.617,MT5_ORDER_FILL,0.200000,-0.114524,0.218636,44.00,tp
7,AUDJPY.i,SHORT,2026.03.03 02:00:00,2026.03.03 03:58:00,OFF,UNKNOWN,1.153,5,111.847,111.732,111.624,111.624,111.624,112.085,112.052,112.052,111.732,111.729,111.732,MT5_ORDER_FILL,0.500000,-1.031581,0.547458,118.00,tp
8,AUDJPY.i,SHORT,2026.03.03 03:59:00,2026.03.03 04:02:00,OFF,UNKNOWN,1.153,1,111.677,111.562,111.677,111.677,111.677,111.677,111.677,111.677,111.562,111.606,111.562,MT5_ORDER_FILL,0.100000,-0.004338,0.116259,3.00,tp
9,AUDJPY.i,LONG,2026.03.03 16:07:00,2026.03.03 17:35:00,OFF,UNKNOWN,1.153,11,110.166,110.281,110.730,110.735,110.735,109.582,109.586,109.586,110.281,110.283,110.281,MT5_ORDER_FILL,1.100000,-6.104459,1.330036,88.00,tp
10,AUDJPY.i,SHORT,2026.03.09 17:05:00,2026.03.10 04:37:00,OFF,UNKNOWN,1.365,4,111.463,111.326,111.268,111.247,111.247,111.656,111.678,111.678,111.326,111.329,111.326,MT5_ORDER_FILL,0.400000,-0.842491,0.461538,692.00,tp
