basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,AUDNZD.i,SHORT,2026.01.15 08:50:00,2026.01.15 15:30:00,OFF,UNKNOWN,0.00568,3,1.16484,1.16427,1.16426,1.16426,1.16426,1.16540,1.16541,1.16541,1.16427,1.16500,1.16427,MT5_ORDER_FILL,0.300000,-0.480549,0.316846,400.00,tp
2,AUDNZD.i,SHORT,2026.02.06 14:48:00,2026.02.06 16:25:00,OFF,UNKNOWN,0.00663,2,1.16546,1.16479,1.16513,1.16511,1.16511,1.16577,1.16580,1.16580,1.16479,1.16484,1.16479,MT5_ORDER_FILL,0.200000,-0.191698,0.212830,97.00,tp
3,AUDNZD.i,SHORT,2026.02.11 17:30:00,2026.02.12 00:25:00,OFF,UNKNOWN,0.00629,6,1.17688,1.17625,1.17531,1.17528,1.17528,1.17843,1.17855,1.17855,1.17625,1.17829,1.17625,MT5_ORDER_FILL,0.600000,-1.878277,1.268076,415.00,tp
4,AUDNZD.i,SHORT,2026.02.24 10:04:00,2026.02.24 10:43:00,OFF,UNKNOWN,0.00635,1,1.18495,1.18432,1.18494,1.18495,1.18495,1.18494,1.18495,1.18495,1.18432,1.18434,1.18432,MT5_ORDER_FILL,0.100000,-0.022051,0.105528,39.00,tp
5,AUDNZD.i,SHORT,2026.03.03 00:52:00,2026.03.03 00:53:00,OFF,UNKNOWN,0.00622,1,1.19297,1.19235,1.19296,1.19297,1.19297,1.19296,1.19297,1.19297,1.19235,1.19333,1.19235,MT5_ORDER_FILL,0.100000,-0.035341,0.131727,1.00,tp
6,AUDNZD.i,SHORT,2026.03.10 13:36:00,2026.03.10 13:58:00,OFF,UNKNOWN,0.00675,1,1.19844,1.19776,1.19844,1.19844,1.19844,1.19844,1.19844,1.19844,1.19776,1.19775,1.19776,MT5_ORDER_FILL,0.100000,-0.020732,0.111062,22.00,tp
7,AUDNZD.i,SHORT,2026.03.13 06:30:00,2026.03.13 09:52:00,OFF,UNKNOWN,0.00809,4,1.21067,1.20986,1.20949,1.20949,1.20949,1.21192,1.21185,1.21185,1.20986,1.20992,1.20986,MT5_ORDER_FILL,0.400000,-0.665430,0.403216,202.00,tp
8,AUDNZD.i,SHORT,2026.03.17 06:31:00,2026.03.17 06:40:00,OFF,UNKNOWN,0.00748,3,1.20788,1.20713,1.20724,1.20726,1.20726,1.20876,1.20803,1.20803,1.20713,1.20740,1.20713,MT5_ORDER_FILL,0.300000,-0.319647,0.300923,9.00,tp
9,AUDNZD.i,LONG,2026.03.26 01:00:00,2026.03.26 01:33:00,OFF,UNKNOWN,0.00638,2,1.19650,1.19714,1.19621,1.19672,1.19672,1.19608,1.19628,1.19628,1.19714,1.19709,1.19714,MT5_ORDER_FILL,0.200000,-0.144291,0.200753,33.00,tp
10,AUDNZD.i,SHORT,2026.04.03 00:10:00,2026.04.03 00:25:00,OFF,UNKNOWN,0.00644,2,1.20738,1.20674,1.20732,1.20732,1.20732,1.20796,1.20745,1.20745,1.20674,1.20841,1.20674,MT5_ORDER_FILL,0.200000,-0.172280,0.237467,15.00,tp
