basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,AUDUSD.i,LONG,2026.01.09 10:55:00,2026.01.09 13:32:00,OFF,UNKNOWN,0.00398,2,0.66808,0.66847,0.66828,0.66830,0.66830,0.66790,0.66785,0.66785,0.66847,0.66847,0.66847,MT5_ORDER_FILL,0.200000,-0.153382,0.203671,157.00,tp
2,AUDUSD.i,SHORT,2026.01.12 15:41:00,2026.01.12 16:09:00,OFF,UNKNOWN,0.00417,2,0.67141,0.67099,0.67119,0.67119,0.67119,0.67161,0.67163,0.67163,0.67099,0.67099,0.67099,MT5_ORDER_FILL,0.200000,-0.119847,0.220518,28.00,tp
3,AUDUSD.i,LONG,2026.01.14 20:52:00,2026.01.14 22:08:00,OFF,UNKNOWN,0.00445,1,0.66789,0.66834,0.66787,0.66789,0.66789,0.66787,0.66789,0.66789,0.66834,0.66828,0.66834,MT5_ORDER_FILL,0.100000,-0.047180,0.105594,76.00,tp
4,AUDUSD.i,SHORT,2026.02.03 04:07:00,2026.02.03 04:41:00,OFF,UNKNOWN,0.00766,1,0.69697,0.69620,0.69697,0.69697,0.69697,0.69697,0.69697,0.69697,0.69620,0.69618,0.69620,MT5_ORDER_FILL,0.100000,-0.030010,0.110908,34.00,tp
5,AUDUSD.i,LONG,2026.03.23 14:05:00,2026.03.23 14:06:00,OFF,UNKNOWN,0.00986,1,0.69835,0.69934,0.69838,0.69835,0.69835,0.69838,0.69835,0.69835,0.69934,0.70184,0.69934,MT5_ORDER_FILL,0.100000,-0.005072,0.447352,1.00,tp
6,AUDUSD.i,LONG,2026.03.26 01:16:00,2026.03.26 06:32:00,OFF,UNKNOWN,0.00972,2,0.69400,0.69497,0.69443,0.69447,0.69447,0.69350,0.69352,0.69352,0.69497,0.69505,0.69497,MT5_ORDER_FILL,0.200000,-0.165587,0.214954,316.00,tp
7,AUDUSD.i,SHORT,2026.04.01 15:48:00,2026.04.01 15:58:00,OFF,UNKNOWN,0.00845,1,0.69460,0.69376,0.69460,0.69460,0.69460,0.69460,0.69460,0.69460,0.69376,0.69374,0.69376,MT5_ORDER_FILL,0.100000,-0.016578,0.107756,10.00,tp
8,AUDUSD.i,SHORT,2026.04.16 04:34:00,2026.04.16 11:17:00,OFF,UNKNOWN,0.00743,5,0.71825,0.71751,0.71676,0.71676,0.71676,0.71973,0.71961,0.71961,0.71751,0.71755,0.71751,MT5_ORDER_FILL,0.500000,-0.983584,0.526103,403.00,tp
9,AUDUSD.i,SHORT,2026.04.29 04:00:00,2026.04.29 04:07:00,OFF,UNKNOWN,0.00545,1,0.71829,0.71775,0.71833,0.71829,0.71829,0.71833,0.71829,0.71829,0.71775,0.71758,0.71775,MT5_ORDER_FILL,0.100000,-0.009178,0.135830,7.00,tp
10,AUDUSD.i,SHORT,2026.05.13 15:16:00,2026.05.13 15:30:00,OFF,UNKNOWN,0.00651,1,0.72473,0.72408,0.72473,0.72473,0.72473,0.72473,0.72473,0.72473,0.72408,0.72375,0.72408,MT5_ORDER_FILL,0.100000,-0.021499,0.176597,14.00,tp
11,AUDUSD.i,LONG,2026.05.19 17:04:00,2026.05.19 19:23:00,OFF,UNKNOWN,0.00596,6,0.70959,0.71019,0.71115,0.71115,0.71115,0.70817,0.70802,0.70802,0.71019,0.71035,0.71019,MT5_ORDER_FILL,0.600000,-1.651838,0.775558,139.00,tp
12,AUDUSD.i,LONG,2026.05.22 14:48:00,2026.05.22 15:13:00,OFF,UNKNOWN,0.00627,1,0.71255,0.71318,0.71254,0.71255,0.71255,0.71254,0.71255,0.71255,0.71318,0.71324,0.71318,MT5_ORDER_FILL,0.100000,-0.094129,0.110083,25.00,tp
13,AUDUSD.i,LONG,2026.05.22 15:13:00,2026.05.22 16:09:00,OFF,UNKNOWN,0.00627,2,0.71307,0.71369,0.71324,0.71326,0.71326,0.71263,0.71287,0.71287,0.71369,0.71394,0.71369,MT5_ORDER_FILL,0.200000,-0.272814,0.317486,56.00,tp
14,AUDUSD.i,SHORT,2026.06.02 10:25:00,2026.06.02 16:08:00,OFF,UNKNOWN,0.00574,2,0.71814,0.71756,0.71785,0.71785,0.71785,0.71842,0.71842,0.71842,0.71756,0.71751,0.71756,MT5_ORDER_FILL,0.200000,-0.179318,0.235028,343.00,tp
15,AUDUSD.i,LONG,2026.06.09 04:00:00,2026.06.09 04:22:00,OFF,UNKNOWN,0.00537,1,0.70456,0.70510,0.70454,0.70456,0.70456,0.70454,0.70456,0.70456,0.70510,0.70520,0.70510,MT5_ORDER_FILL,0.100000,-0.059624,0.121110,22.00,tp
16,AUDUSD.i,LONG,2026.06.11 00:03:00,2026.06.11 04:05:00,OFF,UNKNOWN,0.00568,3,0.69968,0.70024,0.69988,0.70019,0.70019,0.69905,0.69916,0.69916,0.70024,0.70022,0.70024,MT5_ORDER_FILL,0.300000,-0.494631,0.366133,242.00,tp
