basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,CADCHF.i,LONG,2026.01.22 14:36:00,2026.01.22 14:52:00,OFF,UNKNOWN,0.00343,1,0.57385,0.57419,0.57381,0.57385,0.57385,0.57381,0.57385,0.57385,0.57419,0.57421,0.57419,MT5_ORDER_FILL,0.100000,-0.011665,0.104987,16.00,tp
2,CADCHF.i,LONG,2026.01.23 01:04:00,2026.01.23 04:37:00,OFF,UNKNOWN,0.00354,1,0.57253,0.57288,0.57249,0.57253,0.57253,0.57249,0.57253,0.57253,0.57288,0.57295,0.57288,MT5_ORDER_FILL,0.100000,-0.084866,0.118812,213.00,tp
3,CADCHF.i,SHORT,2026.02.20 14:19:00,2026.02.20 14:37:00,OFF,UNKNOWN,0.00324,1,0.56727,0.56695,0.56727,0.56727,0.56727,0.56727,0.56727,0.56727,0.56695,0.56697,0.56695,MT5_ORDER_FILL,0.100000,-0.009268,0.114303,18.00,tp
4,CADCHF.i,SHORT,2026.03.16 11:23:00,2026.03.16 11:48:00,OFF,UNKNOWN,0.00417,1,0.57661,0.57619,0.57661,0.57661,0.57661,0.57661,0.57661,0.57661,0.57619,0.57622,0.57619,MT5_ORDER_FILL,0.100000,-0.026411,0.112845,25.00,tp
5,CADCHF.i,LONG,2026.03.18 00:54:00,2026.03.18 04:57:00,OFF,UNKNOWN,0.00336,2,0.57337,0.57371,0.57280,0.57335,0.57335,0.57301,0.57339,0.57339,0.57371,0.57369,0.57371,MT5_ORDER_FILL,0.200000,-0.350877,0.202200,243.00,tp
6,CADCHF.i,SHORT,2026.03.19 00:14:00,2026.03.19 00:20:00,OFF,UNKNOWN,0.00360,1,0.57687,0.57651,0.57687,0.57687,0.57687,0.57687,0.57687,0.57687,0.57651,0.57801,0.57651,MT5_ORDER_FILL,0.100000,-0.019466,0.122358,6.00,tp
7,CADCHF.i,LONG,2026.03.23 18:46:00,2026.03.23 18:52:00,OFF,UNKNOWN,0.00397,1,0.57333,0.57373,0.57331,0.57333,0.57333,0.57331,0.57333,0.57333,0.57373,0.57369,0.57373,MT5_ORDER_FILL,0.100000,-0.047859,0.108312,6.00,tp
8,CADCHF.i,LONG,2026.03.25 15:24:00,2026.03.25 15:40:00,OFF,UNKNOWN,0.00416,1,0.57227,0.57269,0.57224,0.57227,0.57227,0.57224,0.57227,0.57227,0.57269,0.57272,0.57269,MT5_ORDER_FILL,0.100000,-0.043280,0.108199,16.00,tp
9,CADCHF.i,SHORT,2026.04.07 15:18:00,2026.04.07 18:26:00,OFF,UNKNOWN,0.00344,4,0.57514,0.57479,0.57462,0.57462,0.57462,0.57565,0.57566,0.57566,0.57479,0.57485,0.57479,MT5_ORDER_FILL,0.400000,-0.624637,0.415456,188.00,tp
10,CADCHF.i,LONG,2026.04.10 17:50:00,2026.04.10 17:55:00,OFF,UNKNOWN,0.00368,2,0.57018,0.57054,0.57029,0.57030,0.57030,0.56993,0.57005,0.57005,0.57054,0.57063,0.57054,MT5_ORDER_FILL,0.200000,-0.225299,0.713898,5.00,tp
11,CADCHF.i,SHORT,2026.04.21 12:46:00,2026.04.21 12:55:00,OFF,UNKNOWN,0.00340,1,0.57112,0.57078,0.57112,0.57112,0.57112,0.57112,0.57112,0.57112,0.57078,0.57076,0.57078,MT5_ORDER_FILL,0.100000,-0.005886,0.117716,9.00,tp
12,CADCHF.i,SHORT,2026.05.19 15:30:00,2026.05.20 17:55:00,OFF,UNKNOWN,0.00276,10,0.57314,0.57287,0.57189,0.57189,0.57189,0.57437,0.57436,0.57436,0.57287,0.57283,0.57287,MT5_ORDER_FILL,1.000000,-5.250181,1.421320,1585.00,tp
13,CADCHF.i,LONG,2026.05.22 13:30:00,2026.05.22 13:55:00,OFF,UNKNOWN,0.00284,1,0.56992,0.57020,0.56988,0.56992,0.56992,0.56988,0.56992,0.56992,0.57020,0.57023,0.57020,MT5_ORDER_FILL,0.100000,-0.014104,0.112835,25.00,tp
14,CADCHF.i,SHORT,2026.06.10 14:12:00,2026.06.10 14:22:00,OFF,UNKNOWN,0.00315,1,0.57352,0.57321,0.57352,0.57352,0.57352,0.57352,0.57352,0.57352,0.57321,0.57329,0.57321,MT5_ORDER_FILL,0.100000,-0.038119,0.101652,10.00,tp
15,CADCHF.i,LONG,2026.06.15 17:53:00,2026.06.15 19:07:00,OFF,UNKNOWN,0.00337,1,0.56736,0.56770,0.56732,0.56736,0.56736,0.56732,0.56736,0.56736,0.56770,0.56766,0.56770,MT5_ORDER_FILL,0.100000,-0.047520,0.103950,74.00,tp
