basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,CADJPY.i,LONG,2026.01.05 15:02:00,2026.01.05 16:30:00,OFF,UNKNOWN,0.681,3,113.680,113.748,113.733,113.738,113.738,113.602,113.635,113.635,113.748,113.757,113.748,MT5_ORDER_FILL,0.300000,-0.398003,0.337788,88.00,tp
2,CADJPY.i,LONG,2026.01.05 17:04:00,2026.01.05 17:15:00,OFF,UNKNOWN,0.681,1,113.732,113.800,113.729,113.732,113.732,113.729,113.732,113.732,113.800,113.806,113.800,MT5_ORDER_FILL,0.100000,-0.024967,0.114554,11.00,tp
3,CADJPY.i,LONG,2026.01.16 17:21:00,2026.01.19 07:36:00,OFF,UNKNOWN,0.659,7,113.576,113.642,113.718,113.725,113.725,113.330,113.365,113.365,113.642,113.660,113.642,MT5_ORDER_FILL,0.700000,-3.020644,0.910747,3735.00,tp
4,CADJPY.i,SHORT,2026.01.23 09:43:00,2026.01.23 09:44:00,OFF,UNKNOWN,0.708,1,114.683,114.612,114.644,114.683,114.683,114.644,114.683,114.683,114.612,114.234,114.612,MT5_ORDER_FILL,0.100000,-0.028265,0.819672,1.00,tp
5,CADJPY.i,SHORT,2026.02.03 13:17:00,2026.02.06 01:53:00,OFF,UNKNOWN,1.076,9,114.423,114.315,113.988,113.989,113.989,114.850,114.873,114.873,114.315,114.309,114.315,MT5_ORDER_FILL,0.900000,-4.109449,1.008083,3636.00,tp
6,CADJPY.i,SHORT,2026.02.10 02:55:00,2026.02.10 03:09:00,OFF,UNKNOWN,0.942,1,115.027,114.933,115.026,115.027,115.027,115.026,115.027,115.027,114.933,114.945,114.933,MT5_ORDER_FILL,0.100000,-0.064770,0.108303,14.00,tp
7,CADJPY.i,LONG,2026.02.10 15:23:00,2026.02.19 03:38:00,OFF,UNKNOWN,0.942,28,113.061,113.155,114.342,114.348,114.348,111.805,111.821,111.821,113.155,113.146,113.155,MT5_ORDER_FILL,2.800000,-38.201317,2.945424,12255.00,tp
8,CADJPY.i,SHORT,2026.02.24 07:11:00,2026.02.24 08:20:00,OFF,UNKNOWN,0.960,2,113.285,113.189,113.232,113.232,113.232,113.328,113.338,113.338,113.189,113.194,113.189,MT5_ORDER_FILL,0.200000,-0.110405,0.212478,69.00,tp
9,CADJPY.i,SHORT,2026.03.06 15:30:00,2026.03.06 16:40:00,OFF,UNKNOWN,0.812,4,115.561,115.480,115.436,115.435,115.435,115.679,115.686,115.686,115.480,115.494,115.480,MT5_ORDER_FILL,0.400000,-0.750185,0.407736,70.00,tp
10,CADJPY.i,SHORT,2026.03.12 09:17:00,2026.03.12 09:48:00,OFF,UNKNOWN,0.874,1,117.056,116.969,117.056,117.056,117.056,117.056,117.056,117.056,116.969,116.982,116.969,MT5_ORDER_FILL,0.100000,-0.016026,0.100733,31.00,tp
