basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,CHFJPY.i,SHORT,2026.01.05 03:41:00,2026.01.05 04:11:00,OFF,UNKNOWN,1.079,1,198.132,198.024,198.132,198.132,198.132,198.132,198.132,198.132,198.024,198.029,198.024,MT5_ORDER_FILL,0.100000,-0.010194,0.107497,30.00,tp
2,CHFJPY.i,LONG,2026.01.06 15:00:00,2026.01.06 15:21:00,OFF,UNKNOWN,1.159,1,197.169,197.285,197.161,197.169,197.169,197.161,197.169,197.169,197.285,197.255,197.285,MT5_ORDER_FILL,0.100000,-0.033664,0.113940,21.00,tp
3,CHFJPY.i,SHORT,2026.01.22 09:55:00,2026.01.22 12:18:00,OFF,UNKNOWN,1.402,2,200.019,199.879,199.952,199.951,199.951,200.091,200.087,200.087,199.879,199.893,199.879,MT5_ORDER_FILL,0.200000,-0.109874,0.215468,143.00,tp
4,CHFJPY.i,SHORT,2026.01.28 00:07:00,2026.01.28 02:54:00,OFF,UNKNOWN,1.914,3,199.829,199.638,199.602,199.634,199.634,200.017,199.995,199.995,199.638,199.716,199.638,MT5_ORDER_FILL,0.300000,-0.353765,0.334431,167.00,tp
5,CHFJPY.i,SHORT,2026.01.30 00:37:00,2026.01.30 04:20:00,OFF,UNKNOWN,2.012,4,200.151,199.949,199.848,199.848,199.848,200.452,200.451,200.451,199.949,199.923,199.949,MT5_ORDER_FILL,0.400000,-0.624130,0.549593,223.00,tp
6,CHFJPY.i,SHORT,2026.01.30 14:25:00,2026.01.30 15:01:00,OFF,UNKNOWN,2.012,1,200.573,200.372,200.570,200.573,200.573,200.570,200.573,200.573,200.372,200.392,200.372,MT5_ORDER_FILL,0.100000,-0.033790,0.103359,36.00,tp
7,CHFJPY.i,LONG,2026.02.02 17:01:00,2026.02.02 19:09:00,OFF,UNKNOWN,2.106,2,199.317,199.528,199.395,199.412,199.412,199.201,199.223,199.223,199.528,199.520,199.528,MT5_ORDER_FILL,0.200000,-0.206553,0.209402,128.00,tp
8,CHFJPY.i,SHORT,2026.02.05 11:25:00,2026.02.05 16:58:00,OFF,UNKNOWN,2.081,2,202.163,201.955,202.045,202.051,202.051,202.259,202.275,202.275,201.955,201.980,201.955,MT5_ORDER_FILL,0.200000,-0.160538,0.207642,333.00,tp
9,CHFJPY.i,SHORT,2026.02.09 15:09:00,2026.02.09 16:25:00,OFF,UNKNOWN,1.825,1,202.894,202.712,202.889,202.894,202.894,202.889,202.894,202.894,202.712,202.734,202.712,MT5_ORDER_FILL,0.100000,-0.083288,0.106301,76.00,tp
10,CHFJPY.i,SHORT,2026.02.10 02:54:00,2026.02.10 03:00:00,OFF,UNKNOWN,1.752,1,203.391,203.216,203.375,203.391,203.391,203.375,203.391,203.391,203.216,203.220,203.216,MT5_ORDER_FILL,0.100000,-0.003995,0.118701,6.00,tp
11,CHFJPY.i,SHORT,2026.02.16 10:44:00,2026.02.16 13:47:00,OFF,UNKNOWN,1.939,2,199.488,199.294,199.389,199.389,199.389,199.583,199.587,199.587,199.294,199.282,199.294,MT5_ORDER_FILL,0.200000,-0.229031,0.231095,183.00,tp
12,CHFJPY.i,SHORT,2026.02.18 14:30:00,2026.02.19 13:15:00,OFF,UNKNOWN,1.809,9,200.062,199.881,199.337,199.337,199.337,200.784,200.793,200.793,199.881,199.877,199.881,MT5_ORDER_FILL,0.900000,-4.376555,1.012994,1365.00,tp
