basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,EURJPY.i,SHORT,2026.01.20 15:35:00,2026.01.20 16:00:00,OFF,UNKNOWN,0.986,3,185.261,185.163,185.143,185.143,185.143,185.340,185.359,185.359,185.163,185.163,185.163,MT5_ORDER_FILL,0.300000,-0.376382,0.341889,25.00,tp
2,EURJPY.i,SHORT,2026.01.20 17:57:00,2026.01.21 03:37:00,OFF,UNKNOWN,0.986,4,185.342,185.243,185.201,185.201,185.201,185.497,185.477,185.477,185.243,185.246,185.243,MT5_ORDER_FILL,0.400000,-0.780156,0.437253,580.00,tp
3,EURJPY.i,SHORT,2026.01.22 07:47:00,2026.01.22 11:31:00,OFF,UNKNOWN,1.098,4,185.583,185.473,185.423,185.423,185.423,185.752,185.743,185.743,185.473,185.488,185.473,MT5_ORDER_FILL,0.400000,-0.638608,0.469163,224.00,tp
4,EURJPY.i,SHORT,2026.01.23 09:43:00,2026.01.23 09:44:00,OFF,UNKNOWN,1.178,1,185.741,185.623,185.688,185.741,185.741,185.688,185.741,185.741,185.623,184.983,185.623,MT5_ORDER_FILL,0.100000,-0.033959,0.825197,1.00,tp
5,EURJPY.i,LONG,2026.01.28 15:52:00,2026.01.28 17:06:00,OFF,UNKNOWN,1.533,1,182.769,182.922,182.763,182.769,182.769,182.763,182.769,182.769,182.922,182.888,182.922,MT5_ORDER_FILL,0.100000,-0.047616,0.106321,74.00,tp
6,EURJPY.i,SHORT,2026.01.30 08:02:00,2026.01.30 10:36:00,OFF,UNKNOWN,1.593,2,183.532,183.373,183.451,183.453,183.453,183.612,183.612,183.612,183.373,183.402,183.373,MT5_ORDER_FILL,0.200000,-0.214035,0.225333,154.00,tp
7,EURJPY.i,SHORT,2026.02.03 15:21:00,2026.02.06 02:02:00,OFF,UNKNOWN,1.567,11,184.642,184.486,183.859,183.859,183.859,185.426,185.428,185.428,184.486,184.476,184.486,MT5_ORDER_FILL,1.100000,-6.029618,1.251755,3521.00,tp
8,EURJPY.i,SHORT,2026.02.09 00:07:00,2026.02.09 00:14:00,OFF,UNKNOWN,1.333,1,185.631,185.498,185.481,185.631,185.631,185.481,185.631,185.631,185.498,185.616,185.498,MT5_ORDER_FILL,0.100000,-0.063011,0.124522,7.00,tp
9,EURJPY.i,LONG,2026.02.16 00:58:00,2026.02.16 02:08:00,OFF,UNKNOWN,1.483,1,181.275,181.423,181.246,181.275,181.275,181.246,181.275,181.275,181.423,181.461,181.423,MT5_ORDER_FILL,0.100000,-0.082266,0.132165,70.00,tp
10,EURJPY.i,SHORT,2026.02.16 10:24:00,2026.02.16 13:56:00,OFF,UNKNOWN,1.483,3,182.091,181.943,181.943,181.944,181.944,182.241,182.242,182.242,181.943,181.937,181.943,MT5_ORDER_FILL,0.300000,-0.409980,0.340526,212.00,tp
11,EURJPY.i,SHORT,2026.03.23 05:28:00,2026.03.23 06:36:00,OFF,UNKNOWN,1.051,2,184.200,184.095,184.138,184.138,184.138,184.243,184.262,184.262,184.095,184.105,184.095,MT5_ORDER_FILL,0.200000,-0.144679,0.201789,68.00,tp
12,EURJPY.i,SHORT,2026.03.25 00:10:00,2026.03.25 00:15:00,OFF,UNKNOWN,1.051,1,184.170,184.065,184.170,184.170,184.170,184.170,184.170,184.170,184.065,184.145,184.065,MT5_ORDER_FILL,0.100000,-0.022827,0.120791,5.00,tp
13,EURJPY.i,SHORT,2026.03.26 07:52:00,2026.03.26 08:52:00,OFF,UNKNOWN,1.044,1,184.433,184.329,184.432,184.433,184.433,184.432,184.433,184.433,184.329,184.339,184.329,MT5_ORDER_FILL,0.100000,-0.023946,0.108238,60.00,tp
