time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.20 15:35:00,EURJPY.i,SELL_SIGNAL,SHORT,185.143,,,,MT5_ORDER_FILL,,0.986,184.013,93.7104,OFF,UNKNOWN,,,0,,0.000000,0.000000,signal
2026.01.20 15:35:00,EURJPY.i,ENTRY,SHORT,185.143,185.143,185.143,185.143,MT5_ORDER_FILL,0.000,0.986,184.013,,OFF,UNKNOWN,,,1,185.143,0.000000,0.000000,entry
2026.01.20 15:37:00,EURJPY.i,GRID_ADD,SHORT,185.282,185.242,185.282,185.282,MT5_ORDER_FILL,0.040,0.986,184.013,,OFF,UNKNOWN,,,2,185.213,-0.141017,0.000000,grid_add
2026.01.20 15:49:00,EURJPY.i,GRID_ADD,SHORT,185.359,185.340,185.359,185.359,MT5_ORDER_FILL,0.019,0.986,184.013,,OFF,UNKNOWN,,,3,185.261,-0.297251,0.000000,grid_add
2026.01.20 16:00:00,EURJPY.i,EXIT,SHORT,185.163,185.163,185.163,185.163,MT5_ORDER_FILL,0.000,0.986,184.013,,OFF,UNKNOWN,,,3,185.261,0.300000,0.300000,tp
2026.01.20 17:57:00,EURJPY.i,SELL_SIGNAL,SHORT,185.201,,,,MT5_ORDER_FILL,,0.986,184.013,90.7831,OFF,UNKNOWN,,,0,,0.000000,0.300000,signal
2026.01.20 17:57:00,EURJPY.i,ENTRY,SHORT,185.201,185.201,185.201,185.201,MT5_ORDER_FILL,0.000,0.986,184.013,,OFF,UNKNOWN,,,1,185.201,0.000000,0.300000,entry
2026.01.20 18:11:00,EURJPY.i,GRID_ADD,SHORT,185.301,185.300,185.301,185.301,MT5_ORDER_FILL,0.001,0.986,184.013,,OFF,UNKNOWN,,,2,185.251,-0.101451,0.300000,grid_add
2026.01.20 18:42:00,EURJPY.i,GRID_ADD,SHORT,185.388,185.398,185.388,185.388,MT5_ORDER_FILL,-0.010,0.986,184.013,,OFF,UNKNOWN,,,3,185.297,-0.277975,0.300000,grid_add
2026.01.21 01:37:00,EURJPY.i,SELL_SIGNAL,SHORT,185.417,,,,MT5_ORDER_FILL,,1.092,184.013,92.2390,OFF,UNKNOWN,,,3,185.297,0.000000,0.300000,signal
2026.01.21 01:58:00,EURJPY.i,GRID_ADD,SHORT,185.477,185.497,185.477,185.477,MT5_ORDER_FILL,-0.020,0.986,184.013,,OFF,UNKNOWN,,,4,185.342,-0.548849,0.300000,grid_add
2026.01.21 02:10:00,EURJPY.i,SELL_SIGNAL,SHORT,185.424,,,,MT5_ORDER_FILL,,1.092,184.013,93.7221,OFF,UNKNOWN,,,4,185.342,0.000000,0.300000,signal
2026.01.21 03:37:00,EURJPY.i,EXIT,SHORT,185.243,185.243,185.246,185.243,MT5_ORDER_FILL,0.003,0.986,184.013,,OFF,UNKNOWN,,,4,185.342,0.400000,0.700000,tp
2026.01.22 07:47:00,EURJPY.i,SELL_SIGNAL,SHORT,185.423,,,,MT5_ORDER_FILL,,1.098,184.175,90.4036,OFF,UNKNOWN,,,0,,0.000000,0.700000,signal
2026.01.22 07:47:00,EURJPY.i,ENTRY,SHORT,185.423,185.423,185.423,185.423,MT5_ORDER_FILL,0.000,1.098,184.175,,OFF,UNKNOWN,,,1,185.423,0.000000,0.700000,entry
