basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,EURUSD.i,LONG,2026.01.06 15:12:00,2026.01.06 15:36:00,OFF,UNKNOWN,0.00456,1,1.17083,1.17129,1.17082,1.17083,1.17083,1.17082,1.17083,1.17083,1.17129,1.17135,1.17129,MT5_ORDER_FILL,0.100000,-0.096597,0.114160,24.00,tp
2,EURUSD.i,LONG,2026.02.02 02:01:00,2026.02.02 02:11:00,OFF,UNKNOWN,0.01134,1,1.18598,1.18711,1.18596,1.18598,1.18598,1.18596,1.18598,1.18598,1.18711,1.18737,1.18711,MT5_ORDER_FILL,0.100000,-0.014111,0.122586,10.00,tp
3,EURUSD.i,SHORT,2026.02.09 03:25:00,2026.02.09 04:09:00,OFF,UNKNOWN,0.00972,1,1.18257,1.18160,1.18257,1.18257,1.18257,1.18257,1.18257,1.18257,1.18160,1.18169,1.18160,MT5_ORDER_FILL,0.100000,-0.081292,0.100844,44.00,tp
4,EURUSD.i,LONG,2026.02.19 01:01:00,2026.02.19 04:33:00,OFF,UNKNOWN,0.00585,1,1.17896,1.17955,1.17884,1.17896,1.17896,1.17884,1.17896,1.17896,1.17955,1.17955,1.17955,MT5_ORDER_FILL,0.100000,-0.073479,0.102529,212.00,tp
5,EURUSD.i,SHORT,2026.02.25 20:04:00,2026.02.26 09:07:00,OFF,UNKNOWN,0.00539,4,1.18160,1.18106,1.18078,1.18078,1.18078,1.18240,1.18243,1.18243,1.18106,1.18101,1.18106,MT5_ORDER_FILL,0.400000,-0.965466,0.475306,783.00,tp
6,EURUSD.i,LONG,2026.03.23 13:32:00,2026.03.23 14:05:00,OFF,UNKNOWN,0.00997,2,1.14918,1.15017,1.14936,1.14956,1.14956,1.14856,1.14879,1.14879,1.15017,1.15773,1.15017,MT5_ORDER_FILL,0.200000,-0.145363,1.837594,33.00,tp
7,EURUSD.i,LONG,2026.03.27 15:44:00,2026.03.27 16:42:00,OFF,UNKNOWN,0.01013,1,1.15179,1.15280,1.15154,1.15179,1.15179,1.15154,1.15179,1.15179,1.15280,1.15278,1.15280,MT5_ORDER_FILL,0.100000,-0.035556,0.101728,58.00,tp
8,EURUSD.i,LONG,2026.03.30 03:19:00,2026.03.30 06:19:00,OFF,UNKNOWN,0.00940,1,1.15076,1.15170,1.15054,1.15076,1.15076,1.15054,1.15076,1.15076,1.15170,1.15179,1.15170,MT5_ORDER_FILL,0.100000,-0.065971,0.109598,180.00,tp
9,EURUSD.i,SHORT,2026.04.10 15:23:00,2026.04.10 19:43:00,OFF,UNKNOWN,0.00807,4,1.17230,1.17149,1.17105,1.17105,1.17105,1.17347,1.17339,1.17339,1.17149,1.17147,1.17149,MT5_ORDER_FILL,0.400000,-0.810208,0.418731,260.00,tp
10,EURUSD.i,SHORT,2026.04.14 14:32:00,2026.04.14 18:45:00,OFF,UNKNOWN,0.00847,2,1.18005,1.17920,1.17964,1.17964,1.17964,1.18049,1.18046,1.18046,1.17920,1.17919,1.17920,MT5_ORDER_FILL,0.200000,-0.250413,0.207890,253.00,tp
11,EURUSD.i,LONG,2026.04.23 03:19:00,2026.04.23 10:07:00,OFF,UNKNOWN,0.00671,3,1.17043,1.17110,1.17109,1.17108,1.17108,1.16974,1.16970,1.16970,1.17110,1.17104,1.17110,MT5_ORDER_FILL,0.300000,-0.421696,0.342721,408.00,tp
12,EURUSD.i,LONG,2026.04.23 14:51:00,2026.04.23 14:52:00,OFF,UNKNOWN,0.00671,1,1.16909,1.16976,1.16907,1.16909,1.16909,1.16907,1.16909,1.16909,1.16976,1.16971,1.16976,MT5_ORDER_FILL,0.100000,-0.002980,0.101326,1.00,tp
13,EURUSD.i,LONG,2026.04.28 01:05:00,2026.04.28 18:03:00,OFF,UNKNOWN,0.00591,8,1.17008,1.17067,1.17203,1.17223,1.17223,1.16809,1.16805,1.16805,1.17067,1.17070,1.17067,MT5_ORDER_FILL,0.800000,-3.161902,0.965996,1018.00,tp
14,EURUSD.i,LONG,2026.05.22 15:05:00,2026.05.22 15:12:00,OFF,UNKNOWN,0.00573,1,1.15965,1.16022,1.15963,1.15965,1.15965,1.15963,1.15965,1.15965,1.16022,1.16023,1.16022,MT5_ORDER_FILL,0.100000,-0.027918,0.177979,7.00,tp
15,EURUSD.i,LONG,2026.06.11 02:26:00,2026.06.11 04:00:00,OFF,UNKNOWN,0.00598,1,1.15373,1.15433,1.15353,1.15373,1.15373,1.15353,1.15373,1.15373,1.15433,1.15421,1.15433,MT5_ORDER_FILL,0.100000,-0.083682,0.110460,94.00,tp
16,EURUSD.i,LONG,2026.06.11 20:30:00,2026.06.11 20:32:00,OFF,UNKNOWN,0.00598,1,1.15288,1.15348,1.15287,1.15288,1.15288,1.15287,1.15288,1.15288,1.15348,1.15473,1.15348,MT5_ORDER_FILL,0.100000,-0.051883,0.309623,2.00,tp
17,EURUSD.i,LONG,2026.06.24 03:26:00,2026.06.24 18:23:00,OFF,UNKNOWN,0.00648,8,1.13535,1.13600,1.13759,1.13760,1.13760,1.13306,1.13331,1.13331,1.13600,1.13591,1.13600,MT5_ORDER_FILL,0.800000,-3.567901,0.851852,897.00,tp
18,EURUSD.i,LONG,2026.06.25 15:30:00,2026.06.25 15:38:00,OFF,UNKNOWN,0.00667,2,1.13522,1.13588,1.13565,1.13561,1.13561,1.13494,1.13482,1.13482,1.13588,1.13567,1.13588,MT5_ORDER_FILL,0.200000,-0.199311,0.202308,8.00,tp
19,EURUSD.i,SHORT,2026.07.02 12:07:00,2026.07.02 13:23:00,OFF,UNKNOWN,0.00617,1,1.14114,1.14052,1.14114,1.14114,1.14114,1.14114,1.14114,1.14114,1.14052,1.14056,1.14052,MT5_ORDER_FILL,0.100000,-0.079352,0.102024,76.00,tp
