time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.06 15:12:00,EURUSD.i,BUY_SIGNAL,LONG,1.17082,,,,MT5_ORDER_FILL,,0.00456,1.17197,8.8661,OFF,UNKNOWN,,,0,,0.000000,0.000000,signal
2026.01.06 15:12:00,EURUSD.i,ENTRY,LONG,1.17083,1.17082,1.17083,1.17083,MT5_ORDER_FILL,0.00001,0.00456,1.17197,,OFF,UNKNOWN,,,1,1.17083,0.000000,0.000000,entry
2026.01.06 15:19:00,EURUSD.i,BUY_SIGNAL,LONG,1.17084,,,,MT5_ORDER_FILL,,0.00456,1.17197,9.5979,OFF,UNKNOWN,,,1,1.17083,0.000000,0.000000,signal
2026.01.06 15:36:00,EURUSD.i,EXIT,LONG,1.17129,1.17129,1.17135,1.17129,MT5_ORDER_FILL,0.00006,0.00456,1.17197,,OFF,UNKNOWN,,,1,1.17083,0.100000,0.100000,tp
2026.02.02 02:01:00,EURUSD.i,BUY_SIGNAL,LONG,1.18596,,,,MT5_ORDER_FILL,,0.01134,1.19324,4.3545,OFF,UNKNOWN,,,0,,0.000000,0.100000,signal
2026.02.02 02:01:00,EURUSD.i,ENTRY,LONG,1.18598,1.18596,1.18598,1.18598,MT5_ORDER_FILL,0.00002,0.01134,1.19324,,OFF,UNKNOWN,,,1,1.18598,0.000000,0.100000,entry
2026.02.02 02:11:00,EURUSD.i,EXIT,LONG,1.18711,1.18711,1.18737,1.18711,MT5_ORDER_FILL,0.00026,0.01134,1.19324,,OFF,UNKNOWN,,,1,1.18598,0.100000,0.200000,tp
2026.02.09 03:25:00,EURUSD.i,SELL_SIGNAL,SHORT,1.18257,,,,MT5_ORDER_FILL,,0.00972,1.18073,90.3600,OFF,UNKNOWN,,,0,,0.000000,0.200000,signal
2026.02.09 03:25:00,EURUSD.i,ENTRY,SHORT,1.18257,1.18257,1.18257,1.18257,MT5_ORDER_FILL,0.00000,0.00972,1.18073,,OFF,UNKNOWN,,,1,1.18257,0.000000,0.200000,entry
2026.02.09 04:09:00,EURUSD.i,EXIT,SHORT,1.18160,1.18160,1.18169,1.18160,MT5_ORDER_FILL,0.00009,0.00972,1.18073,,OFF,UNKNOWN,,,1,1.18257,0.100000,0.300000,tp
2026.02.19 01:01:00,EURUSD.i,BUY_SIGNAL,LONG,1.17884,,,,MT5_ORDER_FILL,,0.00585,1.18573,3.4941,OFF,UNKNOWN,,,0,,0.000000,0.300000,signal
2026.02.19 01:01:00,EURUSD.i,ENTRY,LONG,1.17896,1.17884,1.17896,1.17896,MT5_ORDER_FILL,0.00012,0.00585,1.18573,,OFF,UNKNOWN,,,1,1.17896,0.000000,0.300000,entry
2026.02.19 04:33:00,EURUSD.i,EXIT,LONG,1.17955,1.17955,1.17955,1.17955,MT5_ORDER_FILL,0.00000,0.00585,1.18573,,OFF,UNKNOWN,,,1,1.17896,0.100000,0.400000,tp
2026.02.25 20:04:00,EURUSD.i,SELL_SIGNAL,SHORT,1.18078,,,,MT5_ORDER_FILL,,0.00539,1.17822,90.3527,OFF,UNKNOWN,,,0,,0.000000,0.400000,signal
2026.02.25 20:04:00,EURUSD.i,ENTRY,SHORT,1.18078,1.18078,1.18078,1.18078,MT5_ORDER_FILL,0.00000,0.00539,1.17822,,OFF,UNKNOWN,,,1,1.18078,0.000000,0.400000,entry
2026.02.26 01:00:00,EURUSD.i,GRID_ADD,SHORT,1.18129,1.18132,1.18129,1.18129,MT5_ORDER_FILL,-0.00003,0.00539,1.17822,,OFF,UNKNOWN,,,2,1.18104,-0.094690,0.400000,grid_add
2026.02.26 02:46:00,EURUSD.i,GRID_ADD,SHORT,1.18190,1.18186,1.18190,1.18190,MT5_ORDER_FILL,0.00004,0.00539,1.17822,,OFF,UNKNOWN,,,3,1.18132,-0.321203,0.400000,grid_add
2026.02.26 03:20:00,EURUSD.i,GRID_ADD,SHORT,1.18243,1.18240,1.18243,1.18243,MT5_ORDER_FILL,0.00003,0.00539,1.17822,,OFF,UNKNOWN,,,4,1.18160,-0.616413,0.400000,grid_add
2026.02.26 09:07:00,EURUSD.i,EXIT,SHORT,1.18106,1.18106,1.18101,1.18106,MT5_ORDER_FILL,-0.00005,0.00539,1.17822,,OFF,UNKNOWN,,,4,1.18160,0.400000,0.800000,tp
2026.03.23 13:32:00,EURUSD.i,BUY_SIGNAL,LONG,1.14936,,,,MT5_ORDER_FILL,,0.00997,1.15445,5.0834,OFF,UNKNOWN,,,0,,0.000000,0.800000,signal
2026.03.23 13:32:00,EURUSD.i,ENTRY,LONG,1.14956,1.14936,1.14956,1.14956,MT5_ORDER_FILL,0.00020,0.00997,1.15445,,OFF,UNKNOWN,,,1,1.14956,0.000000,0.800000,entry
2026.03.23 13:55:00,EURUSD.i,GRID_ADD,LONG,1.14879,1.14856,1.14879,1.14879,MT5_ORDER_FILL,0.00023,0.00997,1.15445,,OFF,UNKNOWN,,,2,1.14918,-0.077193,0.800000,grid_add
2026.03.23 14:01:00,EURUSD.i,BUY_SIGNAL,LONG,1.14929,,,,MT5_ORDER_FILL,,0.00997,1.15445,3.4874,OFF,UNKNOWN,,,2,1.14918,0.000000,0.800000,signal
2026.03.23 14:05:00,EURUSD.i,EXIT,LONG,1.15017,1.15017,1.15773,1.15017,MT5_ORDER_FILL,0.00756,0.00997,1.15445,,OFF,UNKNOWN,,,2,1.14918,0.200000,1.000000,tp
2026.03.27 15:44:00,EURUSD.i,BUY_SIGNAL,LONG,1.15154,,,,MT5_ORDER_FILL,,0.01013,1.15820,6.3486,OFF,UNKNOWN,,,0,,0.000000,1.000000,signal
2026.03.27 15:44:00,EURUSD.i,ENTRY,LONG,1.15179,1.15154,1.15179,1.15179,MT5_ORDER_FILL,0.00025,0.01013,1.15820,,OFF,UNKNOWN,,,1,1.15179,0.000000,1.000000,entry
2026.03.27 16:42:00,EURUSD.i,EXIT,LONG,1.15280,1.15280,1.15278,1.15280,MT5_ORDER_FILL,-0.00002,0.01013,1.15820,,OFF,UNKNOWN,,,1,1.15179,0.100000,1.100000,tp
2026.03.30 03:19:00,EURUSD.i,BUY_SIGNAL,LONG,1.15054,,,,MT5_ORDER_FILL,,0.00940,1.15820,7.2567,OFF,UNKNOWN,,,0,,0.000000,1.100000,signal
2026.03.30 03:19:00,EURUSD.i,ENTRY,LONG,1.15076,1.15054,1.15076,1.15076,MT5_ORDER_FILL,0.00022,0.00940,1.15820,,OFF,UNKNOWN,,,1,1.15076,0.000000,1.100000,entry
2026.03.30 06:19:00,EURUSD.i,EXIT,LONG,1.15170,1.15170,1.15179,1.15170,MT5_ORDER_FILL,0.00009,0.00940,1.15820,,OFF,UNKNOWN,,,1,1.15076,0.100000,1.200000,tp
2026.04.10 15:23:00,EURUSD.i,SELL_SIGNAL,SHORT,1.17105,,,,MT5_ORDER_FILL,,0.00807,1.16821,90.9487,OFF,UNKNOWN,,,0,,0.000000,1.200000,signal
2026.04.10 15:23:00,EURUSD.i,ENTRY,SHORT,1.17105,1.17105,1.17105,1.17105,MT5_ORDER_FILL,0.00000,0.00807,1.16821,,OFF,UNKNOWN,,,1,1.17105,0.000000,1.200000,entry
2026.04.10 15:30:00,EURUSD.i,GRID_ADD,SHORT,1.17199,1.17186,1.17199,1.17199,MT5_ORDER_FILL,0.00013,0.00807,1.16821,,OFF,UNKNOWN,,,2,1.17152,-0.116452,1.200000,grid_add
2026.04.10 16:21:00,EURUSD.i,GRID_ADD,SHORT,1.17275,1.17266,1.17275,1.17275,MT5_ORDER_FILL,0.00009,0.00807,1.16821,,OFF,UNKNOWN,,,3,1.17193,-0.304757,1.200000,grid_add
