time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.14 15:15:00,GBPAUD.i,SELL_SIGNAL,SHORT,2.01286,,,,MT5_ORDER_FILL,,0.01072,2.00825,91.0806,OFF,UNKNOWN,,,0,,0.000000,0.000000,signal
2026.01.14 15:15:00,GBPAUD.i,ENTRY,SHORT,2.01287,2.01286,2.01287,2.01287,MT5_ORDER_FILL,0.00001,0.01072,2.00825,,OFF,UNKNOWN,,,1,2.01287,0.000000,0.000000,entry
2026.01.14 15:30:00,GBPAUD.i,EXIT,SHORT,2.01180,2.01180,2.01314,2.01180,MT5_ORDER_FILL,0.00134,0.01072,2.00825,,OFF,UNKNOWN,,,1,2.01287,0.100000,0.100000,tp
2026.01.14 15:47:00,GBPAUD.i,SELL_SIGNAL,SHORT,2.01292,,,,MT5_ORDER_FILL,,0.01072,2.00825,90.6197,OFF,UNKNOWN,,,0,,0.000000,0.100000,signal
2026.01.14 15:47:00,GBPAUD.i,ENTRY,SHORT,2.01292,2.01292,2.01292,2.01292,MT5_ORDER_FILL,0.00000,0.01072,2.00825,,OFF,UNKNOWN,,,1,2.01292,0.000000,0.100000,entry
2026.01.14 15:55:00,GBPAUD.i,SELL_SIGNAL,SHORT,2.01299,,,,MT5_ORDER_FILL,,0.01072,2.00825,91.3146,OFF,UNKNOWN,,,1,2.01292,0.000000,0.100000,signal
2026.01.14 16:42:00,GBPAUD.i,GRID_ADD,SHORT,2.01389,2.01399,2.01389,2.01389,MT5_ORDER_FILL,-0.00010,0.01072,2.00825,,OFF,UNKNOWN,,,2,2.01340,-0.090494,0.100000,grid_add
2026.01.14 17:11:00,GBPAUD.i,EXIT,SHORT,2.01233,2.01233,2.01289,2.01233,MT5_ORDER_FILL,0.00056,0.01072,2.00825,,OFF,UNKNOWN,,,2,2.01340,0.200000,0.300000,tp
2026.01.14 17:12:00,GBPAUD.i,SELL_SIGNAL,SHORT,2.01221,,,,MT5_ORDER_FILL,,0.01072,2.00825,90.0533,OFF,UNKNOWN,,,0,,0.000000,0.300000,signal
2026.01.14 17:12:00,GBPAUD.i,ENTRY,SHORT,2.01222,2.01221,2.01222,2.01222,MT5_ORDER_FILL,0.00001,0.01072,2.00825,,OFF,UNKNOWN,,,1,2.01222,0.000000,0.300000,entry
2026.01.14 17:34:00,GBPAUD.i,GRID_ADD,SHORT,2.01347,2.01329,2.01347,2.01347,MT5_ORDER_FILL,0.00018,0.01072,2.00825,,OFF,UNKNOWN,,,2,2.01284,-0.116615,0.300000,grid_add
2026.01.14 17:51:00,GBPAUD.i,GRID_ADD,SHORT,2.01437,2.01436,2.01437,2.01437,MT5_ORDER_FILL,0.00001,0.01072,2.00825,,OFF,UNKNOWN,,,3,2.01335,-0.284541,0.300000,grid_add
2026.01.14 18:22:00,GBPAUD.i,EXIT,SHORT,2.01228,2.01228,2.01223,2.01228,MT5_ORDER_FILL,-0.00005,0.01072,2.00825,,OFF,UNKNOWN,,,3,2.01335,0.300000,0.600000,tp
2026.02.16 05:48:00,GBPAUD.i,BUY_SIGNAL,LONG,1.92587,,,,MT5_ORDER_FILL,,0.01606,1.92985,9.8725,OFF,UNKNOWN,,,0,,0.000000,0.600000,signal
2026.02.16 05:48:00,GBPAUD.i,ENTRY,LONG,1.92593,1.92587,1.92593,1.92593,MT5_ORDER_FILL,0.00006,0.01606,1.92985,,OFF,UNKNOWN,,,1,1.92593,0.000000,0.600000,entry
2026.02.16 06:54:00,GBPAUD.i,GRID_ADD,LONG,1.92468,1.92432,1.92468,1.92468,MT5_ORDER_FILL,0.00036,0.01606,1.92985,,OFF,UNKNOWN,,,2,1.92531,-0.077843,0.600000,grid_add
2026.02.16 11:36:00,GBPAUD.i,EXIT,LONG,1.92691,1.92691,1.92682,1.92691,MT5_ORDER_FILL,-0.00009,0.01606,1.92985,,OFF,UNKNOWN,,,2,1.92531,0.200000,0.800000,tp
2026.02.26 09:25:00,GBPAUD.i,BUY_SIGNAL,LONG,1.90254,,,,MT5_ORDER_FILL,,0.01254,1.91281,9.5232,OFF,UNKNOWN,,,0,,0.000000,0.800000,signal
2026.02.26 09:25:00,GBPAUD.i,ENTRY,LONG,1.90263,1.90254,1.90263,1.90263,MT5_ORDER_FILL,0.00009,0.01254,1.91281,,OFF,UNKNOWN,,,1,1.90263,0.000000,0.800000,entry
2026.02.26 09:52:00,GBPAUD.i,GRID_ADD,LONG,1.90180,1.90138,1.90180,1.90180,MT5_ORDER_FILL,0.00042,0.01254,1.91281,,OFF,UNKNOWN,,,2,1.90222,-0.066167,0.800000,grid_add
2026.02.26 11:13:00,GBPAUD.i,GRID_ADD,LONG,1.90030,1.90012,1.90030,1.90030,MT5_ORDER_FILL,0.00018,0.01254,1.91281,,OFF,UNKNOWN,,,3,1.90158,-0.305325,0.800000,grid_add
2026.02.26 12:58:00,GBPAUD.i,EXIT,LONG,1.90283,1.90283,1.90285,1.90283,MT5_ORDER_FILL,0.00002,0.01254,1.91281,,OFF,UNKNOWN,,,3,1.90158,0.300000,1.100000,tp
2026.03.10 13:37:00,GBPAUD.i,BUY_SIGNAL,LONG,1.89280,,,,MT5_ORDER_FILL,,0.01723,1.89917,9.4353,OFF,UNKNOWN,,,0,,0.000000,1.100000,signal
