basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPCAD.i,SHORT,2026.01.12 17:24:00,2026.01.12 18:12:00,OFF,UNKNOWN,0.00927,1,1.86928,1.86835,1.86927,1.86928,1.86928,1.86927,1.86928,1.86928,1.86835,1.86846,1.86835,MT5_ORDER_FILL,0.100000,-0.067954,0.106785,48.00,tp
2,GBPCAD.i,LONG,2026.01.20 15:42:00,2026.01.20 16:37:00,OFF,UNKNOWN,0.00790,3,1.85991,1.86070,1.86062,1.86066,1.86066,1.85908,1.85908,1.85908,1.86070,1.86090,1.86070,MT5_ORDER_FILL,0.300000,-0.527915,0.398785,55.00,tp
3,GBPCAD.i,LONG,2026.01.21 13:26:00,2026.01.21 13:49:00,OFF,UNKNOWN,0.00817,1,1.85446,1.85528,1.85451,1.85446,1.85446,1.85451,1.85446,1.85446,1.85528,1.85529,1.85528,MT5_ORDER_FILL,0.100000,-0.031820,0.105250,23.00,tp
4,GBPCAD.i,LONG,2026.01.28 15:31:00,2026.01.28 16:38:00,OFF,UNKNOWN,0.00969,3,1.86777,1.86874,1.86869,1.86874,1.86874,1.86680,1.86682,1.86682,1.86874,1.86874,1.86874,MT5_ORDER_FILL,0.300000,-0.479975,0.312758,67.00,tp
5,GBPCAD.i,LONG,2026.02.05 00:49:00,2026.02.05 13:56:00,OFF,UNKNOWN,0.01066,9,1.86165,1.86271,1.86532,1.86584,1.86584,1.85732,1.85683,1.85683,1.86271,1.86232,1.86271,MT5_ORDER_FILL,0.900000,-4.219615,0.949789,787.00,tp
6,GBPCAD.i,LONG,2026.02.17 15:30:00,2026.02.17 15:52:00,OFF,UNKNOWN,0.00931,2,1.84923,1.85016,1.84957,1.84958,1.84958,1.84865,1.84888,1.84888,1.85016,1.84982,1.85016,MT5_ORDER_FILL,0.200000,-0.120236,0.221149,22.00,tp
7,GBPCAD.i,LONG,2026.02.17 15:52:00,2026.02.17 16:37:00,OFF,UNKNOWN,0.00931,3,1.84890,1.84983,1.84983,1.84983,1.84983,1.84797,1.84797,1.84797,1.84983,1.84977,1.84983,MT5_ORDER_FILL,0.300000,-0.413312,0.301664,45.00,tp
8,GBPCAD.i,SHORT,2026.03.04 13:33:00,2026.03.04 13:38:00,OFF,UNKNOWN,0.01081,1,1.82969,1.82861,1.82969,1.82969,1.82969,1.82969,1.82969,1.82969,1.82861,1.82893,1.82861,MT5_ORDER_FILL,0.100000,-0.001850,0.101739,5.00,tp
9,GBPCAD.i,SHORT,2026.03.17 14:48:00,2026.03.17 14:55:00,OFF,UNKNOWN,0.01131,1,1.82612,1.82499,1.82612,1.82612,1.82612,1.82612,1.82612,1.82612,1.82499,1.82510,1.82499,MT5_ORDER_FILL,0.100000,0.000000,0.105207,7.00,tp
10,GBPCAD.i,SHORT,2026.03.18 10:33:00,2026.03.18 11:18:00,OFF,UNKNOWN,0.01115,1,1.83082,1.82970,1.83082,1.83082,1.83082,1.83082,1.83082,1.83082,1.82970,1.82970,1.82970,MT5_ORDER_FILL,0.100000,-0.059172,0.108481,45.00,tp
11,GBPCAD.i,SHORT,2026.03.25 14:47:00,2026.03.25 15:16:00,OFF,UNKNOWN,0.01420,2,1.85053,1.84911,1.84977,1.84981,1.84981,1.85123,1.85126,1.85126,1.84911,1.84914,1.84911,MT5_ORDER_FILL,0.200000,-0.135906,0.200690,29.00,tp
12,GBPCAD.i,SHORT,2026.03.25 15:16:00,2026.03.25 15:35:00,OFF,UNKNOWN,0.01420,1,1.84910,1.84768,1.84911,1.84910,1.84910,1.84911,1.84910,1.84910,1.84768,1.84773,1.84768,MT5_ORDER_FILL,0.100000,-0.025350,0.106331,19.00,tp
13,GBPCAD.i,LONG,2026.03.27 14:54:00,2026.03.27 16:45:00,OFF,UNKNOWN,0.01448,2,1.84204,1.84349,1.84271,1.84274,1.84274,1.84129,1.84134,1.84134,1.84349,1.84333,1.84349,MT5_ORDER_FILL,0.200000,-0.272062,0.205773,111.00,tp
14,GBPCAD.i,LONG,2026.03.30 03:05:00,2026.03.30 05:49:00,OFF,UNKNOWN,0.01427,1,1.84047,1.84190,1.84039,1.84047,1.84047,1.84039,1.84047,1.84047,1.84190,1.84178,1.84190,MT5_ORDER_FILL,0.100000,-0.049040,0.100182,164.00,tp
15,GBPCAD.i,LONG,2026.03.31 00:40:00,2026.03.31 03:45:00,OFF,UNKNOWN,0.01434,3,1.83569,1.83712,1.83461,1.83662,1.83662,1.83375,1.83392,1.83392,1.83712,1.83734,1.83712,MT5_ORDER_FILL,0.300000,-0.403850,0.351538,185.00,tp
16,GBPCAD.i,SHORT,2026.04.03 15:26:00,2026.04.03 15:30:00,OFF,UNKNOWN,0.01298,1,1.84300,1.84170,1.84300,1.84300,1.84300,1.84300,1.84300,1.84300,1.84170,1.84169,1.84170,MT5_ORDER_FILL,0.100000,-0.004624,0.369942,4.00,tp
17,GBPCAD.i,SHORT,2026.04.10 13:51:00,2026.04.10 15:00:00,OFF,UNKNOWN,0.01132,1,1.85934,1.85821,1.85934,1.85934,1.85934,1.85934,1.85934,1.85934,1.85821,1.85827,1.85821,MT5_ORDER_FILL,0.100000,-0.055678,0.104286,69.00,tp
18,GBPCAD.i,LONG,2026.04.17 00:19:00,2026.04.17 15:38:00,OFF,UNKNOWN,0.00981,7,1.85200,1.85298,1.85332,1.85431,1.85431,1.84842,1.84857,1.84857,1.85298,1.85271,1.85298,MT5_ORDER_FILL,0.700000,-2.906775,0.808966,919.00,tp
19,GBPCAD.i,LONG,2026.04.21 09:04:00,2026.04.21 13:59:00,OFF,UNKNOWN,0.01000,5,1.84452,1.84552,1.84642,1.84648,1.84648,1.84248,1.84265,1.84265,1.84552,1.84543,1.84552,MT5_ORDER_FILL,0.500000,-1.187406,0.526737,295.00,tp
20,GBPCAD.i,LONG,2026.05.29 01:01:00,2026.05.29 09:25:00,OFF,UNKNOWN,0.00915,2,1.85272,1.85363,1.85310,1.85317,1.85317,1.85226,1.85227,1.85227,1.85363,1.85344,1.85363,MT5_ORDER_FILL,0.200000,-0.153056,0.205532,504.00,tp
21,GBPCAD.i,SHORT,2026.06.01 10:11:00,2026.06.01 16:13:00,OFF,UNKNOWN,0.00896,6,1.86086,1.85996,1.85863,1.85865,1.85865,1.86313,1.86318,1.86318,1.85996,1.85997,1.85996,MT5_ORDER_FILL,0.600000,-1.795873,0.673731,362.00,tp
22,GBPCAD.i,SHORT,2026.06.09 08:50:00,2026.06.09 19:49:00,OFF,UNKNOWN,0.00768,11,1.86623,1.86546,1.86238,1.86238,1.86238,1.87006,1.87010,1.87010,1.86546,1.86562,1.86546,MT5_ORDER_FILL,1.100000,-5.893695,1.214174,659.00,tp
23,GBPCAD.i,LONG,2026.06.19 00:09:00,2026.06.19 08:54:00,OFF,UNKNOWN,0.00874,6,1.86636,1.86723,1.86634,1.86785,1.86785,1.86348,1.86348,1.86348,1.86723,1.86731,1.86723,MT5_ORDER_FILL,0.600000,-2.030196,0.653094,525.00,tp
24,GBPCAD.i,SHORT,2026.06.22 16:56:00,2026.06.22 17:32:00,OFF,UNKNOWN,0.00882,3,1.87616,1.87528,1.87518,1.87518,1.87518,1.87694,1.87700,1.87700,1.87528,1.87528,1.87528,MT5_ORDER_FILL,0.300000,-0.546238,0.303717,36.00,tp
25,GBPCAD.i,SHORT,2026.06.25 09:30:00,2026.06.25 13:15:00,OFF,UNKNOWN,0.00899,3,1.87597,1.87507,1.87507,1.87507,1.87507,1.87687,1.87678,1.87678,1.87507,1.87515,1.87507,MT5_ORDER_FILL,0.300000,-0.558522,0.319315,225.00,tp
