time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.13 03:38:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.07442,,,,MT5_ORDER_FILL,,0.00441,1.07284,92.2742,OFF,UNKNOWN,,,0,,0.000000,0.000000,signal
2026.01.13 03:38:00,GBPCHF.i,ENTRY,SHORT,1.07442,1.07442,1.07442,1.07442,MT5_ORDER_FILL,0.00000,0.00441,1.07284,,OFF,UNKNOWN,,,1,1.07442,0.000000,0.000000,entry
2026.01.13 04:02:00,GBPCHF.i,GRID_ADD,SHORT,1.07484,1.07486,1.07484,1.07484,MT5_ORDER_FILL,-0.00002,0.00441,1.07284,,OFF,UNKNOWN,,,2,1.07463,-0.095217,0.000000,grid_add
2026.01.13 06:57:00,GBPCHF.i,EXIT,SHORT,1.07419,1.07419,1.07426,1.07419,MT5_ORDER_FILL,0.00007,0.00441,1.07284,,OFF,UNKNOWN,,,2,1.07463,0.200000,0.200000,tp
2026.01.13 15:34:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.07543,,,,MT5_ORDER_FILL,,0.00441,1.07347,92.2675,OFF,UNKNOWN,,,0,,0.000000,0.200000,signal
2026.01.13 15:34:00,GBPCHF.i,ENTRY,SHORT,1.07548,1.07543,1.07548,1.07548,MT5_ORDER_FILL,0.00005,0.00441,1.07347,,OFF,UNKNOWN,,,1,1.07548,0.000000,0.200000,entry
2026.01.13 16:03:00,GBPCHF.i,EXIT,SHORT,1.07504,1.07504,1.07515,1.07504,MT5_ORDER_FILL,0.00011,0.00441,1.07347,,OFF,UNKNOWN,,,1,1.07548,0.100000,0.300000,tp
2026.01.21 00:08:00,GBPCHF.i,BUY_SIGNAL,LONG,1.06127,,,,MT5_ORDER_FILL,,0.00477,1.06462,6.6103,OFF,UNKNOWN,,,0,,0.000000,0.300000,signal
2026.01.21 00:08:00,GBPCHF.i,ENTRY,LONG,1.06338,1.06127,1.06338,1.06338,MT5_ORDER_FILL,0.00211,0.00477,1.06462,,OFF,UNKNOWN,,,1,1.06338,0.000000,0.300000,entry
2026.01.21 00:09:00,GBPCHF.i,GRID_ADD,LONG,1.06203,1.06290,1.06203,1.06203,MT5_ORDER_FILL,-0.00087,0.00477,1.06462,,OFF,UNKNOWN,,,2,1.06271,-0.283138,0.300000,grid_add
2026.01.21 00:09:00,GBPCHF.i,GRID_ADD,LONG,1.06203,1.06243,1.06203,1.06203,MT5_ORDER_FILL,-0.00040,0.00477,1.06462,,OFF,UNKNOWN,,,3,1.06248,-0.283138,0.300000,grid_add
2026.01.21 00:09:00,GBPCHF.i,GRID_ADD,LONG,1.06203,1.06195,1.06203,1.06203,MT5_ORDER_FILL,0.00008,0.00477,1.06462,,OFF,UNKNOWN,,,4,1.06237,-0.283138,0.300000,grid_add
2026.01.21 00:09:00,GBPCHF.i,GRID_ADD,LONG,1.06203,1.06147,1.06203,1.06203,MT5_ORDER_FILL,0.00056,0.00477,1.06462,,OFF,UNKNOWN,,,5,1.06230,-0.283138,0.300000,grid_add
2026.01.21 00:09:00,GBPCHF.i,GRID_ADD,LONG,1.06203,1.06100,1.06203,1.06203,MT5_ORDER_FILL,0.00103,0.00477,1.06462,,OFF,UNKNOWN,,,6,1.06226,-0.283138,0.300000,grid_add
2026.01.21 00:09:00,GBPCHF.i,GRID_ADD,LONG,1.06203,1.06052,1.06203,1.06203,MT5_ORDER_FILL,0.00151,0.00477,1.06462,,OFF,UNKNOWN,,,7,1.06222,-0.283138,0.300000,grid_add
2026.01.21 00:10:00,GBPCHF.i,GRID_ADD,LONG,1.06241,1.06004,1.06241,1.06241,MT5_ORDER_FILL,0.00237,0.00477,1.06399,,OFF,UNKNOWN,,,8,1.06225,0.274748,0.300000,grid_add
2026.01.21 00:44:00,GBPCHF.i,BUY_SIGNAL,LONG,1.06089,,,,MT5_ORDER_FILL,,0.00477,1.06399,6.6555,OFF,UNKNOWN,,,8,1.06225,0.000000,0.300000,signal
2026.01.21 00:45:00,GBPCHF.i,BUY_SIGNAL,LONG,1.06110,,,,MT5_ORDER_FILL,,0.00477,1.06399,6.7228,OFF,UNKNOWN,,,8,1.06225,0.000000,0.300000,signal
2026.01.21 01:01:00,GBPCHF.i,BUY_SIGNAL,LONG,1.06156,,,,MT5_ORDER_FILL,,0.00477,1.06399,7.8823,OFF,UNKNOWN,,,8,1.06225,0.000000,0.300000,signal
2026.01.21 05:16:00,GBPCHF.i,EXIT,LONG,1.06272,1.06272,1.06333,1.06272,MT5_ORDER_FILL,0.00061,0.00477,1.06336,,OFF,UNKNOWN,,,8,1.06225,0.800000,1.100000,tp
2026.01.22 00:11:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.06667,,,,MT5_ORDER_FILL,,0.00537,1.06336,92.2877,OFF,UNKNOWN,,,0,,0.000000,1.100000,signal
2026.01.22 00:11:00,GBPCHF.i,ENTRY,SHORT,1.06667,1.06667,1.06667,1.06667,MT5_ORDER_FILL,0.00000,0.00537,1.06336,,OFF,UNKNOWN,,,1,1.06667,0.000000,1.100000,entry
2026.01.22 00:18:00,GBPCHF.i,GRID_ADD,SHORT,1.06755,1.06721,1.06755,1.06755,MT5_ORDER_FILL,0.00034,0.00537,1.06336,,OFF,UNKNOWN,,,2,1.06711,-0.163965,1.100000,grid_add
2026.01.22 00:21:00,GBPCHF.i,GRID_ADD,SHORT,1.06776,1.06774,1.06776,1.06776,MT5_ORDER_FILL,0.00002,0.00537,1.06336,,OFF,UNKNOWN,,,3,1.06733,-0.242221,1.100000,grid_add
2026.01.22 00:39:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.06700,,,,MT5_ORDER_FILL,,0.00537,1.06399,91.4600,OFF,UNKNOWN,,,3,1.06733,0.000000,1.100000,signal
2026.01.22 01:01:00,GBPCHF.i,GRID_ADD,SHORT,1.06810,1.06828,1.06810,1.06810,MT5_ORDER_FILL,-0.00018,0.00537,1.06399,,OFF,UNKNOWN,,,4,1.06752,-0.432271,1.100000,grid_add
2026.01.22 01:52:00,GBPCHF.i,GRID_ADD,SHORT,1.06878,1.06882,1.06878,1.06878,MT5_ORDER_FILL,-0.00004,0.00537,1.06399,,OFF,UNKNOWN,,,5,1.06777,-0.939072,1.100000,grid_add
2026.01.22 06:12:00,GBPCHF.i,EXIT,SHORT,1.06724,1.06724,1.06737,1.06724,MT5_ORDER_FILL,0.00013,0.00537,1.06462,,OFF,UNKNOWN,,,5,1.06777,0.500000,1.600000,tp
2026.01.27 08:42:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.06331,,,,MT5_ORDER_FILL,,0.00634,1.06209,91.2138,OFF,UNKNOWN,,,0,,0.000000,1.600000,signal
2026.01.27 08:42:00,GBPCHF.i,ENTRY,SHORT,1.06333,1.06331,1.06333,1.06333,MT5_ORDER_FILL,0.00002,0.00634,1.06209,,OFF,UNKNOWN,,,1,1.06333,0.000000,1.600000,entry
2026.01.27 09:03:00,GBPCHF.i,GRID_ADD,SHORT,1.06392,1.06396,1.06392,1.06392,MT5_ORDER_FILL,-0.00004,0.00634,1.06209,,OFF,UNKNOWN,,,2,1.06363,-0.093060,1.600000,grid_add
2026.01.27 11:05:00,GBPCHF.i,EXIT,SHORT,1.06299,1.06299,1.06300,1.06299,MT5_ORDER_FILL,0.00001,0.00634,1.06209,,OFF,UNKNOWN,,,2,1.06363,0.200000,1.800000,tp
2026.02.06 15:33:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.05685,,,,MT5_ORDER_FILL,,0.00812,1.05325,93.2747,OFF,UNKNOWN,,,0,,0.000000,1.800000,signal
2026.02.06 15:33:00,GBPCHF.i,ENTRY,SHORT,1.05685,1.05685,1.05685,1.05685,MT5_ORDER_FILL,0.00000,0.00812,1.05325,,OFF,UNKNOWN,,,1,1.05685,0.000000,1.800000,entry
2026.02.06 15:37:00,GBPCHF.i,EXIT,SHORT,1.05604,1.05604,1.05610,1.05604,MT5_ORDER_FILL,0.00006,0.00812,1.05325,,OFF,UNKNOWN,,,1,1.05685,0.100000,1.900000,tp
2026.02.11 15:19:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.04974,,,,MT5_ORDER_FILL,,0.00798,1.04756,91.3652,OFF,UNKNOWN,,,0,,0.000000,1.900000,signal
2026.02.11 15:19:00,GBPCHF.i,ENTRY,SHORT,1.04976,1.04974,1.04976,1.04976,MT5_ORDER_FILL,0.00002,0.00798,1.04756,,OFF,UNKNOWN,,,1,1.04976,0.000000,1.900000,entry
2026.02.11 15:27:00,GBPCHF.i,GRID_ADD,SHORT,1.05076,1.05056,1.05076,1.05076,MT5_ORDER_FILL,0.00020,0.00798,1.04756,,OFF,UNKNOWN,,,2,1.05026,-0.125360,1.900000,grid_add
2026.02.11 15:29:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.04969,,,,MT5_ORDER_FILL,,0.00798,1.04756,92.0916,OFF,UNKNOWN,,,2,1.05026,0.000000,1.900000,signal
2026.02.11 15:30:00,GBPCHF.i,EXIT,SHORT,1.04946,1.04946,1.05166,1.04946,MT5_ORDER_FILL,0.00220,0.00798,1.04756,,OFF,UNKNOWN,,,2,1.05026,0.200000,2.100000,tp
2026.02.17 15:52:00,GBPCHF.i,BUY_SIGNAL,LONG,1.04393,,,,MT5_ORDER_FILL,,0.00732,1.04756,7.8058,OFF,UNKNOWN,,,0,,0.000000,2.100000,signal
2026.02.17 15:52:00,GBPCHF.i,ENTRY,LONG,1.04401,1.04393,1.04401,1.04401,MT5_ORDER_FILL,0.00008,0.00732,1.04756,,OFF,UNKNOWN,,,1,1.04401,0.000000,2.100000,entry
2026.02.17 15:54:00,GBPCHF.i,GRID_ADD,LONG,1.04335,1.04328,1.04335,1.04335,MT5_ORDER_FILL,0.00007,0.00732,1.04756,,OFF,UNKNOWN,,,2,1.04368,-0.090127,2.100000,grid_add
2026.02.17 17:01:00,GBPCHF.i,BUY_SIGNAL,LONG,1.04424,,,,MT5_ORDER_FILL,,0.00732,1.04693,7.9823,OFF,UNKNOWN,,,2,1.04368,0.000000,2.100000,signal
2026.02.17 17:02:00,GBPCHF.i,EXIT,LONG,1.04441,1.04441,1.04423,1.04441,MT5_ORDER_FILL,-0.00018,0.00732,1.04693,,OFF,UNKNOWN,,,2,1.04368,0.200000,2.300000,tp
2026.02.20 16:15:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.04616,,,,MT5_ORDER_FILL,,0.00654,1.04377,92.7814,OFF,UNKNOWN,,,0,,0.000000,2.300000,signal
2026.02.20 16:15:00,GBPCHF.i,ENTRY,SHORT,1.04616,1.04616,1.04616,1.04616,MT5_ORDER_FILL,0.00000,0.00654,1.04377,,OFF,UNKNOWN,,,1,1.04616,0.000000,2.300000,entry
2026.02.20 16:42:00,GBPCHF.i,GRID_ADD,SHORT,1.04682,1.04681,1.04682,1.04682,MT5_ORDER_FILL,0.00001,0.00654,1.04377,,OFF,UNKNOWN,,,2,1.04649,-0.100917,2.300000,grid_add
2026.02.20 16:59:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.04630,,,,MT5_ORDER_FILL,,0.00654,1.04377,90.2715,OFF,UNKNOWN,,,2,1.04649,0.000000,2.300000,signal
2026.02.20 17:07:00,GBPCHF.i,EXIT,SHORT,1.04584,1.04584,1.04645,1.04584,MT5_ORDER_FILL,0.00061,0.00654,1.04377,,OFF,UNKNOWN,,,2,1.04649,0.200000,2.500000,tp
2026.02.25 15:37:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.04689,,,,MT5_ORDER_FILL,,0.00556,1.04503,91.4903,OFF,UNKNOWN,,,0,,0.000000,2.500000,signal
2026.02.25 15:37:00,GBPCHF.i,ENTRY,SHORT,1.04689,1.04689,1.04689,1.04689,MT5_ORDER_FILL,0.00000,0.00556,1.04503,,OFF,UNKNOWN,,,1,1.04689,0.000000,2.500000,entry
2026.02.25 16:29:00,GBPCHF.i,EXIT,SHORT,1.04633,1.04633,1.04641,1.04633,MT5_ORDER_FILL,0.00008,0.00556,1.04503,,OFF,UNKNOWN,,,1,1.04689,0.100000,2.600000,tp
2026.02.27 09:26:00,GBPCHF.i,BUY_SIGNAL,LONG,1.04207,,,,MT5_ORDER_FILL,,0.00524,1.04566,7.1168,OFF,UNKNOWN,,,0,,0.000000,2.600000,signal
2026.02.27 09:26:00,GBPCHF.i,ENTRY,LONG,1.04219,1.04207,1.04219,1.04219,MT5_ORDER_FILL,0.00012,0.00524,1.04566,,OFF,UNKNOWN,,,1,1.04219,0.000000,2.600000,entry
2026.02.27 09:56:00,GBPCHF.i,EXIT,LONG,1.04271,1.04271,1.04281,1.04271,MT5_ORDER_FILL,0.00010,0.00524,1.04566,,OFF,UNKNOWN,,,1,1.04219,0.100000,2.700000,tp
2026.03.04 09:31:00,GBPCHF.i,BUY_SIGNAL,LONG,1.04212,,,,MT5_ORDER_FILL,,0.00692,1.04377,7.7889,OFF,UNKNOWN,,,0,,0.000000,2.700000,signal
2026.03.04 09:31:00,GBPCHF.i,ENTRY,LONG,1.04228,1.04212,1.04228,1.04228,MT5_ORDER_FILL,0.00016,0.00692,1.04377,,OFF,UNKNOWN,,,1,1.04228,0.000000,2.700000,entry
2026.03.04 10:18:00,GBPCHF.i,EXIT,LONG,1.04297,1.04297,1.04298,1.04297,MT5_ORDER_FILL,0.00001,0.00692,1.04314,,OFF,UNKNOWN,,,1,1.04228,0.100000,2.800000,tp
2026.03.10 00:06:00,GBPCHF.i,SELL_SIGNAL,SHORT,1.04332,,,,MT5_ORDER_FILL,,0.00756,1.03998,91.4860,OFF,UNKNOWN,,,0,,0.000000,2.800000,signal
2026.03.10 00:06:00,GBPCHF.i,ENTRY,SHORT,1.04332,1.04332,1.04332,1.04332,MT5_ORDER_FILL,0.00000,0.00756,1.03998,,OFF,UNKNOWN,,,1,1.04332,0.000000,2.800000,entry
