basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,NZDUSD.i,LONG,2026.01.09 15:30:00,2026.01.09 15:31:00,OFF,UNKNOWN,0.00364,1,0.57277,0.57313,0.57276,0.57277,0.57277,0.57276,0.57277,0.57277,0.57313,0.57318,0.57313,MT5_ORDER_FILL,0.100000,-0.046690,0.115353,1.00,tp
2,NZDUSD.i,SHORT,2026.01.13 00:39:00,2026.01.13 10:25:00,OFF,UNKNOWN,0.00413,3,0.57726,0.57684,0.57684,0.57684,0.57684,0.57767,0.57778,0.57778,0.57684,0.57680,0.57684,MT5_ORDER_FILL,0.300000,-0.583818,0.360950,586.00,tp
3,NZDUSD.i,LONG,2026.02.02 01:00:00,2026.02.02 01:32:00,OFF,UNKNOWN,0.00674,3,0.60061,0.60128,0.60130,0.60129,0.60129,0.59994,0.59986,0.59986,0.60128,0.60085,0.60128,MT5_ORDER_FILL,0.300000,-0.592076,0.351684,32.00,tp
4,NZDUSD.i,LONG,2026.02.04 12:50:00,2026.02.04 14:01:00,OFF,UNKNOWN,0.00664,2,0.60161,0.60227,0.60201,0.60202,0.60202,0.60136,0.60120,0.60120,0.60227,0.60223,0.60227,MT5_ORDER_FILL,0.200000,-0.126506,0.204819,71.00,tp
5,NZDUSD.i,LONG,2026.02.17 02:10:00,2026.02.17 06:39:00,OFF,UNKNOWN,0.00550,3,0.60258,0.60313,0.60301,0.60305,0.60305,0.60195,0.60197,0.60197,0.60313,0.60321,0.60313,MT5_ORDER_FILL,0.300000,-0.367139,0.347146,269.00,tp
6,NZDUSD.i,SHORT,2026.02.17 12:13:00,2026.02.17 13:52:00,OFF,UNKNOWN,0.00550,1,0.60450,0.60395,0.60450,0.60450,0.60450,0.60450,0.60450,0.60450,0.60395,0.60398,0.60395,MT5_ORDER_FILL,0.100000,-0.089059,0.107234,99.00,tp
7,NZDUSD.i,LONG,2026.02.19 03:02:00,2026.02.19 05:19:00,OFF,UNKNOWN,0.00552,1,0.59727,0.59782,0.59726,0.59727,0.59727,0.59726,0.59727,0.59727,0.59782,0.59785,0.59782,MT5_ORDER_FILL,0.100000,-0.070652,0.110507,137.00,tp
8,NZDUSD.i,LONG,2026.02.24 00:11:00,2026.02.24 01:01:00,OFF,UNKNOWN,0.00473,2,0.59534,0.59581,0.59558,0.59559,0.59559,0.59512,0.59509,0.59509,0.59581,0.59583,0.59581,MT5_ORDER_FILL,0.200000,-0.139446,0.207057,50.00,tp
9,NZDUSD.i,LONG,2026.03.06 15:06:00,2026.03.06 15:30:00,OFF,UNKNOWN,0.00621,1,0.58713,0.58775,0.58712,0.58713,0.58713,0.58712,0.58713,0.58713,0.58775,0.58793,0.58775,MT5_ORDER_FILL,0.100000,-0.014488,0.312299,24.00,tp
10,NZDUSD.i,LONG,2026.03.09 04:01:00,2026.03.09 04:34:00,OFF,UNKNOWN,0.00632,2,0.58567,0.58630,0.58578,0.58579,0.58579,0.58516,0.58555,0.58555,0.58630,0.58629,0.58630,MT5_ORDER_FILL,0.200000,-0.205664,0.205664,33.00,tp
11,NZDUSD.i,LONG,2026.03.13 20:15:00,2026.03.16 00:40:00,OFF,UNKNOWN,0.00705,5,0.57893,0.57963,0.58031,0.58031,0.58031,0.57749,0.57754,0.57754,0.57963,0.57967,0.57963,MT5_ORDER_FILL,0.500000,-1.226054,0.526465,3145.00,tp
12,NZDUSD.i,LONG,2026.03.16 00:40:00,2026.03.16 03:00:00,OFF,UNKNOWN,0.00757,3,0.57909,0.57985,0.57967,0.57973,0.57973,0.57822,0.57808,0.57808,0.57985,0.57994,0.57985,MT5_ORDER_FILL,0.300000,-0.500396,0.367045,140.00,tp
13,NZDUSD.i,LONG,2026.03.17 09:39:00,2026.03.17 11:40:00,OFF,UNKNOWN,0.00774,1,0.58225,0.58302,0.58224,0.58225,0.58225,0.58224,0.58225,0.58225,0.58302,0.58324,0.58302,MT5_ORDER_FILL,0.100000,-0.069749,0.127874,121.00,tp
14,NZDUSD.i,LONG,2026.03.26 02:46:00,2026.03.26 07:48:00,OFF,UNKNOWN,0.00810,2,0.58004,0.58085,0.58044,0.58045,0.58045,0.57964,0.57963,0.57963,0.58085,0.58082,0.58085,MT5_ORDER_FILL,0.200000,-0.135735,0.202369,302.00,tp
15,NZDUSD.i,LONG,2026.03.30 17:47:00,2026.03.30 20:47:00,OFF,UNKNOWN,0.00752,2,0.57130,0.57206,0.57157,0.57162,0.57162,0.57087,0.57099,0.57099,0.57206,0.57193,0.57206,MT5_ORDER_FILL,0.200000,-0.126279,0.216669,180.00,tp
16,NZDUSD.i,SHORT,2026.04.15 20:31:00,2026.04.16 00:16:00,OFF,UNKNOWN,0.00642,2,0.59123,0.59058,0.59090,0.59090,0.59090,0.59154,0.59155,0.59155,0.59058,0.59110,0.59058,MT5_ORDER_FILL,0.200000,-0.219489,0.222603,225.00,tp
17,NZDUSD.i,LONG,2026.04.16 12:34:00,2026.04.16 18:10:00,OFF,UNKNOWN,0.00623,2,0.58889,0.58952,0.58919,0.58920,0.58920,0.58858,0.58859,0.58859,0.58952,0.58945,0.58952,MT5_ORDER_FILL,0.200000,-0.200610,0.207029,336.00,tp
18,NZDUSD.i,LONG,2026.04.23 14:40:00,2026.04.23 14:47:00,OFF,UNKNOWN,0.00498,1,0.58770,0.58820,0.58768,0.58770,0.58770,0.58768,0.58770,0.58770,0.58820,0.58823,0.58820,MT5_ORDER_FILL,0.100000,-0.012048,0.112450,7.00,tp
19,NZDUSD.i,SHORT,2026.05.07 14:17:00,2026.05.07 17:05:00,OFF,UNKNOWN,0.00677,1,0.59780,0.59712,0.59780,0.59780,0.59780,0.59780,0.59780,0.59780,0.59712,0.59710,0.59712,MT5_ORDER_FILL,0.100000,-0.078310,0.113771,168.00,tp
20,NZDUSD.i,LONG,2026.05.22 15:12:00,2026.05.22 16:00:00,OFF,UNKNOWN,0.00499,2,0.58546,0.58595,0.58563,0.58565,0.58565,0.58515,0.58526,0.58526,0.58595,0.58586,0.58595,MT5_ORDER_FILL,0.200000,-0.106191,0.210379,48.00,tp
21,NZDUSD.i,LONG,2026.06.04 00:59:00,2026.06.04 01:56:00,OFF,UNKNOWN,0.00534,1,0.58625,0.58678,0.58623,0.58625,0.58625,0.58623,0.58625,0.58625,0.58678,0.58687,0.58678,MT5_ORDER_FILL,0.100000,-0.056222,0.123688,57.00,tp
22,NZDUSD.i,LONG,2026.06.17 15:24:00,2026.06.17 16:50:00,OFF,UNKNOWN,0.00547,1,0.58137,0.58192,0.58136,0.58137,0.58137,0.58136,0.58137,0.58137,0.58192,0.58192,0.58192,MT5_ORDER_FILL,0.100000,-0.045721,0.104243,86.00,tp
