time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.13 15:30:00,USDCHF.i,SELL_SIGNAL,SHORT,0.79801,,,,MT5_ORDER_FILL,,0.00460,0.79739,93.6103,OFF,UNKNOWN,,,0,,0.000000,0.000000,signal
2026.01.13 15:30:00,USDCHF.i,ENTRY,SHORT,0.79798,0.79801,0.79798,0.79798,MT5_ORDER_FILL,-0.00003,0.00460,0.79739,,OFF,UNKNOWN,,,1,0.79798,0.000000,0.000000,entry
2026.01.13 15:32:00,USDCHF.i,EXIT,SHORT,0.79752,0.79752,0.79743,0.79752,MT5_ORDER_FILL,-0.00009,0.00460,0.79739,,OFF,UNKNOWN,,,1,0.79798,0.100000,0.100000,tp
2026.01.15 10:04:00,USDCHF.i,SELL_SIGNAL,SHORT,0.80140,,,,MT5_ORDER_FILL,,0.00461,0.79906,90.2993,OFF,UNKNOWN,,,0,,0.000000,0.100000,signal
2026.01.15 10:04:00,USDCHF.i,ENTRY,SHORT,0.80140,0.80140,0.80140,0.80140,MT5_ORDER_FILL,0.00000,0.00461,0.79906,,OFF,UNKNOWN,,,1,0.80140,0.000000,0.100000,entry
2026.01.15 11:35:00,USDCHF.i,EXIT,SHORT,0.80094,0.80094,0.80086,0.80094,MT5_ORDER_FILL,-0.00008,0.00461,0.79906,,OFF,UNKNOWN,,,1,0.80140,0.100000,0.200000,tp
2026.01.30 02:21:00,USDCHF.i,BUY_SIGNAL,LONG,0.76594,,,,MT5_ORDER_FILL,,0.00917,0.76806,7.5647,OFF,UNKNOWN,,,0,,0.000000,0.200000,signal
2026.01.30 02:21:00,USDCHF.i,ENTRY,LONG,0.76599,0.76594,0.76599,0.76599,MT5_ORDER_FILL,0.00005,0.00917,0.76806,,OFF,UNKNOWN,,,1,0.76599,0.000000,0.200000,entry
2026.01.30 02:46:00,USDCHF.i,EXIT,LONG,0.76691,0.76691,0.76706,0.76691,MT5_ORDER_FILL,0.00015,0.00917,0.76723,,OFF,UNKNOWN,,,1,0.76599,0.100000,0.300000,tp
2026.02.02 02:01:00,USDCHF.i,SELL_SIGNAL,SHORT,0.77290,,,,MT5_ORDER_FILL,,0.00979,0.76806,90.3917,OFF,UNKNOWN,,,0,,0.000000,0.300000,signal
2026.02.02 02:01:00,USDCHF.i,ENTRY,SHORT,0.77289,0.77290,0.77289,0.77289,MT5_ORDER_FILL,-0.00001,0.00979,0.76806,,OFF,UNKNOWN,,,1,0.77289,0.000000,0.300000,entry
2026.02.02 02:11:00,USDCHF.i,EXIT,SHORT,0.77191,0.77191,0.77182,0.77191,MT5_ORDER_FILL,-0.00009,0.00979,0.76806,,OFF,UNKNOWN,,,1,0.77289,0.100000,0.400000,tp
2026.02.10 00:05:00,USDCHF.i,BUY_SIGNAL,LONG,0.76661,,,,MT5_ORDER_FILL,,0.00858,0.77644,5.9734,OFF,UNKNOWN,,,0,,0.000000,0.400000,signal
2026.02.10 00:05:00,USDCHF.i,ENTRY,LONG,0.76741,0.76661,0.76741,0.76741,MT5_ORDER_FILL,0.00080,0.00858,0.77644,,OFF,UNKNOWN,,,1,0.76741,0.000000,0.400000,entry
2026.02.10 00:06:00,USDCHF.i,GRID_ADD,LONG,0.76717,0.76655,0.76717,0.76717,MT5_ORDER_FILL,0.00062,0.00858,0.77644,,OFF,UNKNOWN,,,2,0.76729,-0.027956,0.400000,grid_add
2026.02.10 00:06:00,USDCHF.i,GRID_ADD,LONG,0.76717,0.76569,0.76717,0.76717,MT5_ORDER_FILL,0.00148,0.00858,0.77644,,OFF,UNKNOWN,,,3,0.76725,-0.027956,0.400000,grid_add
2026.02.10 00:08:00,USDCHF.i,BUY_SIGNAL,LONG,0.76648,,,,MT5_ORDER_FILL,,0.00858,0.77644,5.9572,OFF,UNKNOWN,,,3,0.76725,0.000000,0.400000,signal
2026.02.10 16:00:00,USDCHF.i,GRID_ADD,LONG,0.76479,0.76483,0.76479,0.76479,MT5_ORDER_FILL,-0.00004,0.00858,0.77560,,OFF,UNKNOWN,,,4,0.76664,-0.859639,0.400000,grid_add
2026.02.10 16:18:00,USDCHF.i,GRID_ADD,LONG,0.76404,0.76398,0.76404,0.76404,MT5_ORDER_FILL,0.00006,0.00858,0.77560,,OFF,UNKNOWN,,,5,0.76612,-1.209086,0.400000,grid_add
2026.02.10 16:33:00,USDCHF.i,GRID_ADD,LONG,0.76309,0.76312,0.76309,0.76309,MT5_ORDER_FILL,-0.00003,0.00858,0.77560,,OFF,UNKNOWN,,,6,0.76561,-1.762376,0.400000,grid_add
2026.02.10 18:50:00,USDCHF.i,EXIT,LONG,0.76647,0.76647,0.76650,0.76647,MT5_ORDER_FILL,0.00003,0.00858,0.77225,,OFF,UNKNOWN,,,6,0.76561,0.600000,1.000000,tp
2026.02.16 15:45:00,USDCHF.i,SELL_SIGNAL,SHORT,0.76991,,,,MT5_ORDER_FILL,,0.00640,0.76974,95.3517,OFF,UNKNOWN,,,0,,0.000000,1.000000,signal
