run_id,symbol,symbol_point,symbol_digits,execution_price_mode,closed_baskets,closed_net_adr,terminal_marked_adr,closed_plus_marked_net_adr,win_rate_pct,max_open_drawdown_adr,max_adverse_excursion_adr,max_basket_fill_count,average_fill_count,max_time_in_basket_minutes,average_time_in_basket_minutes,unresolved_open_baskets_at_end,long_baskets,short_baskets,long_net_adr,short_net_adr,same_bar_trail_ambiguous_count,same_bar_tp_grid_ambiguous_count,same_bar_sl_grid_ambiguous_count,same_bar_tp_sl_ambiguous_count,same_bar_tp_trail_ambiguous_count,same_bar_sl_trail_ambiguous_count,same_bar_trail_arm_exit_count,multi_grid_same_bar_count,weekly_cutoff_closes,weekly_cutoff_net_adr
2026_01_01_00_00_00_TESTER_237,AUDCAD.i,0.000010000000,5,MT5_ORDER_FILL,7,2.600000,0.000000,2.600000,100.0000,-4.417606,4.449812,9,3.7143,2864.00,455.14,0,7,0,2.600000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,AUDCHF.i,0.000010000000,5,MT5_ORDER_FILL,14,5.000000,0.000000,5.000000,100.0000,-8.127499,8.372148,13,3.5714,6806.00,597.29,0,0,14,0.000000,5.000000,0,0,0,0,0,0,0,2,0,0.000000
2026_01_01_00_00_00_TESTER_237,AUDJPY.i,0.001000000000,3,MT5_ORDER_FILL,8,3.000000,0.000000,3.000000,100.0000,-6.085372,6.104459,11,3.7500,732.00,171.00,0,8,0,3.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,AUDNZD.i,0.000010000000,5,MT5_ORDER_FILL,2,0.300000,0.000000,0.300000,100.0000,-0.144291,0.144291,2,1.5000,38.00,35.50,0,2,0,0.300000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,AUDUSD.i,0.000010000000,5,MT5_ORDER_FILL,8,1.500000,0.000000,1.500000,100.0000,-0.913617,0.983584,5,1.8750,403.00,164.63,0,4,4,0.600000,0.900000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,CADCHF.i,0.000010000000,5,MT5_ORDER_FILL,8,1.000000,0.000000,1.000000,100.0000,-0.327089,0.350877,2,1.2500,243.00,74.75,0,8,0,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,CADJPY.i,0.001000000000,3,MT5_ORDER_FILL,10,6.200000,0.000000,6.200000,100.0000,-37.178807,38.201317,28,6.2000,12255.00,1801.60,0,5,5,5.300000,0.900000,0,0,0,0,0,0,0,1,0,0.000000
2026_01_01_00_00_00_TESTER_237,CHFJPY.i,0.001000000000,3,MT5_ORDER_FILL,16,4.600000,0.000000,4.600000,100.0000,-7.220849,7.389242,12,2.8750,4229.00,611.00,0,5,11,0.900000,3.700000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,EURAUD.i,0.000010000000,5,MT5_ORDER_FILL,20,10.900000,0.000000,10.900000,100.0000,-17.788356,18.073955,20,5.4500,8522.00,1011.05,0,20,0,10.900000,0.000000,0,0,0,0,0,0,0,3,0,0.000000
2026_01_01_00_00_00_TESTER_237,EURCAD.i,0.000010000000,5,MT5_ORDER_FILL,7,1.100000,0.000000,1.100000,100.0000,-0.289175,0.307343,3,1.5714,256.00,101.86,0,7,0,1.100000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,EURCHF.i,0.000010000000,5,MT5_ORDER_FILL,12,4.600000,0.000000,4.600000,100.0000,-13.253275,13.331878,16,3.8333,4705.00,649.42,0,8,4,4.000000,0.600000,0,0,0,0,0,0,0,2,0,0.000000
2026_01_01_00_00_00_TESTER_237,EURGBP.i,0.000010000000,5,MT5_ORDER_FILL,14,5.600000,0.000000,5.600000,100.0000,-18.916497,19.303462,19,4.0000,3715.00,493.43,0,14,0,5.600000,0.000000,0,0,0,0,0,0,0,1,0,0.000000
2026_01_01_00_00_00_TESTER_237,EURJPY.i,0.001000000000,3,MT5_ORDER_FILL,11,4.800000,0.000000,4.800000,100.0000,-45.098982,45.233195,30,4.3636,11946.00,1309.18,0,2,9,0.200000,4.600000,0,0,0,0,0,0,0,1,0,0.000000
2026_01_01_00_00_00_TESTER_237,EURNZD.i,0.000010000000,5,MT5_ORDER_FILL,14,5.400000,0.000000,5.400000,100.0000,-13.910246,13.910246,16,3.8571,5749.00,712.07,0,14,0,5.400000,0.000000,0,0,0,0,0,0,0,3,0,0.000000
2026_01_01_00_00_00_TESTER_237,EURUSD.i,0.000010000000,5,MT5_ORDER_FILL,9,1.400000,0.000000,1.400000,100.0000,-0.775520,0.810208,4,1.5556,260.00,122.89,0,6,3,0.700000,0.700000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,GBPAUD.i,0.000010000000,5,MT5_ORDER_FILL,12,6.400000,0.000000,6.400000,100.0000,-12.633693,12.762222,16,5.3333,3071.00,514.75,0,12,0,6.400000,0.000000,0,0,0,0,0,0,0,5,0,0.000000
2026_01_01_00_00_00_TESTER_237,GBPCAD.i,0.000010000000,5,MT5_ORDER_FILL,14,5.100000,0.000000,5.100000,100.0000,-5.578426,5.893695,11,3.6429,787.00,200.71,0,9,5,2.700000,2.400000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,GBPCHF.i,0.000010000000,5,MT5_ORDER_FILL,15,4.100000,0.000000,4.100000,100.0000,-3.986997,3.986997,8,2.7333,577.00,176.87,0,4,11,1.200000,2.900000,0,1,0,0,0,0,0,1,0,0.000000
2026_01_01_00_00_00_TESTER_237,GBPJPY.i,0.001000000000,3,MT5_ORDER_FILL,16,5.300000,0.000000,5.300000,100.0000,-6.920919,6.920919,12,3.3125,5037.00,512.06,0,4,12,0.600000,4.700000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,GBPNZD.i,0.000010000000,5,MT5_ORDER_FILL,11,3.100000,0.000000,3.100000,100.0000,-2.107149,2.226613,7,2.8182,688.00,202.09,0,11,0,3.100000,0.000000,0,0,0,0,0,0,0,1,0,0.000000
2026_01_01_00_00_00_TESTER_237,GBPUSD.i,0.000010000000,5,MT5_ORDER_FILL,13,2.600000,0.000000,2.600000,100.0000,-3.882257,4.156133,9,2.0000,696.00,93.08,0,7,6,1.700000,0.900000,0,0,0,0,0,0,0,1,0,0.000000
2026_01_01_00_00_00_TESTER_237,NZDCAD.i,0.000010000000,5,MT5_ORDER_FILL,16,4.500000,0.000000,4.500000,100.0000,-1.888760,2.027810,6,2.8125,476.00,180.19,0,9,7,2.900000,1.600000,0,0,0,0,0,0,0,2,0,0.000000
2026_01_01_00_00_00_TESTER_237,NZDCHF.i,0.000010000000,5,MT5_ORDER_FILL,12,3.600000,0.000000,3.600000,100.0000,-3.192240,3.192240,8,3.0000,1531.00,299.08,0,2,10,0.500000,3.100000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,NZDJPY.i,0.001000000000,3,MT5_ORDER_FILL,10,3.200000,0.000000,3.200000,100.0000,-9.151791,9.196134,13,3.2000,5082.00,597.90,0,10,0,3.200000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,NZDUSD.i,0.000010000000,5,MT5_ORDER_FILL,15,3.100000,0.000000,3.100000,100.0000,-1.218958,1.226054,5,2.0667,3145.00,326.53,0,13,2,2.800000,0.300000,0,0,0,0,0,0,0,0,0,0.000000
2026_01_01_00_00_00_TESTER_237,USDCAD.i,0.000010000000,5,MT5_ORDER_FILL,6,4.000000,-59.378693,-55.378693,100.0000,-18.054196,18.662025,19,6.6667,3482.00,1342.67,1,3,3,3.000000,1.000000,0,0,0,0,0,0,0,2,0,0.000000
2026_01_01_00_00_00_TESTER_237,USDCHF.i,0.000010000000,5,MT5_ORDER_FILL,9,2.400000,0.000000,2.400000,100.0000,-1.774024,1.888177,6,2.6667,1125.00,318.00,0,9,0,2.400000,0.000000,0,0,0,0,0,0,0,3,0,0.000000
2026_01_01_00_00_00_TESTER_237,USDJPY.i,0.001000000000,3,MT5_ORDER_FILL,16,4.900000,0.000000,4.900000,100.0000,-3.446362,4.037850,10,3.0625,3350.00,402.56,0,3,13,1.000000,3.900000,0,2,0,0,0,0,0,3,0,0.000000
