time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.07 02:30:00,AUDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.92911,,,,MT5_ORDER_FILL,,0.00475,0.92088,92.7152,WITH,UP,,0.93060,0,,0.000000,0.000000,david_blocked
2026.01.14 16:05:00,AUDCAD.i,BUY_SIGNAL,LONG,0.92716,,,,MT5_ORDER_FILL,,0.00549,0.92903,9.6038,WITH,UP,,0.92683,0,,0.000000,0.000000,signal
2026.01.14 16:05:00,AUDCAD.i,ENTRY,LONG,0.92725,0.92716,0.92725,0.92725,MT5_ORDER_FILL,0.00009,0.00549,0.92903,,WITH,UP,,0.92683,1,0.92725,0.000000,0.000000,entry
2026.01.14 16:08:00,AUDCAD.i,GRID_ADD,LONG,0.92701,0.92670,0.92701,0.92701,MT5_ORDER_FILL,0.00031,0.00549,0.92903,,WITH,UP,,0.92684,2,0.92713,-0.043676,0.000000,grid_add
2026.01.14 16:35:00,AUDCAD.i,EXIT,LONG,0.92768,0.92768,0.92752,0.92768,MT5_ORDER_FILL,-0.00016,0.00549,0.92903,,WITH,UP,,0.92728,2,0.92713,0.200000,0.200000,tp
2026.01.27 14:49:00,AUDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.95026,,,,MT5_ORDER_FILL,,0.00496,0.93175,90.6834,WITH,UP,,0.95053,0,,0.000000,0.200000,david_blocked
2026.02.06 00:43:00,AUDCAD.i,BUY_SIGNAL,LONG,0.94971,,,,MT5_ORDER_FILL,,0.00795,0.95483,8.6552,WITH,UP,,0.94949,0,,0.000000,0.200000,signal
2026.02.06 00:43:00,AUDCAD.i,ENTRY,LONG,0.95021,0.94971,0.95021,0.95021,MT5_ORDER_FILL,0.00050,0.00795,0.95483,,WITH,UP,,0.94949,1,0.95021,0.000000,0.200000,entry
2026.02.06 00:44:00,AUDCAD.i,GRID_ADD,LONG,0.95008,0.94942,0.95008,0.95008,MT5_ORDER_FILL,0.00066,0.00795,0.95483,,WITH,UP,,0.94949,2,0.95015,-0.016358,0.200000,grid_add
2026.02.06 01:25:00,AUDCAD.i,GRID_ADD,LONG,0.94860,0.94862,0.94860,0.94860,MT5_ORDER_FILL,-0.00002,0.00795,0.95483,,WITH,UP,,0.94920,3,0.94963,-0.388826,0.200000,grid_add
2026.02.06 02:01:00,AUDCAD.i,GRID_ADD,LONG,0.94791,0.94783,0.94791,0.94791,MT5_ORDER_FILL,0.00008,0.00795,0.95483,,WITH,UP,,0.94830,4,0.94920,-0.649302,0.200000,grid_add
2026.02.06 02:09:00,AUDCAD.i,GRID_ADD,LONG,0.94709,0.94703,0.94709,0.94709,MT5_ORDER_FILL,0.00006,0.00795,0.95483,,WITH,UP,,0.94796,5,0.94878,-1.062036,0.200000,grid_add
2026.02.06 03:45:00,AUDCAD.i,EXIT,LONG,0.94957,0.94957,0.94965,0.94957,MT5_ORDER_FILL,0.00008,0.00795,0.95483,,WITH,UP,,0.94874,5,0.94878,0.500000,0.700000,tp
2026.02.09 00:17:00,AUDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.95789,,,,MT5_ORDER_FILL,,0.00892,0.95619,94.4003,WITH,UP,,0.95814,0,,0.000000,0.700000,david_blocked
2026.02.11 15:29:00,AUDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.96369,,,,MT5_ORDER_FILL,,0.00884,0.95755,93.6711,WITH,UP,,0.96412,0,,0.000000,0.700000,david_blocked
2026.02.19 06:28:00,AUDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.96667,,,,MT5_ORDER_FILL,,0.00687,0.96434,92.8542,WITH,UP,,0.96724,0,,0.000000,0.700000,david_blocked
2026.02.24 16:38:00,AUDCAD.i,BUY_SIGNAL,LONG,0.96526,,,,MT5_ORDER_FILL,,0.00621,0.96570,8.0340,WITH,UP,,0.96477,0,,0.000000,0.700000,signal
2026.02.24 16:38:00,AUDCAD.i,ENTRY,LONG,0.96537,0.96526,0.96537,0.96537,MT5_ORDER_FILL,0.00011,0.00621,0.96570,,WITH,UP,,0.96477,1,0.96537,0.000000,0.700000,entry
2026.02.24 16:42:00,AUDCAD.i,EXIT,LONG,0.96599,0.96599,0.96586,0.96599,MT5_ORDER_FILL,-0.00013,0.00621,0.96570,,WITH,UP,,0.96491,1,0.96537,0.100000,0.800000,tp
2026.03.03 02:00:00,AUDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.97053,,,,MT5_ORDER_FILL,,0.00629,0.96841,94.0534,WITH,UP,,0.97137,0,,0.000000,0.800000,david_blocked
2026.03.03 12:12:00,AUDCAD.i,BUY_SIGNAL,LONG,0.96433,,,,MT5_ORDER_FILL,,0.00629,0.96841,4.3937,WITH,UP,,0.96454,0,,0.000000,0.800000,signal
2026.03.03 12:12:00,AUDCAD.i,ENTRY,LONG,0.96442,0.96433,0.96442,0.96442,MT5_ORDER_FILL,0.00009,0.00629,0.96841,,WITH,UP,,0.96454,1,0.96442,0.000000,0.800000,entry
2026.03.03 12:20:00,AUDCAD.i,GRID_ADD,LONG,0.96399,0.96379,0.96399,0.96399,MT5_ORDER_FILL,0.00020,0.00629,0.96841,,WITH,UP,,0.96436,2,0.96421,-0.068341,0.800000,grid_add
