time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.15 08:50:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.16426,,,,MT5_ORDER_FILL,,0.00568,1.16316,94.9286,WITH,UP,,1.16441,0,,0.000000,0.000000,david_blocked
2026.01.15 10:02:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.16421,,,,MT5_ORDER_FILL,,0.00568,1.16316,93.6310,WITH,UP,,1.16436,0,,0.000000,0.000000,david_blocked
2026.02.06 14:48:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.16513,,,,MT5_ORDER_FILL,,0.00663,1.15895,94.2335,WITH,UP,,1.16549,0,,0.000000,0.000000,david_blocked
2026.02.11 17:30:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.17531,,,,MT5_ORDER_FILL,,0.00629,1.15895,90.6422,WITH,UP,,1.17573,0,,0.000000,0.000000,david_blocked
2026.02.12 00:23:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.17675,,,,MT5_ORDER_FILL,,0.00678,1.16105,90.8453,WITH,UP,,1.17752,0,,0.000000,0.000000,david_blocked
2026.02.24 10:04:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.18494,,,,MT5_ORDER_FILL,,0.00635,1.16947,92.9242,WITH,UP,,1.18541,0,,0.000000,0.000000,david_blocked
2026.03.03 00:52:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.19296,,,,MT5_ORDER_FILL,,0.00622,1.17788,91.9726,WITH,UP,,1.19452,0,,0.000000,0.000000,david_blocked
2026.03.10 13:36:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.19844,,,,MT5_ORDER_FILL,,0.00675,1.19050,92.6959,WITH,UP,,1.19891,0,,0.000000,0.000000,david_blocked
2026.03.13 06:30:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.20949,,,,MT5_ORDER_FILL,,0.00809,1.19050,93.1623,WITH,UP,,1.21035,0,,0.000000,0.000000,david_blocked
2026.03.17 06:31:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.20724,,,,MT5_ORDER_FILL,,0.00748,1.19260,95.6679,WITH,UP,,1.21035,0,,0.000000,0.000000,david_blocked
2026.03.17 06:34:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.20803,,,,MT5_ORDER_FILL,,0.00748,1.19260,93.5098,WITH,UP,,1.20992,0,,0.000000,0.000000,david_blocked
2026.03.17 06:35:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.20747,,,,MT5_ORDER_FILL,,0.00748,1.19260,92.7230,WITH,UP,,1.20977,0,,0.000000,0.000000,david_blocked
2026.03.26 01:00:00,AUDNZD.i,BUY_SIGNAL,LONG,1.19621,,,,MT5_ORDER_FILL,,0.00638,1.20522,9.9535,WITH,UP,,1.19581,0,,0.000000,0.000000,signal
2026.03.26 01:00:00,AUDNZD.i,ENTRY,LONG,1.19672,1.19621,1.19672,1.19672,MT5_ORDER_FILL,0.00051,0.00638,1.20522,,WITH,UP,,1.19581,1,1.19672,0.000000,0.000000,entry
2026.03.26 01:07:00,AUDNZD.i,GRID_ADD,LONG,1.19628,1.19608,1.19628,1.19628,MT5_ORDER_FILL,0.00020,0.00638,1.20522,,WITH,UP,,1.19600,2,1.19650,-0.069009,0.000000,grid_add
2026.03.26 01:33:00,AUDNZD.i,EXIT,LONG,1.19714,1.19714,1.19709,1.19714,MT5_ORDER_FILL,-0.00005,0.00638,1.20522,,WITH,UP,,1.19667,2,1.19650,0.200000,0.200000,tp
2026.04.03 00:10:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.20732,,,,MT5_ORDER_FILL,,0.00644,1.20102,94.1329,WITH,UP,,1.20839,0,,0.000000,0.200000,david_blocked
2026.04.03 00:22:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.20713,,,,MT5_ORDER_FILL,,0.00644,1.20102,91.3785,WITH,UP,,1.20789,0,,0.000000,0.200000,david_blocked
2026.04.29 16:23:00,AUDNZD.i,SELL_BLOCKED_DAVID,SHORT,1.22279,,,,MT5_ORDER_FILL,,0.00617,1.21364,91.6800,WITH,UP,,1.22300,0,,0.000000,0.200000,david_blocked
