time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.09 10:55:00,AUDUSD.i,BUY_SIGNAL,LONG,0.66828,,,,MT5_ORDER_FILL,,0.00398,0.66968,7.6244,WITH,UP,,0.66802,0,,0.000000,0.000000,signal
2026.01.09 10:55:00,AUDUSD.i,ENTRY,LONG,0.66830,0.66828,0.66830,0.66830,MT5_ORDER_FILL,0.00002,0.00398,0.66968,,WITH,UP,,0.66802,1,0.66830,0.000000,0.000000,entry
2026.01.09 11:01:00,AUDUSD.i,BUY_SIGNAL,LONG,0.66819,,,,MT5_ORDER_FILL,,0.00398,0.66968,8.7504,WITH,UP,,0.66809,1,0.66830,0.000000,0.000000,signal
2026.01.09 12:31:00,AUDUSD.i,GRID_ADD,LONG,0.66785,0.66790,0.66785,0.66785,MT5_ORDER_FILL,-0.00005,0.00398,0.66968,,WITH,UP,,0.66811,2,0.66808,-0.113151,0.000000,grid_add
2026.01.09 13:32:00,AUDUSD.i,EXIT,LONG,0.66847,0.66847,0.66847,0.66847,MT5_ORDER_FILL,-0.00000,0.00398,0.66968,,WITH,UP,,0.66826,2,0.66808,0.200000,0.200000,tp
2026.01.12 15:41:00,AUDUSD.i,SELL_BLOCKED_DAVID,SHORT,0.67119,,,,MT5_ORDER_FILL,,0.00417,0.66968,90.7339,WITH,UP,,0.67145,0,,0.000000,0.200000,david_blocked
2026.01.12 16:04:00,AUDUSD.i,SELL_BLOCKED_DAVID,SHORT,0.67117,,,,MT5_ORDER_FILL,,0.00417,0.66968,92.8113,WITH,UP,,0.67146,0,,0.000000,0.200000,david_blocked
2026.01.14 20:52:00,AUDUSD.i,BUY_SIGNAL,LONG,0.66787,,,,MT5_ORDER_FILL,,0.00445,0.66968,7.2014,WITH,UP,,0.66753,0,,0.000000,0.200000,signal
2026.01.14 20:52:00,AUDUSD.i,ENTRY,LONG,0.66789,0.66787,0.66789,0.66789,MT5_ORDER_FILL,0.00002,0.00445,0.66968,,WITH,UP,,0.66753,1,0.66789,0.000000,0.200000,entry
2026.01.14 22:08:00,AUDUSD.i,EXIT,LONG,0.66834,0.66834,0.66828,0.66834,MT5_ORDER_FILL,-0.00006,0.00445,0.66968,,WITH,UP,,0.66799,1,0.66789,0.100000,0.300000,tp
2026.02.03 04:07:00,AUDUSD.i,SELL_BLOCKED_DAVID,SHORT,0.69697,,,,MT5_ORDER_FILL,,0.00766,0.69608,92.4259,WITH,UP,,0.69748,0,,0.000000,0.300000,david_blocked
2026.03.23 14:05:00,AUDUSD.i,BUY_SIGNAL,LONG,0.69838,,,,MT5_ORDER_FILL,,0.00986,0.70363,3.6944,WITH,UP,,0.69242,0,,0.000000,0.300000,signal
2026.03.23 14:05:00,AUDUSD.i,ENTRY,LONG,0.69835,0.69838,0.69835,0.69835,MT5_ORDER_FILL,-0.00003,0.00986,0.70363,,WITH,UP,,0.69242,1,0.69835,0.000000,0.300000,entry
2026.03.23 14:06:00,AUDUSD.i,EXIT,LONG,0.69934,0.69934,0.70184,0.69934,MT5_ORDER_FILL,0.00250,0.00986,0.70363,,WITH,UP,,0.69242,1,0.69835,0.100000,0.400000,tp
2026.03.26 01:16:00,AUDUSD.i,BUY_SIGNAL,LONG,0.69443,,,,MT5_ORDER_FILL,,0.00972,0.69860,7.9470,WITH,UP,,0.69438,0,,0.000000,0.400000,signal
2026.03.26 01:16:00,AUDUSD.i,ENTRY,LONG,0.69447,0.69443,0.69447,0.69447,MT5_ORDER_FILL,0.00004,0.00972,0.69860,,WITH,UP,,0.69438,1,0.69447,0.000000,0.400000,entry
2026.03.26 03:05:00,AUDUSD.i,BUY_SIGNAL,LONG,0.69434,,,,MT5_ORDER_FILL,,0.00972,0.69860,8.9044,WITH,UP,,0.69417,1,0.69447,0.000000,0.400000,signal
2026.03.26 05:35:00,AUDUSD.i,GRID_ADD,LONG,0.69352,0.69350,0.69352,0.69352,MT5_ORDER_FILL,0.00002,0.00972,0.69860,,WITH,UP,,0.69415,2,0.69400,-0.097706,0.400000,grid_add
2026.03.26 06:32:00,AUDUSD.i,EXIT,LONG,0.69497,0.69497,0.69505,0.69497,MT5_ORDER_FILL,0.00008,0.00972,0.69860,,WITH,UP,,0.69434,2,0.69400,0.200000,0.600000,tp
2026.04.01 15:48:00,AUDUSD.i,SELL_BLOCKED_DAVID,SHORT,0.69460,,,,MT5_ORDER_FILL,,0.00845,0.68854,91.1203,WITH,UP,,0.69493,0,,0.000000,0.600000,david_blocked
2026.04.16 04:34:00,AUDUSD.i,SELL_SIGNAL,SHORT,0.71676,,,,MT5_ORDER_FILL,,0.00743,0.70614,90.8042,WITH,DOWN,0.71715,,0,,0.000000,0.600000,signal
2026.04.16 04:34:00,AUDUSD.i,ENTRY,SHORT,0.71676,0.71676,0.71676,0.71676,MT5_ORDER_FILL,0.00000,0.00743,0.70614,,WITH,DOWN,0.71715,,1,0.71676,0.000000,0.600000,entry
2026.04.16 04:49:00,AUDUSD.i,GRID_ADD,SHORT,0.71754,0.71750,0.71754,0.71754,MT5_ORDER_FILL,0.00004,0.00743,0.70614,,WITH,DOWN,0.71705,,2,0.71715,-0.104952,0.600000,grid_add
