basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,CADJPY.i,LONG,2026.01.05 15:02:00,2026.01.05 16:30:00,WITH,UP,0.681,3,113.680,113.748,113.733,113.738,113.738,113.602,113.635,113.635,113.748,113.757,113.748,MT5_ORDER_FILL,0.300000,-0.398003,0.337788,88.00,tp
2,CADJPY.i,LONG,2026.01.05 17:04:00,2026.01.05 17:15:00,WITH,UP,0.681,1,113.732,113.800,113.729,113.732,113.732,113.729,113.732,113.732,113.800,113.806,113.800,MT5_ORDER_FILL,0.100000,-0.024967,0.114554,11.00,tp
3,CADJPY.i,LONG,2026.01.16 17:21:00,2026.01.19 07:36:00,WITH,UP,0.659,7,113.576,113.642,113.718,113.725,113.725,113.330,113.365,113.365,113.642,113.660,113.642,MT5_ORDER_FILL,0.700000,-3.020644,0.910747,3735.00,tp
4,CADJPY.i,LONG,2026.02.10 15:23:00,2026.02.19 03:38:00,WITH,UP,0.942,28,113.061,113.155,114.342,114.348,114.348,111.805,111.821,111.821,113.155,113.146,113.155,MT5_ORDER_FILL,2.800000,-38.201317,2.945424,12255.00,tp
5,CADJPY.i,LONG,2026.03.19 15:46:00,2026.03.20 06:01:00,WITH,UP,0.827,14,115.266,115.349,115.789,115.796,115.796,114.721,114.749,114.749,115.349,115.348,115.349,MT5_ORDER_FILL,1.400000,-10.352002,1.417685,855.00,tp
6,CADJPY.i,SHORT,2026.04.13 15:34:00,2026.04.13 16:59:00,WITH,DOWN,0.673,2,115.421,115.354,115.392,115.392,115.392,115.459,115.451,115.451,115.354,115.342,115.354,MT5_ORDER_FILL,0.200000,-0.289834,0.242271,85.00,tp
7,CADJPY.i,SHORT,2026.04.27 16:48:00,2026.04.27 17:45:00,WITH,DOWN,0.616,2,117.035,116.973,117.005,117.006,117.006,117.068,117.064,117.064,116.973,116.987,116.973,MT5_ORDER_FILL,0.200000,-0.168913,0.207893,57.00,tp
8,CADJPY.i,SHORT,2026.05.11 17:53:00,2026.05.12 00:58:00,WITH,DOWN,1.179,1,114.930,114.812,114.930,114.930,114.930,114.930,114.930,114.930,114.812,114.929,114.812,MT5_ORDER_FILL,0.100000,-0.089028,0.111073,425.00,tp
9,CADJPY.i,SHORT,2026.05.15 00:31:00,2026.05.15 08:07:00,WITH,DOWN,0.889,3,115.374,115.285,115.295,115.292,115.292,115.470,115.466,115.466,115.285,115.267,115.285,MT5_ORDER_FILL,0.300000,-0.319424,0.398155,456.00,tp
10,CADJPY.i,SHORT,2026.06.10 14:07:00,2026.06.10 14:56:00,WITH,DOWN,0.441,1,115.224,115.180,115.224,115.224,115.224,115.224,115.224,115.224,115.180,115.187,115.180,MT5_ORDER_FILL,0.100000,-0.040844,0.108918,49.00,tp
