basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,EURAUD.i,LONG,2026.01.06 09:07:00,2026.01.06 10:16:00,WITH,UP,0.00876,1,1.74283,1.74371,1.74282,1.74283,1.74283,1.74282,1.74283,1.74283,1.74371,1.74371,1.74371,MT5_ORDER_FILL,0.100000,-0.099304,0.101587,69.00,tp
2,EURAUD.i,LONG,2026.01.07 01:53:00,2026.01.07 02:30:00,WITH,UP,0.00958,1,1.73501,1.73597,1.73494,1.73501,1.73501,1.73494,1.73501,1.73501,1.73597,1.73852,1.73597,MT5_ORDER_FILL,0.100000,-0.039658,0.450845,37.00,tp
3,EURAUD.i,LONG,2026.01.13 00:17:00,2026.01.13 07:16:00,WITH,UP,0.00989,4,1.73795,1.73894,1.73721,1.73914,1.73914,1.73617,1.73620,1.73620,1.73894,1.73884,1.73894,MT5_ORDER_FILL,0.400000,-0.778564,0.422649,419.00,tp
4,EURAUD.i,LONG,2026.01.22 00:45:00,2026.01.27 22:47:00,WITH,UP,0.00998,20,1.71899,1.71998,1.72813,1.72898,1.72898,1.71002,1.71031,1.71031,1.71998,1.71989,1.71998,MT5_ORDER_FILL,2.000000,-18.073955,2.874035,8522.00,tp
5,EURAUD.i,LONG,2026.01.28 17:06:00,2026.01.28 17:18:00,WITH,UP,0.01079,2,1.70916,1.71024,1.70936,1.70937,1.70937,1.70829,1.70895,1.70895,1.71024,1.71001,1.71024,MT5_ORDER_FILL,0.200000,-0.231760,0.220636,12.00,tp
6,EURAUD.i,LONG,2026.01.28 17:25:00,2026.01.28 17:45:00,WITH,UP,0.01079,2,1.70852,1.70960,1.70909,1.70911,1.70911,1.70803,1.70794,1.70794,1.70960,1.70930,1.70960,MT5_ORDER_FILL,0.200000,-0.182627,0.206730,20.00,tp
7,EURAUD.i,LONG,2026.01.28 17:49:00,2026.01.29 17:12:00,WITH,UP,0.01079,19,1.69929,1.70037,1.70905,1.70905,1.70905,1.68963,1.69021,1.69021,1.70037,1.69976,1.70037,MT5_ORDER_FILL,1.900000,-17.417262,1.975526,1403.00,tp
8,EURAUD.i,LONG,2026.02.03 00:08:00,2026.02.03 17:01:00,WITH,UP,0.01490,15,1.68657,1.68806,1.69483,1.69725,1.69725,1.67638,1.67681,1.67681,1.68806,1.68799,1.68806,MT5_ORDER_FILL,1.500000,-10.361648,1.818304,1013.00,tp
9,EURAUD.i,LONG,2026.02.09 02:01:00,2026.02.09 02:48:00,WITH,UP,0.01686,1,1.68238,1.68407,1.68232,1.68238,1.68238,1.68232,1.68238,1.68238,1.68407,1.68412,1.68407,MT5_ORDER_FILL,0.100000,-0.071191,0.103227,47.00,tp
10,EURAUD.i,LONG,2026.02.26 00:45:00,2026.02.26 01:35:00,WITH,UP,0.01029,1,1.65834,1.65937,1.65806,1.65834,1.65834,1.65806,1.65834,1.65834,1.65937,1.65934,1.65937,MT5_ORDER_FILL,0.100000,-0.058286,0.112687,50.00,tp
