basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,EURGBP.i,LONG,2026.01.05 15:20:00,2026.01.05 15:33:00,WITH,UP,0.00301,1,0.86817,0.86847,0.86816,0.86817,0.86817,0.86816,0.86817,0.86817,0.86847,0.86843,0.86847,MT5_ORDER_FILL,0.100000,-0.036545,0.102990,13.00,tp
2,EURGBP.i,LONG,2026.02.03 09:13:00,2026.02.03 10:45:00,WITH,UP,0.00422,2,0.86291,0.86333,0.86304,0.86309,0.86309,0.86267,0.86273,0.86273,0.86333,0.86335,0.86333,MT5_ORDER_FILL,0.200000,-0.189573,0.218009,92.00,tp
3,EURGBP.i,LONG,2026.02.06 15:36:00,2026.02.06 15:40:00,WITH,UP,0.00407,1,0.86848,0.86889,0.86846,0.86848,0.86848,0.86846,0.86848,0.86848,0.86889,0.86886,0.86889,MT5_ORDER_FILL,0.100000,-0.012291,0.100787,4.00,tp
4,EURGBP.i,LONG,2026.02.26 00:11:00,2026.02.26 01:47:00,WITH,UP,0.00287,2,0.87120,0.87148,0.87092,0.87131,0.87131,0.87102,0.87108,0.87108,0.87148,0.87148,0.87148,MT5_ORDER_FILL,0.200000,-0.289400,0.205718,96.00,tp
5,EURGBP.i,LONG,2026.03.03 00:30:00,2026.03.03 06:49:00,WITH,UP,0.00386,3,0.87239,0.87278,0.87223,0.87257,0.87257,0.87180,0.87208,0.87208,0.87278,0.87270,0.87278,MT5_ORDER_FILL,0.300000,-0.530951,0.300440,379.00,tp
6,EURGBP.i,LONG,2026.03.12 00:56:00,2026.03.12 09:09:00,WITH,UP,0.00410,2,0.86301,0.86342,0.86255,0.86302,0.86302,0.86261,0.86300,0.86300,0.86342,0.86351,0.86342,MT5_ORDER_FILL,0.200000,-0.326670,0.243784,493.00,tp
7,EURGBP.i,LONG,2026.04.01 13:57:00,2026.04.01 15:26:00,WITH,UP,0.00392,3,0.87155,0.87194,0.87190,0.87191,0.87191,0.87113,0.87121,0.87121,0.87194,0.87173,0.87194,MT5_ORDER_FILL,0.300000,-0.509814,0.339026,89.00,tp
8,EURGBP.i,LONG,2026.04.01 15:27:00,2026.04.01 16:04:00,WITH,UP,0.00392,1,0.87202,0.87241,0.87201,0.87202,0.87202,0.87201,0.87202,0.87202,0.87241,0.87250,0.87241,MT5_ORDER_FILL,0.100000,-0.076472,0.124904,37.00,tp
9,EURGBP.i,LONG,2026.04.08 14:39:00,2026.04.08 15:59:00,WITH,UP,0.00331,3,0.86908,0.86941,0.86937,0.86938,0.86938,0.86872,0.86882,0.86882,0.86941,0.86944,0.86941,MT5_ORDER_FILL,0.300000,-0.432547,0.311555,80.00,tp
10,EURGBP.i,LONG,2026.04.22 00:48:00,2026.04.24 14:43:00,WITH,UP,0.00245,19,0.86783,0.86808,0.86951,0.86991,0.86991,0.86549,0.86554,0.86554,0.86808,0.86809,0.86808,MT5_ORDER_FILL,1.900000,-19.303462,1.979633,3715.00,tp
11,EURGBP.i,LONG,2026.05.20 16:57:00,2026.05.21 03:01:00,WITH,UP,0.00367,4,0.86504,0.86541,0.86547,0.86548,0.86548,0.86438,0.86440,0.86440,0.86541,0.86541,0.86541,MT5_ORDER_FILL,0.400000,-0.828338,0.403270,604.00,tp
12,EURGBP.i,LONG,2026.05.22 14:34:00,2026.05.22 17:30:00,WITH,UP,0.00360,4,0.86364,0.86400,0.86414,0.86415,0.86415,0.86307,0.86324,0.86324,0.86400,0.86402,0.86400,MT5_ORDER_FILL,0.400000,-0.735702,0.408107,176.00,tp
13,EURGBP.i,LONG,2026.05.26 00:33:00,2026.05.26 04:39:00,WITH,UP,0.00353,2,0.86231,0.86266,0.86201,0.86230,0.86230,0.86195,0.86232,0.86232,0.86266,0.86266,0.86266,MT5_ORDER_FILL,0.200000,-0.385160,0.203908,246.00,tp
14,EURGBP.i,LONG,2026.07.02 00:06:00,2026.07.02 14:50:00,WITH,UP,0.00325,9,0.85619,0.85651,0.85675,0.85725,0.85725,0.85465,0.85468,0.85468,0.85651,0.85650,0.85651,MT5_ORDER_FILL,0.900000,-4.372694,0.944034,884.00,tp
