time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.20 15:35:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,185.143,,,,MT5_ORDER_FILL,,0.986,184.013,93.7104,WITH,UP,,185.116,0,,0.000000,0.000000,david_blocked
2026.01.20 17:57:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,185.201,,,,MT5_ORDER_FILL,,0.986,184.013,90.7831,WITH,UP,,185.295,0,,0.000000,0.000000,david_blocked
2026.01.21 01:37:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,185.417,,,,MT5_ORDER_FILL,,1.092,184.013,92.2390,WITH,UP,,185.447,0,,0.000000,0.000000,david_blocked
2026.01.21 02:10:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,185.424,,,,MT5_ORDER_FILL,,1.092,184.013,93.7221,WITH,UP,,185.436,0,,0.000000,0.000000,david_blocked
2026.01.22 07:47:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,185.423,,,,MT5_ORDER_FILL,,1.098,184.175,90.4036,WITH,UP,,185.459,0,,0.000000,0.000000,david_blocked
2026.01.23 09:43:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,185.688,,,,MT5_ORDER_FILL,,1.178,185.147,90.3672,WITH,UP,,186.714,0,,0.000000,0.000000,david_blocked
2026.01.28 15:52:00,EURJPY.i,BUY_SIGNAL,LONG,182.763,,,,MT5_ORDER_FILL,,1.533,183.041,9.3989,WITH,UP,,182.680,0,,0.000000,0.000000,signal
2026.01.28 15:52:00,EURJPY.i,ENTRY,LONG,182.769,182.763,182.769,182.769,MT5_ORDER_FILL,0.006,1.533,183.041,,WITH,UP,,182.680,1,182.769,0.000000,0.000000,entry
2026.01.28 17:06:00,EURJPY.i,EXIT,LONG,182.922,182.922,182.888,182.922,MT5_ORDER_FILL,-0.034,1.533,183.041,,WITH,UP,,182.831,1,182.769,0.100000,0.100000,tp
2026.01.30 08:02:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,183.451,,,,MT5_ORDER_FILL,,1.593,183.203,90.8203,WITH,UP,,183.548,0,,0.000000,0.100000,david_blocked
2026.01.30 08:15:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,183.456,,,,MT5_ORDER_FILL,,1.593,183.203,90.6255,WITH,UP,,183.528,0,,0.000000,0.100000,david_blocked
2026.01.30 10:35:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,183.452,,,,MT5_ORDER_FILL,,1.593,183.203,90.4164,WITH,UP,,183.583,0,,0.000000,0.100000,david_blocked
2026.02.03 15:21:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,183.859,,,,MT5_ORDER_FILL,,1.567,183.689,92.1707,WITH,UP,,183.904,0,,0.000000,0.100000,david_blocked
2026.02.03 15:50:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,183.879,,,,MT5_ORDER_FILL,,1.567,183.689,91.6314,WITH,UP,,183.867,0,,0.000000,0.100000,david_blocked
2026.02.09 00:07:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,185.481,,,,MT5_ORDER_FILL,,1.333,184.985,97.1666,WITH,UP,,185.771,0,,0.000000,0.100000,david_blocked
2026.02.16 00:58:00,EURJPY.i,BUY_SIGNAL,LONG,181.246,,,,MT5_ORDER_FILL,,1.483,181.584,3.9454,WITH,UP,,181.189,0,,0.000000,0.100000,signal
2026.02.16 00:58:00,EURJPY.i,ENTRY,LONG,181.275,181.246,181.275,181.275,MT5_ORDER_FILL,0.029,1.483,181.584,,WITH,UP,,181.189,1,181.275,0.000000,0.100000,entry
2026.02.16 01:08:00,EURJPY.i,BUY_SIGNAL,LONG,181.251,,,,MT5_ORDER_FILL,,1.483,181.584,4.2307,WITH,UP,,181.200,1,181.275,0.000000,0.100000,signal
2026.02.16 02:08:00,EURJPY.i,EXIT,LONG,181.423,181.423,181.461,181.423,MT5_ORDER_FILL,0.038,1.483,181.584,,WITH,UP,,181.318,1,181.275,0.100000,0.200000,tp
2026.02.16 10:24:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,181.943,,,,MT5_ORDER_FILL,,1.483,181.584,94.9516,WITH,UP,,181.943,0,,0.000000,0.200000,david_blocked
2026.03.23 05:28:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,184.138,,,,MT5_ORDER_FILL,,1.051,183.041,90.2833,WITH,UP,,184.210,0,,0.000000,0.200000,david_blocked
2026.03.25 00:10:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,184.170,,,,MT5_ORDER_FILL,,1.051,183.851,91.5809,WITH,UP,,184.194,0,,0.000000,0.200000,david_blocked
2026.03.26 07:52:00,EURJPY.i,SELL_BLOCKED_DAVID,SHORT,184.432,,,,MT5_ORDER_FILL,,1.044,183.851,92.4602,WITH,UP,,184.436,0,,0.000000,0.200000,david_blocked
2026.04.09 10:32:00,EURJPY.i,SELL_SIGNAL,SHORT,185.291,,,,MT5_ORDER_FILL,,0.894,184.175,92.1137,WITH,DOWN,185.295,,0,,0.000000,0.200000,signal
2026.04.09 10:32:00,EURJPY.i,ENTRY,SHORT,185.291,185.291,185.291,185.291,MT5_ORDER_FILL,0.000,0.894,184.175,,WITH,DOWN,185.295,,1,185.291,0.000000,0.200000,entry
2026.04.09 10:58:00,EURJPY.i,GRID_ADD,SHORT,185.372,185.380,185.372,185.372,MT5_ORDER_FILL,-0.008,0.894,184.175,,WITH,DOWN,185.307,,2,185.332,-0.090594,0.200000,grid_add
2026.04.09 11:16:00,EURJPY.i,GRID_ADD,SHORT,185.491,185.470,185.491,185.491,MT5_ORDER_FILL,0.021,0.894,184.175,,WITH,DOWN,185.388,,3,185.385,-0.356783,0.200000,grid_add
2026.04.09 11:30:00,EURJPY.i,GRID_ADD,SHORT,185.561,185.559,185.561,185.561,MT5_ORDER_FILL,0.002,0.894,184.175,,WITH,DOWN,185.476,,4,185.429,-0.591656,0.200000,grid_add
2026.04.09 12:21:00,EURJPY.i,GRID_ADD,SHORT,185.651,185.649,185.651,185.651,MT5_ORDER_FILL,0.002,0.894,184.175,,WITH,DOWN,185.588,,5,185.473,-0.994296,0.200000,grid_add
2026.04.09 15:13:00,EURJPY.i,GRID_ADD,SHORT,185.754,185.738,185.754,185.754,MT5_ORDER_FILL,0.016,0.894,184.337,,WITH,DOWN,185.692,,6,185.520,-1.570294,0.200000,grid_add
2026.04.09 15:30:00,EURJPY.i,GRID_ADD,SHORT,185.812,185.827,185.812,185.812,MT5_ORDER_FILL,-0.015,0.894,184.337,,WITH,DOWN,185.758,,7,185.562,-1.959512,0.200000,grid_add
2026.04.09 17:25:00,EURJPY.i,GRID_ADD,SHORT,185.905,185.917,185.905,185.905,MT5_ORDER_FILL,-0.012,0.894,184.337,,WITH,DOWN,185.828,,8,185.605,-2.687619,0.200000,grid_add
2026.04.09 17:57:00,EURJPY.i,GRID_ADD,SHORT,186.005,186.006,186.005,186.005,MT5_ORDER_FILL,-0.001,0.894,184.499,,WITH,DOWN,185.904,,9,185.649,-3.582373,0.200000,grid_add
2026.04.09 18:17:00,EURJPY.i,GRID_ADD,SHORT,186.093,186.096,186.093,186.093,MT5_ORDER_FILL,-0.003,0.894,184.499,,WITH,DOWN,186.002,,10,185.693,-4.468180,0.200000,grid_add
2026.04.09 18:22:00,EURJPY.i,GRID_ADD,SHORT,186.187,186.185,186.187,186.187,MT5_ORDER_FILL,0.002,0.894,184.661,,WITH,DOWN,186.039,,11,185.738,-5.519517,0.200000,grid_add
2026.04.10 12:19:00,EURJPY.i,GRID_ADD,SHORT,186.420,186.275,186.420,186.420,MT5_ORDER_FILL,0.145,0.894,184.985,,WITH,DOWN,186.165,,12,185.795,-8.386087,0.200000,grid_add
2026.04.10 12:19:00,EURJPY.i,GRID_ADD,SHORT,186.420,186.364,186.420,186.420,MT5_ORDER_FILL,0.056,0.894,184.985,,WITH,DOWN,186.165,,13,185.843,-8.386087,0.200000,grid_add
2026.04.10 12:54:00,EURJPY.i,GRID_ADD,SHORT,186.465,186.453,186.465,186.465,MT5_ORDER_FILL,0.012,0.894,184.985,,WITH,DOWN,186.345,,14,185.888,-9.040376,0.200000,grid_add
2026.04.10 14:13:00,EURJPY.i,GRID_ADD,SHORT,186.543,186.543,186.543,186.543,MT5_ORDER_FILL,0.000,0.894,184.985,,WITH,DOWN,186.500,,15,185.931,-10.261716,0.200000,grid_add
2026.04.10 16:28:00,EURJPY.i,GRID_ADD,SHORT,186.653,186.632,186.653,186.653,MT5_ORDER_FILL,0.021,0.894,185.147,,WITH,DOWN,186.567,,16,185.976,-12.107147,0.200000,grid_add
2026.04.10 17:01:00,EURJPY.i,GRID_ADD,SHORT,186.749,186.722,186.749,186.749,MT5_ORDER_FILL,0.027,0.894,185.147,,WITH,DOWN,186.664,,17,186.022,-13.825075,0.200000,grid_add
2026.04.10 21:25:00,EURJPY.i,GRID_ADD,SHORT,186.806,186.811,186.806,186.806,MT5_ORDER_FILL,-0.005,0.894,185.147,,WITH,DOWN,186.764,,18,186.065,-14.908847,0.200000,grid_add
2026.04.13 16:05:00,EURJPY.i,GRID_ADD,SHORT,186.898,186.900,186.898,186.898,MT5_ORDER_FILL,-0.002,0.894,185.471,,WITH,DOWN,186.821,,19,186.109,-16.760989,0.200000,grid_add
2026.04.13 16:58:00,EURJPY.i,SELL_SIGNAL,SHORT,186.772,,,,MT5_ORDER_FILL,,1.005,185.471,91.5728,WITH,DOWN,186.857,,19,186.109,0.000000,0.200000,signal
2026.04.13 18:36:00,EURJPY.i,GRID_ADD,SHORT,186.989,186.990,186.989,186.989,MT5_ORDER_FILL,-0.001,0.894,185.794,,WITH,DOWN,186.953,,20,186.153,-18.694777,0.200000,grid_add
2026.04.13 19:06:00,EURJPY.i,GRID_ADD,SHORT,187.080,187.079,187.080,187.080,MT5_ORDER_FILL,0.001,0.894,185.794,,WITH,DOWN,187.046,,21,186.197,-20.730343,0.200000,grid_add
2026.04.13 21:31:00,EURJPY.i,GRID_ADD,SHORT,187.165,187.169,187.165,187.165,MT5_ORDER_FILL,-0.004,0.894,185.794,,WITH,DOWN,187.035,,22,186.241,-22.726764,0.200000,grid_add
2026.04.13 21:43:00,EURJPY.i,GRID_ADD,SHORT,187.257,187.258,187.257,187.257,MT5_ORDER_FILL,-0.001,0.894,185.794,,WITH,DOWN,187.137,,23,186.286,-24.990493,0.200000,grid_add
2026.04.13 21:58:00,EURJPY.i,GRID_ADD,SHORT,187.371,187.347,187.371,187.371,MT5_ORDER_FILL,0.024,0.894,185.956,,WITH,DOWN,187.258,,24,186.331,-27.923051,0.200000,grid_add
2026.04.13 21:59:00,EURJPY.i,GRID_ADD,SHORT,187.437,187.437,187.437,187.437,MT5_ORDER_FILL,0.000,0.894,185.956,,WITH,DOWN,187.267,,25,186.375,-29.694665,0.200000,grid_add
2026.04.14 10:02:00,EURJPY.i,GRID_ADD,SHORT,187.481,187.526,187.481,187.481,MT5_ORDER_FILL,-0.045,0.894,186.118,,WITH,DOWN,187.398,,26,186.418,-30.924952,0.200000,grid_add
2026.04.15 18:15:00,EURJPY.i,GRID_ADD,SHORT,187.608,187.616,187.608,187.608,MT5_ORDER_FILL,-0.008,0.894,186.604,,WITH,DOWN,187.570,,27,186.462,-34.618052,0.200000,grid_add
2026.04.15 19:21:00,EURJPY.i,SELL_SIGNAL,SHORT,187.467,,,,MT5_ORDER_FILL,,0.913,186.604,92.2548,WITH,DOWN,187.594,,27,186.462,0.000000,0.200000,signal
2026.04.17 03:56:00,EURJPY.i,GRID_ADD,SHORT,187.708,187.705,187.708,187.708,MT5_ORDER_FILL,0.003,0.894,186.766,,WITH,DOWN,187.624,,28,186.506,-37.637848,0.200000,grid_add
2026.04.17 06:42:00,EURJPY.i,GRID_ADD,SHORT,187.795,187.794,187.795,187.795,MT5_ORDER_FILL,0.001,0.894,186.766,,WITH,DOWN,187.747,,29,186.551,-40.362376,0.200000,grid_add
2026.04.17 07:47:00,EURJPY.i,GRID_ADD,SHORT,187.880,187.884,187.880,187.880,MT5_ORDER_FILL,-0.004,0.894,186.766,,WITH,DOWN,187.849,,30,186.595,-43.119338,0.200000,grid_add
2026.04.17 17:38:00,EURJPY.i,EXIT,SHORT,186.505,186.505,186.481,186.505,MT5_ORDER_FILL,-0.024,0.894,187.090,,WITH,DOWN,186.719,,30,186.595,3.000000,3.200000,tp
2026.04.23 15:42:00,EURJPY.i,BUY_BLOCKED_DAVID,LONG,186.548,,,,MT5_ORDER_FILL,,0.898,187.252,6.4017,WITH,DOWN,186.490,,0,,0.000000,3.200000,david_blocked
2026.04.30 10:56:00,EURJPY.i,SELL_SIGNAL,SHORT,187.261,,,,MT5_ORDER_FILL,,0.732,186.766,92.5640,WITH,DOWN,187.506,,0,,0.000000,3.200000,signal
2026.04.30 10:56:00,EURJPY.i,ENTRY,SHORT,187.237,187.261,187.237,187.237,MT5_ORDER_FILL,-0.024,0.732,186.766,,WITH,DOWN,187.506,,1,187.237,0.000000,3.200000,entry
2026.04.30 10:57:00,EURJPY.i,EXIT,SHORT,187.164,187.164,187.070,187.164,MT5_ORDER_FILL,-0.094,0.732,186.766,,WITH,DOWN,187.506,,1,187.237,0.100000,3.300000,tp
2026.05.07 20:41:00,EURJPY.i,SELL_SIGNAL,SHORT,184.112,,,,MT5_ORDER_FILL,,1.608,183.527,93.6305,WITH,DOWN,184.150,,0,,0.000000,3.300000,signal
2026.05.07 20:41:00,EURJPY.i,ENTRY,SHORT,184.111,184.112,184.111,184.111,MT5_ORDER_FILL,-0.001,1.608,183.527,,WITH,DOWN,184.150,,1,184.111,0.000000,3.300000,entry
2026.05.07 23:58:00,EURJPY.i,EXIT,SHORT,183.950,,,,MT5_ORDER_FILL,,1.608,183.527,,WITH,DOWN,184.049,,1,184.111,0.100000,3.400000,tp
2026.05.12 00:46:00,EURJPY.i,SELL_SIGNAL,SHORT,185.109,,,,MT5_ORDER_FILL,,1.758,183.689,90.2841,WITH,DOWN,185.143,,0,,0.000000,3.400000,signal
2026.05.12 00:46:00,EURJPY.i,ENTRY,SHORT,185.111,185.109,185.111,185.111,MT5_ORDER_FILL,0.002,1.758,183.689,,WITH,DOWN,185.143,,1,185.111,0.000000,3.400000,entry
2026.05.12 01:30:00,EURJPY.i,GRID_ADD,SHORT,185.273,185.287,185.273,185.273,MT5_ORDER_FILL,-0.014,1.758,183.689,,WITH,DOWN,185.262,,2,185.192,-0.092171,3.400000,grid_add
2026.05.12 08:55:00,EURJPY.i,EXIT,SHORT,185.016,185.016,184.528,185.016,MT5_ORDER_FILL,-0.488,1.758,183.689,,WITH,DOWN,185.417,,2,185.192,0.200000,3.600000,tp
2026.05.14 07:12:00,EURJPY.i,SELL_SIGNAL,SHORT,184.884,,,,MT5_ORDER_FILL,,1.750,184.337,90.5639,WITH,DOWN,184.968,,0,,0.000000,3.600000,signal
2026.05.14 07:12:00,EURJPY.i,ENTRY,SHORT,184.884,184.884,184.884,184.884,MT5_ORDER_FILL,0.000,1.750,184.337,,WITH,DOWN,184.968,,1,184.884,0.000000,3.600000,entry
2026.05.14 16:31:00,EURJPY.i,EXIT,SHORT,184.709,184.709,184.722,184.709,MT5_ORDER_FILL,0.013,1.750,184.337,,WITH,DOWN,184.756,,1,184.884,0.100000,3.700000,tp
2026.05.21 04:53:00,EURJPY.i,SELL_SIGNAL,SHORT,184.719,,,,MT5_ORDER_FILL,,0.878,184.661,90.4245,WITH,DOWN,184.764,,0,,0.000000,3.700000,signal
2026.05.21 04:53:00,EURJPY.i,ENTRY,SHORT,184.715,184.719,184.715,184.715,MT5_ORDER_FILL,-0.004,0.878,184.661,,WITH,DOWN,184.764,,1,184.715,0.000000,3.700000,entry
2026.05.21 05:34:00,EURJPY.i,EXIT,SHORT,184.627,184.627,184.637,184.627,MT5_ORDER_FILL,0.010,0.878,184.661,,WITH,DOWN,184.691,,1,184.715,0.100000,3.800000,tp
2026.05.25 14:57:00,EURJPY.i,SELL_SIGNAL,SHORT,185.071,,,,MT5_ORDER_FILL,,0.802,184.661,93.2418,WITH,DOWN,185.088,,0,,0.000000,3.800000,signal
2026.05.25 14:57:00,EURJPY.i,ENTRY,SHORT,185.071,185.071,185.071,185.071,MT5_ORDER_FILL,0.000,0.802,184.661,,WITH,DOWN,185.088,,1,185.071,0.000000,3.800000,entry
2026.05.25 16:44:00,EURJPY.i,EXIT,SHORT,184.991,184.991,185.003,184.991,MT5_ORDER_FILL,0.012,0.802,184.661,,WITH,DOWN,185.026,,1,185.071,0.100000,3.900000,tp
2026.06.05 12:00:00,EURJPY.i,SELL_SIGNAL,SHORT,186.104,,,,MT5_ORDER_FILL,,0.656,185.632,90.8602,WITH,DOWN,186.128,,0,,0.000000,3.900000,signal
2026.06.05 12:00:00,EURJPY.i,ENTRY,SHORT,186.105,186.104,186.105,186.105,MT5_ORDER_FILL,0.001,0.656,185.632,,WITH,DOWN,186.128,,1,186.105,0.000000,3.900000,entry
2026.06.05 12:09:00,EURJPY.i,GRID_ADD,SHORT,186.170,186.171,186.170,186.170,MT5_ORDER_FILL,-0.001,0.656,185.632,,WITH,DOWN,186.134,,2,186.137,-0.099100,3.900000,grid_add
2026.06.05 12:33:00,EURJPY.i,SELL_SIGNAL,SHORT,186.105,,,,MT5_ORDER_FILL,,0.656,185.632,94.3923,WITH,DOWN,186.156,,2,186.137,0.000000,3.900000,signal
2026.06.05 14:06:00,EURJPY.i,EXIT,SHORT,186.072,186.072,186.076,186.072,MT5_ORDER_FILL,0.004,0.656,185.632,,WITH,DOWN,186.140,,2,186.137,0.200000,4.100000,tp
2026.06.23 15:01:00,EURJPY.i,BUY_BLOCKED_DAVID,LONG,184.062,,,,MT5_ORDER_FILL,,0.929,184.823,8.7479,WITH,DOWN,184.050,,0,,0.000000,4.100000,david_blocked
2026.06.24 00:59:00,EURJPY.i,BUY_BLOCKED_DAVID,LONG,183.838,,,,MT5_ORDER_FILL,,0.949,184.661,6.9728,WITH,DOWN,183.854,,0,,0.000000,4.100000,david_blocked
2026.06.24 16:32:00,EURJPY.i,BUY_BLOCKED_DAVID,LONG,183.415,,,,MT5_ORDER_FILL,,0.949,184.661,7.2272,WITH,DOWN,183.270,,0,,0.000000,4.100000,david_blocked
2026.06.29 17:15:00,EURJPY.i,SELL_SIGNAL,SHORT,184.662,,,,MT5_ORDER_FILL,,1.008,184.337,92.4620,WITH,DOWN,184.731,,0,,0.000000,4.100000,signal
2026.06.29 17:15:00,EURJPY.i,ENTRY,SHORT,184.661,184.662,184.661,184.661,MT5_ORDER_FILL,-0.001,1.008,184.337,,WITH,DOWN,184.731,,1,184.661,0.000000,4.100000,entry
2026.06.29 17:16:00,EURJPY.i,GRID_ADD,SHORT,184.762,184.762,184.762,184.762,MT5_ORDER_FILL,0.000,1.008,184.337,,WITH,DOWN,184.731,,2,184.712,-0.100248,4.100000,grid_add
2026.06.29 17:22:00,EURJPY.i,GRID_ADD,SHORT,184.854,184.863,184.854,184.854,MT5_ORDER_FILL,-0.008,1.008,184.337,,WITH,DOWN,184.754,,3,184.759,-0.282878,4.100000,grid_add
