basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPJPY.i,LONG,2026.02.27 09:27:00,2026.02.27 09:51:00,WITH,UP,1.714,1,210.361,210.532,210.345,210.361,210.361,210.345,210.361,210.361,210.532,210.527,210.532,MT5_ORDER_FILL,0.100000,-0.079921,0.103839,24.00,tp
2,GBPJPY.i,LONG,2026.03.13 18:47:00,2026.03.13 20:12:00,WITH,UP,1.409,1,211.276,211.417,211.266,211.276,211.276,211.266,211.276,211.276,211.417,211.402,211.417,MT5_ORDER_FILL,0.100000,-0.095833,0.100092,85.00,tp
3,GBPJPY.i,LONG,2026.03.16 00:55:00,2026.03.16 05:42:00,WITH,UP,1.486,3,211.355,211.503,211.102,211.396,211.396,211.099,211.270,211.270,211.503,211.522,211.503,MT5_ORDER_FILL,0.300000,-0.727982,0.349862,287.00,tp
4,GBPJPY.i,LONG,2026.04.02 09:52:00,2026.04.02 10:10:00,WITH,UP,1.329,1,210.706,210.839,210.697,210.706,210.706,210.697,210.706,210.706,210.839,210.844,210.839,MT5_ORDER_FILL,0.100000,-0.044398,0.110618,18.00,tp
5,GBPJPY.i,SHORT,2026.04.06 17:38:00,2026.04.06 18:30:00,WITH,DOWN,1.236,2,211.396,211.272,211.355,211.355,211.355,211.479,211.437,211.437,211.272,211.287,211.272,MT5_ORDER_FILL,0.200000,-0.192525,0.211940,52.00,tp
6,GBPJPY.i,SHORT,2026.04.08 00:05:00,2026.04.08 06:27:00,WITH,DOWN,1.233,7,212.301,212.178,211.947,211.940,211.940,212.680,212.678,212.678,212.178,212.210,212.178,MT5_ORDER_FILL,0.700000,-2.733760,0.746087,382.00,tp
7,GBPJPY.i,SHORT,2026.04.08 16:06:00,2026.04.08 17:47:00,WITH,DOWN,1.233,2,212.828,212.705,212.753,212.752,212.752,212.875,212.904,212.904,212.705,212.719,212.705,MT5_ORDER_FILL,0.200000,-0.267618,0.210851,101.00,tp
8,GBPJPY.i,SHORT,2026.04.09 12:06:00,2026.04.13 00:03:00,WITH,DOWN,1.284,12,213.833,213.704,213.133,213.133,213.133,214.545,214.544,214.544,213.704,213.908,213.704,MT5_ORDER_FILL,1.200000,-6.920919,2.035840,5037.00,tp
9,GBPJPY.i,SHORT,2026.04.17 08:18:00,2026.04.17 09:05:00,WITH,DOWN,1.151,1,215.626,215.511,215.626,215.626,215.626,215.626,215.626,215.626,215.511,215.516,215.511,MT5_ORDER_FILL,0.100000,-0.035606,0.100738,47.00,tp
10,GBPJPY.i,SHORT,2026.04.27 14:02:00,2026.04.27 15:58:00,WITH,DOWN,1.004,3,215.873,215.773,215.772,215.770,215.770,215.971,215.984,215.984,215.773,215.799,215.773,MT5_ORDER_FILL,0.300000,-0.518976,0.335691,116.00,tp
11,GBPJPY.i,SHORT,2026.04.30 10:56:00,2026.04.30 10:57:00,WITH,DOWN,0.902,1,216.219,216.129,216.247,216.219,216.219,216.247,216.219,216.219,216.129,216.057,216.129,MT5_ORDER_FILL,0.100000,-0.016624,0.679375,1.00,tp
12,GBPJPY.i,SHORT,2026.05.05 12:02:00,2026.05.05 12:30:00,WITH,DOWN,1.599,3,213.239,213.079,213.087,213.087,213.087,213.407,213.397,213.397,213.079,212.997,213.079,MT5_ORDER_FILL,0.300000,-0.360783,0.841618,28.00,tp
13,GBPJPY.i,SHORT,2026.05.21 10:15:00,2026.05.21 10:19:00,WITH,DOWN,1.393,1,213.609,213.470,213.610,213.609,213.609,213.610,213.609,213.609,213.470,213.459,213.470,MT5_ORDER_FILL,0.100000,-0.006459,0.114101,4.00,tp
14,GBPJPY.i,SHORT,2026.06.02 17:53:00,2026.06.02 20:06:00,WITH,DOWN,0.832,3,215.389,215.306,215.305,215.306,215.306,215.472,215.475,215.475,215.306,215.299,215.306,MT5_ORDER_FILL,0.300000,-0.485694,0.405145,133.00,tp
15,GBPJPY.i,SHORT,2026.06.22 06:55:00,2026.06.22 09:44:00,WITH,DOWN,1.245,2,213.581,213.456,213.524,213.524,213.524,213.649,213.638,213.638,213.456,213.450,213.456,MT5_ORDER_FILL,0.200000,-0.202328,0.228021,169.00,tp
16,GBPJPY.i,SHORT,2026.06.29 11:03:00,2026.06.30 15:32:00,WITH,DOWN,1.306,10,214.347,214.217,213.784,213.785,213.785,214.960,214.743,214.743,214.217,214.585,214.217,MT5_ORDER_FILL,1.000000,-4.995787,1.128303,1709.00,tp
