time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.06 00:14:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,211.553,,,,MT5_ORDER_FILL,,1.218,211.080,95.9344,WITH,UP,,211.686,0,,0.000000,0.000000,david_blocked
2026.01.09 15:48:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,211.581,,,,MT5_ORDER_FILL,,0.939,211.080,90.2944,WITH,UP,,211.612,0,,0.000000,0.000000,david_blocked
2026.01.22 19:20:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,213.417,,,,MT5_ORDER_FILL,,1.389,212.610,93.8703,WITH,UP,,213.521,0,,0.000000,0.000000,david_blocked
2026.01.30 14:26:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,212.008,,,,MT5_ORDER_FILL,,1.835,211.358,92.0780,WITH,UP,,212.035,0,,0.000000,0.000000,david_blocked
2026.01.30 17:48:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,211.991,,,,MT5_ORDER_FILL,,1.835,211.497,91.4250,WITH,UP,,212.264,0,,0.000000,0.000000,david_blocked
2026.02.03 04:16:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,212.637,,,,MT5_ORDER_FILL,,1.858,212.193,92.6267,WITH,UP,,212.725,0,,0.000000,0.000000,david_blocked
2026.02.09 00:05:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,213.925,,,,MT5_ORDER_FILL,,1.915,212.610,97.4038,WITH,UP,,213.994,0,,0.000000,0.000000,david_blocked
2026.02.27 09:27:00,GBPJPY.i,BUY_SIGNAL,LONG,210.345,,,,MT5_ORDER_FILL,,1.714,211.080,8.9462,WITH,UP,,210.085,0,,0.000000,0.000000,signal
2026.02.27 09:27:00,GBPJPY.i,ENTRY,LONG,210.361,210.345,210.361,210.361,MT5_ORDER_FILL,0.016,1.714,211.080,,WITH,UP,,210.085,1,210.361,0.000000,0.000000,entry
2026.02.27 09:51:00,GBPJPY.i,EXIT,LONG,210.532,210.532,210.527,210.532,MT5_ORDER_FILL,-0.005,1.714,211.080,,WITH,UP,,210.359,1,210.361,0.100000,0.100000,tp
2026.03.02 08:19:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,210.205,,,,MT5_ORDER_FILL,,1.663,210.106,90.3194,WITH,UP,,210.314,0,,0.000000,0.100000,david_blocked
2026.03.02 08:21:00,GBPJPY.i,SELL_BLOCKED_DAVID,SHORT,210.217,,,,MT5_ORDER_FILL,,1.663,210.106,90.0849,WITH,UP,,210.301,0,,0.000000,0.100000,david_blocked
2026.03.13 18:47:00,GBPJPY.i,BUY_SIGNAL,LONG,211.266,,,,MT5_ORDER_FILL,,1.409,212.471,9.2045,WITH,UP,,211.203,0,,0.000000,0.100000,signal
2026.03.13 18:47:00,GBPJPY.i,ENTRY,LONG,211.276,211.266,211.276,211.276,MT5_ORDER_FILL,0.010,1.409,212.471,,WITH,UP,,211.203,1,211.276,0.000000,0.100000,entry
2026.03.13 20:12:00,GBPJPY.i,EXIT,LONG,211.417,211.417,211.402,211.417,MT5_ORDER_FILL,-0.015,1.409,212.471,,WITH,UP,,211.338,1,211.276,0.100000,0.200000,tp
2026.03.16 00:55:00,GBPJPY.i,BUY_SIGNAL,LONG,211.102,,,,MT5_ORDER_FILL,,1.486,212.054,5.5819,WITH,UP,,211.023,0,,0.000000,0.200000,signal
2026.03.16 00:55:00,GBPJPY.i,ENTRY,LONG,211.396,211.102,211.396,211.396,MT5_ORDER_FILL,0.294,1.486,212.054,,WITH,UP,,211.023,1,211.396,0.000000,0.200000,entry
2026.03.16 00:56:00,GBPJPY.i,GRID_ADD,LONG,211.398,211.247,211.398,211.398,MT5_ORDER_FILL,0.151,1.486,212.054,,WITH,UP,,211.023,2,211.397,0.001346,0.200000,grid_add
2026.03.16 01:00:00,GBPJPY.i,GRID_ADD,LONG,211.270,211.099,211.270,211.270,MT5_ORDER_FILL,0.171,1.486,212.054,,WITH,UP,,211.046,3,211.355,-0.170894,0.200000,grid_add
2026.03.16 01:04:00,GBPJPY.i,BUY_SIGNAL,LONG,211.140,,,,MT5_ORDER_FILL,,1.486,212.054,6.4584,WITH,UP,,211.053,3,211.355,0.000000,0.200000,signal
2026.03.16 05:42:00,GBPJPY.i,EXIT,LONG,211.503,211.503,211.522,211.503,MT5_ORDER_FILL,0.019,1.486,211.497,,WITH,UP,,211.465,3,211.355,0.300000,0.500000,tp
2026.04.02 09:52:00,GBPJPY.i,BUY_SIGNAL,LONG,210.697,,,,MT5_ORDER_FILL,,1.329,210.802,8.5223,WITH,UP,,210.526,0,,0.000000,0.500000,signal
2026.04.02 09:52:00,GBPJPY.i,ENTRY,LONG,210.706,210.697,210.706,210.706,MT5_ORDER_FILL,0.009,1.329,210.802,,WITH,UP,,210.526,1,210.706,0.000000,0.500000,entry
2026.04.02 10:10:00,GBPJPY.i,EXIT,LONG,210.839,210.839,210.844,210.839,MT5_ORDER_FILL,0.005,1.329,210.802,,WITH,UP,,210.685,1,210.706,0.100000,0.600000,tp
2026.04.06 17:38:00,GBPJPY.i,SELL_SIGNAL,SHORT,211.355,,,,MT5_ORDER_FILL,,1.236,210.802,91.9023,WITH,DOWN,211.444,,0,,0.000000,0.600000,signal
2026.04.06 17:38:00,GBPJPY.i,ENTRY,SHORT,211.355,211.355,211.355,211.355,MT5_ORDER_FILL,0.000,1.236,210.802,,WITH,DOWN,211.444,,1,211.355,0.000000,0.600000,entry
2026.04.06 17:44:00,GBPJPY.i,GRID_ADD,SHORT,211.437,211.479,211.437,211.437,MT5_ORDER_FILL,-0.042,1.236,210.802,,WITH,DOWN,211.447,,2,211.396,-0.066332,0.600000,grid_add
2026.04.06 17:51:00,GBPJPY.i,SELL_SIGNAL,SHORT,211.355,,,,MT5_ORDER_FILL,,1.236,210.802,92.9452,WITH,DOWN,211.455,,2,211.396,0.000000,0.600000,signal
2026.04.06 18:30:00,GBPJPY.i,EXIT,SHORT,211.272,211.272,211.287,211.272,MT5_ORDER_FILL,0.015,1.236,210.802,,WITH,DOWN,211.336,,2,211.396,0.200000,0.800000,tp
2026.04.08 00:05:00,GBPJPY.i,SELL_SIGNAL,SHORT,211.947,,,,MT5_ORDER_FILL,,1.233,211.219,95.3999,WITH,DOWN,212.161,,0,,0.000000,0.800000,signal
2026.04.08 00:05:00,GBPJPY.i,ENTRY,SHORT,211.940,211.947,211.940,211.940,MT5_ORDER_FILL,-0.007,1.233,211.219,,WITH,DOWN,212.161,,1,211.940,0.000000,0.800000,entry
2026.04.08 00:11:00,GBPJPY.i,SELL_SIGNAL,SHORT,211.941,,,,MT5_ORDER_FILL,,1.233,211.219,93.5623,WITH,DOWN,212.102,,1,211.940,0.000000,0.800000,signal
2026.04.08 00:12:00,GBPJPY.i,GRID_ADD,SHORT,211.939,212.063,211.939,211.939,MT5_ORDER_FILL,-0.124,1.233,211.219,,WITH,DOWN,212.102,,2,211.940,0.000811,0.800000,grid_add
2026.04.08 00:12:00,GBPJPY.i,SELL_SIGNAL,SHORT,211.939,,,,MT5_ORDER_FILL,,1.233,211.219,93.2217,WITH,DOWN,212.091,,2,211.940,0.000000,0.800000,signal
2026.04.08 00:45:00,GBPJPY.i,GRID_ADD,SHORT,212.142,212.187,212.142,212.142,MT5_ORDER_FILL,-0.045,1.233,211.219,,WITH,DOWN,212.111,,3,212.007,-0.328441,0.800000,grid_add
2026.04.08 01:06:00,GBPJPY.i,GRID_ADD,SHORT,212.342,212.310,212.342,212.342,MT5_ORDER_FILL,0.032,1.233,211.219,,WITH,DOWN,212.151,,4,212.091,-0.815019,0.800000,grid_add
2026.04.08 01:38:00,GBPJPY.i,GRID_ADD,SHORT,212.513,212.433,212.513,212.513,MT5_ORDER_FILL,0.080,1.233,211.219,,WITH,DOWN,212.304,,5,212.175,-1.369719,0.800000,grid_add
2026.04.08 01:51:00,GBPJPY.i,GRID_ADD,SHORT,212.556,212.557,212.556,212.556,MT5_ORDER_FILL,-0.001,1.233,211.358,,WITH,DOWN,212.421,,6,212.239,-1.544076,0.800000,grid_add
2026.04.08 02:26:00,GBPJPY.i,GRID_ADD,SHORT,212.678,212.680,212.678,212.678,MT5_ORDER_FILL,-0.002,1.233,211.358,,WITH,DOWN,212.503,,7,212.301,-2.137702,0.800000,grid_add
2026.04.08 06:27:00,GBPJPY.i,EXIT,SHORT,212.178,212.178,212.210,212.178,MT5_ORDER_FILL,0.032,1.233,211.636,,WITH,DOWN,212.245,,7,212.301,0.700000,1.500000,tp
2026.04.08 16:06:00,GBPJPY.i,SELL_SIGNAL,SHORT,212.753,,,,MT5_ORDER_FILL,,1.233,212.332,90.2750,WITH,DOWN,212.933,,0,,0.000000,1.500000,signal
