basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPNZD.i,LONG,2026.01.16 01:01:00,2026.01.16 12:29:00,WITH,UP,0.01088,7,2.32692,2.32801,2.33001,2.33010,2.33010,2.32357,2.32368,2.32368,2.32801,2.32776,2.32801,MT5_ORDER_FILL,0.700000,-2.226613,0.719537,688.00,tp
2,GBPNZD.i,LONG,2026.01.19 14:14:00,2026.01.19 15:51:00,WITH,UP,0.01022,2,2.31776,2.31878,2.31815,2.31820,2.31820,2.31718,2.31732,2.31732,2.31878,2.31888,2.31878,MT5_ORDER_FILL,0.200000,-0.127189,0.226984,97.00,tp
3,GBPNZD.i,LONG,2026.01.30 00:48:00,2026.01.30 02:50:00,WITH,UP,0.01554,2,2.27340,2.27495,2.27121,2.27285,2.27285,2.27130,2.27395,2.27395,2.27495,2.27485,2.27495,MT5_ORDER_FILL,0.200000,-0.338525,0.222680,122.00,tp
4,GBPNZD.i,LONG,2026.02.11 00:07:00,2026.02.11 10:30:00,WITH,UP,0.01586,5,2.25768,2.25927,2.25732,2.25955,2.25955,2.25320,2.25314,2.25314,2.25927,2.25929,2.25927,MT5_ORDER_FILL,0.500000,-1.854000,0.516296,623.00,tp
5,GBPNZD.i,LONG,2026.02.17 16:50:00,2026.02.17 17:13:00,WITH,UP,0.01425,1,2.24720,2.24862,2.24712,2.24720,2.24720,2.24712,2.24720,2.24720,2.24862,2.24845,2.24862,MT5_ORDER_FILL,0.100000,-0.086340,0.100379,23.00,tp
6,GBPNZD.i,LONG,2026.02.18 00:08:00,2026.02.18 03:00:00,WITH,UP,0.01438,4,2.24504,2.24647,2.24209,2.24556,2.24556,2.24124,2.24486,2.24486,2.24647,2.25254,2.24647,MT5_ORDER_FILL,0.400000,-1.347330,2.387375,172.00,tp
7,GBPNZD.i,LONG,2026.02.23 01:01:00,2026.02.23 02:51:00,WITH,UP,0.01383,3,2.25593,2.25731,2.25713,2.25727,2.25727,2.25450,2.25446,2.25446,2.25731,2.25690,2.25731,MT5_ORDER_FILL,0.300000,-0.431577,0.318803,110.00,tp
8,GBPNZD.i,LONG,2026.02.27 10:06:00,2026.02.27 10:48:00,WITH,UP,0.01331,2,2.25293,2.25427,2.25351,2.25361,2.25361,2.25228,2.25226,2.25226,2.25427,2.25439,2.25427,MT5_ORDER_FILL,0.200000,-0.173541,0.233641,42.00,tp
9,GBPNZD.i,LONG,2026.04.14 18:46:00,2026.04.14 19:59:00,WITH,UP,0.01344,1,2.29610,2.29744,2.29607,2.29610,2.29610,2.29607,2.29610,2.29610,2.29744,2.29744,2.29744,MT5_ORDER_FILL,0.100000,-0.014886,0.101228,73.00,tp
10,GBPNZD.i,LONG,2026.04.22 11:04:00,2026.04.22 11:33:00,WITH,UP,0.01252,1,2.28527,2.28652,2.28520,2.28527,2.28527,2.28520,2.28527,2.28527,2.28652,2.28662,2.28652,MT5_ORDER_FILL,0.100000,-0.094287,0.108670,29.00,tp
11,GBPNZD.i,LONG,2026.06.18 14:15:00,2026.06.18 18:19:00,WITH,UP,0.01223,3,2.29386,2.29508,2.29502,2.29504,2.29504,2.29260,2.29249,2.29249,2.29508,2.29520,2.29508,MT5_ORDER_FILL,0.300000,-0.411452,0.368916,244.00,tp
