basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPUSD.i,LONG,2026.01.02 14:06:00,2026.01.02 15:18:00,WITH,UP,0.00734,2,1.34449,1.34522,1.34485,1.34486,1.34486,1.34413,1.34412,1.34412,1.34522,1.34516,1.34522,MT5_ORDER_FILL,0.200000,-0.242606,0.204443,72.00,tp
2,GBPUSD.i,LONG,2026.02.02 02:00:00,2026.02.02 02:08:00,WITH,UP,0.01115,1,1.36856,1.36967,1.36856,1.36856,1.36856,1.36856,1.36856,1.36856,1.36967,1.36988,1.36967,MT5_ORDER_FILL,0.100000,-0.000897,0.133668,8.00,tp
3,GBPUSD.i,LONG,2026.02.11 03:00:00,2026.02.11 04:24:00,WITH,UP,0.01009,1,1.36434,1.36535,1.36426,1.36434,1.36434,1.36426,1.36434,1.36434,1.36535,1.36539,1.36535,MT5_ORDER_FILL,0.100000,-0.045581,0.112961,84.00,tp
4,GBPUSD.i,LONG,2026.02.13 09:43:00,2026.02.13 10:05:00,WITH,UP,0.00976,1,1.36082,1.36180,1.36081,1.36082,1.36082,1.36081,1.36082,1.36082,1.36180,1.36181,1.36180,MT5_ORDER_FILL,0.100000,-0.013318,0.103473,22.00,tp
5,GBPUSD.i,LONG,2026.02.17 01:01:00,2026.02.17 12:37:00,WITH,UP,0.00854,9,1.35918,1.36003,1.36281,1.36282,1.36282,1.35598,1.35596,1.35596,1.36003,1.36001,1.36003,MT5_ORDER_FILL,0.900000,-4.156133,0.910581,696.00,tp
6,GBPUSD.i,LONG,2026.03.16 00:32:00,2026.03.16 03:01:00,WITH,UP,0.01128,2,1.32398,1.32511,1.32336,1.32414,1.32414,1.32301,1.32383,1.32383,1.32511,1.32508,1.32511,MT5_ORDER_FILL,0.200000,-0.350302,0.204860,149.00,tp
7,GBPUSD.i,LONG,2026.03.31 03:38:00,2026.03.31 03:45:00,WITH,UP,0.01236,1,1.31783,1.31907,1.31793,1.31783,1.31783,1.31793,1.31783,1.31783,1.31907,1.31972,1.31907,MT5_ORDER_FILL,0.100000,-0.041265,0.155352,7.00,tp
8,GBPUSD.i,SHORT,2026.04.06 17:38:00,2026.04.06 17:51:00,WITH,DOWN,0.01088,2,1.32571,1.32463,1.32518,1.32518,1.32518,1.32627,1.32625,1.32625,1.32463,1.32458,1.32463,MT5_ORDER_FILL,0.200000,-0.127769,0.227043,13.00,tp
9,GBPUSD.i,SHORT,2026.04.27 15:58:00,2026.04.27 16:00:00,WITH,DOWN,0.00766,1,1.35530,1.35453,1.35530,1.35530,1.35530,1.35530,1.35530,1.35530,1.35453,1.35394,1.35453,MT5_ORDER_FILL,0.100000,-0.028709,0.180086,2.00,tp
10,GBPUSD.i,SHORT,2026.04.29 04:47:00,2026.04.29 05:37:00,WITH,DOWN,0.00695,1,1.35203,1.35133,1.35203,1.35203,1.35203,1.35203,1.35203,1.35203,1.35133,1.35138,1.35133,MT5_ORDER_FILL,0.100000,-0.044604,0.103597,50.00,tp
11,GBPUSD.i,SHORT,2026.05.07 13:47:00,2026.05.07 14:13:00,WITH,DOWN,0.00889,1,1.36231,1.36142,1.36231,1.36231,1.36231,1.36231,1.36231,1.36231,1.36142,1.36152,1.36142,MT5_ORDER_FILL,0.100000,-0.022487,0.103441,26.00,tp
12,GBPUSD.i,SHORT,2026.05.08 17:00:00,2026.05.08 17:10:00,WITH,DOWN,0.00903,1,1.36212,1.36122,1.36211,1.36212,1.36212,1.36211,1.36212,1.36212,1.36122,1.36122,1.36122,MT5_ORDER_FILL,0.100000,-0.011077,0.124058,10.00,tp
13,GBPUSD.i,SHORT,2026.06.09 17:17:00,2026.06.09 18:28:00,WITH,DOWN,0.00703,3,1.33966,1.33896,1.33886,1.33886,1.33886,1.34027,1.34015,1.34015,1.33896,1.33876,1.33896,MT5_ORDER_FILL,0.300000,-0.384014,0.409615,71.00,tp
